osmid,lanes,ref,name,highway,maxspeed,width,oneway,reversed,length,bridge,geometry
518916263,2,124;125,Mieszka I,secondary,50,6,False,True,9.354,,"LINESTRING (14.2022893 52.8792609, 14.2024285 52.8792653)"
"[220125392, 220139678, 220125390, 220139679]",2,124,Czcibora,secondary,50,6,False,False,103.349,yes,"LINESTRING (14.2022893 52.8792609, 14.2020489 52.8792227, 14.201771 52.8791553, 14.2017012 52.879135, 14.201653 52.8791186, 14.2016121 52.8791027, 14.2015567 52.8790801, 14.2014909 52.8790497, 14.2013994 52.8790023, 14.201296 52.8789366, 14.2012092 52.8788653, 14.2011201 52.8787827, 14.2010753 52.8787426)"
"[220140845, 518916262]",2,125,,tertiary,50,6,False,True,130.99099999999999,,"LINESTRING (14.2022893 52.8792609, 14.2022872 52.8793362, 14.2023023 52.8793953, 14.2023275 52.879456, 14.2025049 52.8799176, 14.2025686 52.8801324, 14.2026026 52.8802686, 14.2026126 52.8803448, 14.2026141 52.8804189)"
159761616,,,,residential,20,,False,True,146.998,,"LINESTRING (14.2089548 52.8808635, 14.2088842 52.880905, 14.2088388 52.8809316, 14.2086497 52.8809899, 14.2084404 52.8810029, 14.2082389 52.8809991, 14.2072743 52.8809365, 14.2068425 52.8809085)"
173787794,2,124;125,Mieszka I,secondary,50,6,False,False,330.541,,"LINESTRING (14.2089548 52.8808635, 14.2087058 52.8807849, 14.2085939 52.8807541, 14.2085315 52.880737, 14.2083734 52.880704, 14.2080232 52.8806528, 14.207399 52.8805711, 14.2068993 52.880507, 14.2066897 52.8804702, 14.2063783 52.8803982, 14.2060127 52.8802847, 14.2059607 52.8802669, 14.2059199 52.8802529, 14.2058066 52.8802122, 14.2056965 52.8801687, 14.2056163 52.8801341, 14.2055006 52.8800701, 14.2053924 52.8799992, 14.2051816 52.8798473, 14.2049666 52.8797084, 14.2048475 52.8796314, 14.2047107 52.8795586, 14.2046898 52.8795478)"
159761616,,,,residential,20,,False,False,146.99800000000002,,"LINESTRING (14.2068425 52.8809085, 14.2072743 52.8809365, 14.2082389 52.8809991, 14.2084404 52.8810029, 14.2086497 52.8809899, 14.2088388 52.8809316, 14.2088842 52.880905, 14.2089548 52.8808635)"
170198801,2,125,,tertiary,90,,False,True,86.56599999999999,,"LINESTRING (14.2026141 52.8804189, 14.2025941 52.8804964, 14.2025629 52.8805744, 14.2024763 52.8807337, 14.2022918 52.8810395, 14.2022237 52.8811594)"
"[220140845, 518916262]",2,125,,tertiary,50,6,False,False,130.991,,"LINESTRING (14.2026141 52.8804189, 14.2026126 52.8803448, 14.2026026 52.8802686, 14.2025686 52.8801324, 14.2025049 52.8799176, 14.2023275 52.879456, 14.2023023 52.8793953, 14.2022872 52.8793362, 14.2022893 52.8792609)"
159761763,,,,residential,,,False,False,278.551,,"LINESTRING (14.2022237 52.8811594, 14.2021224 52.8811334, 14.2018086 52.8809829, 14.2015925 52.8808635, 14.2012991 52.8805223, 14.2008669 52.8800433, 14.2003334 52.8794388, 14.2000364 52.8791432, 14.1999781 52.8790952)"
170198801,2,125,,tertiary,90,,False,False,86.566,,"LINESTRING (14.2022237 52.8811594, 14.2022918 52.8810395, 14.2024763 52.8807337, 14.2025629 52.8805744, 14.2025941 52.8804964, 14.2026141 52.8804189)"
