osmid,oneway,name,highway,reversed,length,geometry,maxspeed,lanes,bridge,junction
24362049,True,Kolejowa,residential,False,149.905,"LINESTRING (21.170256 50.5620027, 21.1701627 50.5620355, 21.1700674 50.5620626, 21.1698415 50.5621229, 21.1695492 50.562201, 21.1685648 50.5624629, 21.1683055 50.562533)",,,,
25101395,False,Szpitalna,tertiary,False,75.63600000000001,"LINESTRING (21.170256 50.5620027, 21.1703548 50.5621239, 21.170709 50.5625599, 21.1707447 50.5626079)",30,,,
25115640,False,Szpitalna,tertiary,False,92.277,"LINESTRING (21.170256 50.5620027, 21.1702122 50.5619499, 21.1701824 50.5618653, 21.1701485 50.5615319, 21.1701353 50.5613362, 21.1701359 50.5613173, 21.1701398 50.5612935, 21.1701652 50.561184)",,,,
"[751813629, 199546559]",False,Kolejowa,tertiary,True,143.747,"LINESTRING (21.170256 50.5620027, 21.1704646 50.5619079, 21.1710536 50.5616529, 21.17153 50.5614467, 21.171675 50.5613817, 21.1717975 50.5613235, 21.1719055 50.5612495)","['30', '50']",,,
"[731766858, 25101395, 751813628, 25101397]",False,"['Szpitalna', '11 Listopada']",tertiary,True,245.474,"LINESTRING (21.17313 50.5640472, 21.1730266 50.5640249, 21.1728973 50.5639738, 21.1725499 50.5638689, 21.1718116 50.5636596, 21.1715986 50.5635992, 21.1715536 50.5635799, 21.1715146 50.5635541, 21.1714697 50.5635028, 21.1712956 50.5632816, 21.1707447 50.5626079)",30,3,,
"[25101649, 1183341725]",False,Generała Mariana Langiewicza,tertiary,False,116.19,"LINESTRING (21.17313 50.5640472, 21.1731244 50.5640832, 21.1731289 50.5641021, 21.1731573 50.5641368, 21.1732242 50.5642029, 21.1734493 50.5644535, 21.1739043 50.5649603)",50,2,,
"[25101649, 1183341725]",False,Generała Mariana Langiewicza,tertiary,True,116.19000000000001,"LINESTRING (21.1739043 50.5649603, 21.1734493 50.5644535, 21.1732242 50.5642029, 21.1731573 50.5641368, 21.1731289 50.5641021, 21.1731244 50.5640832, 21.17313 50.5640472)",50,2,,
25101836,False,Wschodnia,residential,False,181.50100000000003,"LINESTRING (21.1739043 50.5649603, 21.1737142 50.5650192, 21.172874 50.5652743, 21.1718529 50.5655927, 21.1717519 50.5656205, 21.1715836 50.5656599)",,,,
25101836,False,Wschodnia,residential,True,181.501,"LINESTRING (21.1715836 50.5656599, 21.1717519 50.5656205, 21.1718529 50.5655927, 21.172874 50.5652743, 21.1737142 50.5650192, 21.1739043 50.5649603)",,,,
25145606,False,Niepodległości,residential,True,81.798,"LINESTRING (21.1715836 50.5656599, 21.1715775 50.5656, 21.1715606 50.565548, 21.1714231 50.5653286, 21.1713681 50.5652516, 21.1712309 50.5650563, 21.1711977 50.5650057, 21.1711763 50.5649755)",,,,
"[751813629, 199546559]",False,Kolejowa,tertiary,False,143.74699999999999,"LINESTRING (21.1719055 50.5612495, 21.1717975 50.5613235, 21.171675 50.5613817, 21.17153 50.5614467, 21.1710536 50.5616529, 21.1704646 50.5619079, 21.170256 50.5620027)","['50', '30']",,,
