osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,ref,access,junction
97646521,Jaśminowa,residential,False,False,41.878,"LINESTRING (21.8979019 52.7992722, 21.897539 52.7989661)",,,,,
97650150,Wiejska,residential,False,False,58.929,"LINESTRING (21.8979019 52.7992722, 21.8985958 52.7989484)",,,,,
97650150,Wiejska,residential,False,True,88.39399999999999,"LINESTRING (21.8979019 52.7992722, 21.8969719 52.7996936, 21.8968304 52.7997282)",,,,,
97644337,Wspólna,residential,False,False,57.401,"LINESTRING (21.9046854 52.800678, 21.9042604 52.800345, 21.9041636 52.8002694)",,,,,
97646293,Stanisława Staszica,residential,False,True,34.967,"LINESTRING (21.8937171 52.7968687, 21.8937843 52.7968985, 21.8938332 52.7969135, 21.8939229 52.796927, 21.8940723 52.7969453, 21.8942071 52.7969602)",,,,,
244766512,Henryka Trębickiego,residential,False,False,143.48499999999999,"LINESTRING (21.8937171 52.7968687, 21.8934903 52.7969268, 21.8930938 52.7970284, 21.8927552 52.7971151, 21.8925507 52.7971949, 21.8924308 52.7972417, 21.8922836 52.797299, 21.8920587 52.7973868, 21.8918397 52.7974722)",50,,,,
97645147,Jana Kilińskiego,residential,False,True,112.35700000000001,"LINESTRING (21.8966408 52.8042141, 21.8968899 52.8042877, 21.8980996 52.8040555, 21.8982193 52.8040338)",,,,,
97644779,Juliusza Słowackiego,residential,False,False,141.64499999999998,"LINESTRING (21.8980287 52.8032072, 21.8979256 52.8032254, 21.8961554 52.803537, 21.896006 52.8035641)",,,,,
"[989205713, 1230860730]",Tadeusza Kościuszki,tertiary,False,False,143.404,"LINESTRING (21.8980287 52.8032072, 21.8980042 52.8030979, 21.8979133 52.8026928, 21.8978683 52.8024923, 21.8977759 52.8020333, 21.8977672 52.8019901, 21.8977803 52.8019283)",,3,,,
1230860730,Tadeusza Kościuszki,tertiary,False,True,92.803,"LINESTRING (21.8980287 52.8032072, 21.8980946 52.8034929, 21.8981523 52.8037432, 21.8982193 52.8040338)",,,,,
97644556,,residential,False,True,36.847,"LINESTRING (21.8906649 52.7992357, 21.8903445 52.7994108, 21.8902583 52.7994579)",,,,,
"[97644547, 875503900]",Stefana Batorego,residential,True,False,216.89,"LINESTRING (21.8944659 52.8004403, 21.8946334 52.8005661, 21.8953751 52.8010237, 21.8964236 52.8016706, 21.8965545 52.8017666, 21.8966767 52.8018589)",50,2,,,
97645090,Plac Ludwika Waryńskiego,residential,True,False,182.566,"LINESTRING (21.8944659 52.8004403, 21.894555 52.8003864, 21.8949091 52.8002686, 21.8950306 52.8002497, 21.8952723 52.800212, 21.8964115 52.7997117, 21.8965056 52.7996704, 21.8966326 52.799624, 21.8967596 52.7995919)",,,,,
97645147,Jana Kilińskiego,residential,False,False,112.35700000000001,"LINESTRING (21.8982193 52.8040338, 21.8980996 52.8040555, 21.8968899 52.8042877, 21.8966408 52.8042141)",,,,,
1230860730,Tadeusza Kościuszki,tertiary,False,False,92.803,"LINESTRING (21.8982193 52.8040338, 21.8981523 52.8037432, 21.8980946 52.8034929, 21.8980287 52.8032072)",,,,,
97644547,Stefana Batorego,residential,True,False,52.400000000000006,"LINESTRING (21.8938978 52.8001177, 21.8939945 52.8001749, 21.8942064 52.8002933, 21.8944659 52.8004403)",50,,,,
97644976,Ludwika Mieczkowskiego,residential,False,True,33.208999999999996,"LINESTRING (21.8938978 52.8001177, 21.8939986 52.8000469, 21.8941084 52.7999753, 21.8942294 52.7998964)",,,,,
1230318283,Ludwika Mieczkowskiego,residential,False,False,79.58800000000001,"LINESTRING (21.8938978 52.8001177, 21.8938206 52.800165, 21.8931805 52.8005567, 21.8930655 52.8006267)",,,,,
1230318281,Plac Ludwika Waryńskiego,tertiary,False,False,15.886,"LINESTRING (21.8967596 52.7995919, 21.8968304 52.7997282)",50,2,,,
1230318281,Plac Ludwika Waryńskiego,tertiary,False,True,89.391,"LINESTRING (21.8967596 52.7995919, 21.8966977 52.7994552, 21.8964422 52.7989566, 21.8963674 52.7988239)",50,2,,,
97647705,3 Maja,secondary,False,False,56.741,"LINESTRING (21.896006 52.8035641, 21.8956285 52.8031077)",50,,627,,
97644779,Juliusza Słowackiego,residential,False,True,141.645,"LINESTRING (21.896006 52.8035641, 21.8961554 52.803537, 21.8979256 52.8032254, 21.8980287 52.8032072)",,,,,
97650150,Wiejska,residential,False,False,166.245,"LINESTRING (21.8997967 52.7984203, 21.90154 52.79736)",,,,,
97650150,Wiejska,residential,False,True,99.834,"LINESTRING (21.8997967 52.7984203, 21.8985958 52.7989484)",,,,,
