osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,bridge,width,access,tunnel
278042211,True,1,489,Szlak Chrobrego,secondary,50,False,52.113,"LINESTRING (17.32637 50.4771352, 17.3259568 50.4771221, 17.3258457 50.4771204, 17.3257711 50.4771255, 17.3256489 50.4771643)",,,,,
37662575,True,1,411;489,Józefa Bema,secondary,50,False,24.75,"LINESTRING (17.3384987 50.4782793, 17.3385602 50.4782494, 17.3386311 50.478196, 17.3386468 50.4781796, 17.3387157 50.4781077)",,,,,
375009713,True,2,489,rondo Pamięci Ofiar Katynia,secondary,50,False,15.057,"LINESTRING (17.3256489 50.4771643, 17.3256184 50.477192, 17.3255802 50.4772156, 17.3255359 50.4772343, 17.3254868 50.4772474)",roundabout,,,,
"[201790800, 1025228714, 201790799]",True,1,,Mostowa,tertiary,50,False,49.687999999999995,"LINESTRING (17.3255129 50.4769072, 17.325617 50.4768929, 17.3256898 50.4768782, 17.3257733 50.4768459, 17.3258755 50.4767936, 17.3259461 50.4767529, 17.3260223 50.4767269, 17.3261181 50.4766942)",,yes,,,
375009713,True,2,489,rondo Pamięci Ofiar Katynia,secondary,50,False,14.507000000000001,"LINESTRING (17.3255129 50.4769072, 17.3255721 50.4769289, 17.3256215 50.4769589, 17.3256583 50.4769956)",roundabout,,,,
278042210,True,2,489,Szlak Chrobrego,secondary,50,False,10.875,"LINESTRING (17.3262278 50.4770981, 17.32637 50.4771352)",,,,,
44129743,True,1,489,Szlak Chrobrego,secondary,50,False,40.199,"LINESTRING (17.3256753 50.4770238, 17.3257822 50.4770489, 17.3258391 50.4770637, 17.3258956 50.4770717, 17.3259634 50.4770765, 17.3262278 50.4770981)",,,,,
375009713,True,2,489,rondo Pamięci Ofiar Katynia,secondary,50,False,16.134,"LINESTRING (17.3256753 50.4770238, 17.3256855 50.4770595, 17.3256845 50.4770957, 17.3256721 50.4771311, 17.3256489 50.4771643)",roundabout,,,,
249040821,False,2,,Stanisława Moniuszki,tertiary,,False,105.014,"LINESTRING (17.3364995 50.4707796, 17.3366552 50.4708561, 17.3370649 50.4710711, 17.3372639 50.4711838, 17.3376393 50.471384)",,,,,
544480740,True,,,rondo Jana Pawła II,tertiary,50,False,10.620000000000001,"LINESTRING (17.3364995 50.4707796, 17.3364801 50.4707942, 17.3364549 50.4708045, 17.3364259 50.4708097, 17.3363959 50.4708092, 17.3363675 50.4708032)",roundabout,,,,
