osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,junction,ref
6285744,True,Olsztyńska,tertiary,False,78.622,"LINESTRING (20.2751393 53.5829665, 20.2749876 53.5832495, 20.2749688 53.5834068, 20.27503 53.5835296, 20.2751437 53.583634)",,,,
184080547,True,Gdańska,tertiary,False,60.8,"LINESTRING (20.2751393 53.5829665, 20.2748337 53.5832425, 20.2745587 53.5833847)",1,,,
"[421688548, 421688549]",True,Olsztyńska,secondary,False,122.64,"LINESTRING (20.2751437 53.583634, 20.2754577 53.5837354, 20.2758406 53.5838286, 20.276544 53.5840164, 20.2768139 53.5841132)",1,"['90', '50']",,
"[1010506460, 72527037]",False,Warszawska,tertiary,False,74.977,"LINESTRING (20.2848115 53.5836053, 20.2843353 53.583388, 20.2838851 53.5832162)",2,,,
1076698735,True,,tertiary,False,9.303,"LINESTRING (20.2848115 53.5836053, 20.2848381 53.5835916, 20.2848715 53.5835849, 20.2849066 53.5835863, 20.2849383 53.5835955)",,,roundabout,
"[174024723, 6285750]",False,Olsztyńska,secondary,True,399.166,"LINESTRING (20.2842524 53.5856384, 20.2828 53.5854384, 20.2818926 53.5853139, 20.2809891 53.5851356, 20.2807765 53.5850936, 20.2797362 53.5848497, 20.2785101 53.5845434)",2,50,,
"[72526753, 1010506461]",False,Emila von Behringa,tertiary,False,221.39999999999998,"LINESTRING (20.2842524 53.5856384, 20.2844911 53.5845541, 20.2845788 53.5841763, 20.2846044 53.5840904, 20.2847071 53.5838814, 20.2847493 53.5838029, 20.2848492 53.5836885)",,,,
183803159,False,Wilcza,tertiary,True,189.178,"LINESTRING (20.2842524 53.5856384, 20.2842259 53.5858205, 20.2841949 53.5858851, 20.2841424 53.5859599, 20.2840665 53.5860235, 20.2839505 53.586102, 20.2837863 53.5861802, 20.2835783 53.5862682, 20.2823875 53.5867229, 20.2822846 53.5867589)",,,,
"[1199982218, 704272052]",False,"['Olsztyńska', 'Krzysztofa Mrongowiusza']",secondary,False,129.698,"LINESTRING (20.2842524 53.5856384, 20.2845681 53.5856806, 20.2852324 53.5857741, 20.2861651 53.5859054)",2,50,,
154372834,False,Ignacego Daszyńskiego,primary,False,20.367,"LINESTRING (20.2884083 53.5856976, 20.2886172 53.5858324)",2,50,,58
421688539,False,Krzysztofa Mrongowiusza,tertiary,False,17.608,"LINESTRING (20.2884083 53.5856976, 20.2882403 53.5855746)",,50,,
421688541,True,,primary_link,False,19.016,"LINESTRING (20.2884083 53.5856976, 20.2883332 53.5858627)",,50,,
85054616,False,,primary,True,7.357,"LINESTRING (20.2880975 53.5861367, 20.2880668 53.5862003)",,50,,58
184081439,True,Krzysztofa Mrongowiusza,primary_link,False,22.876,"LINESTRING (20.2880975 53.5861367, 20.2884347 53.5861842)",,50,,
421688524,True,,primary,False,16.403,"LINESTRING (20.2880975 53.5861367, 20.288073 53.5859899)",,50,,58
72525825,False,Sportowa,residential,False,149.955,"LINESTRING (20.2852393 53.5859124, 20.2856431 53.5872395)",,,,
72525825,False,Sportowa,residential,True,149.955,"LINESTRING (20.2856431 53.5872395, 20.2852393 53.5859124)",,,,
72526007,False,Akacjowa,residential,True,70.543,"LINESTRING (20.2856431 53.5872395, 20.2852177 53.5872594, 20.2849834 53.5872667, 20.2845794 53.5872355)",,,,
72525868,False,Lipowa,residential,False,200.685,"LINESTRING (20.2845794 53.5872355, 20.2845752 53.5873226, 20.2845484 53.5878877, 20.2845379 53.5879131, 20.2845247 53.5879316, 20.2844912 53.5879459, 20.284463 53.587953, 20.2836296 53.5879852, 20.2835861 53.5879805, 20.2835572 53.5879721, 20.2835378 53.5879506, 20.2831983 53.5875736, 20.2831435 53.5875111)",,,,
72526007,False,Akacjowa,residential,True,102.80199999999999,"LINESTRING (20.2845794 53.5872355, 20.2843753 53.5872156, 20.2842177 53.5872158, 20.2840515 53.5872294, 20.2838933 53.5872693, 20.2838641 53.5872791, 20.2836053 53.5873664, 20.2832975 53.5874629, 20.2831435 53.5875111)",,,,
