osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,access,tunnel
"[27691785, 53050316]",2,94,Księdza Franciszka Kutrowskiego,primary,50,False,True,82.423,yes,"LINESTRING (17.2926007 50.9465956, 17.2925531 50.9466794, 17.2924616 50.9467926, 17.2923662 50.9468699, 17.2923194 50.9468914, 17.2917869 50.9470918)",,
"[212877664, 970587899]","['2', '3']",94,Generała Władysława Andersa,primary,50,False,False,77.586,,"LINESTRING (17.2926007 50.9465956, 17.2926126 50.9465086, 17.292609 50.9464654, 17.2925927 50.9464222, 17.2925237 50.9462416, 17.2923995 50.9459138)",,
1254671002,2,94;396,Generała Władysława Andersa,primary,50,False,False,40.299,,"LINESTRING (17.2923995 50.9459138, 17.2922741 50.9455601)",,
27711493,1,,3 Maja,secondary,50,True,False,43.173,,"LINESTRING (17.2923995 50.9459138, 17.2924291 50.9458805, 17.2924733 50.9458472, 17.2925211 50.9458146, 17.2925693 50.9457851, 17.292638 50.9457629, 17.2927786 50.9457437, 17.2929066 50.9457416)",,
"[212877664, 970587899]","['2', '3']",94,Generała Władysława Andersa,primary,50,False,True,77.58599999999998,,"LINESTRING (17.2923995 50.9459138, 17.2925237 50.9462416, 17.2925927 50.9464222, 17.292609 50.9464654, 17.2926126 50.9465086, 17.2926007 50.9465956)",,
970806226,1,396,3 Maja,secondary,50,True,False,44.775,,"LINESTRING (17.2929066 50.9457416, 17.2929238 50.945742, 17.2930939 50.9457578, 17.2935304 50.9458266)",,
970806227,2,396,3 Maja,secondary,50,True,False,15.727,,"LINESTRING (17.2935304 50.9458266, 17.2933111 50.9458568)",,
"[1254806035, 1254671003]",2,396,3 Maja,secondary,50,False,False,43.372,,"LINESTRING (17.2935304 50.9458266, 17.2935705 50.9458354, 17.2936161 50.9458418, 17.2941335 50.9459139)",,
27691787,1,396,3 Maja,secondary,50,True,False,66.484,,"LINESTRING (17.2933111 50.9458568, 17.2928367 50.9459428, 17.2927172 50.9459616, 17.2926179 50.9459607, 17.2925284 50.9459484, 17.2924554 50.9459349, 17.2923995 50.9459138)",,
172723173,1,,Księdza Franciszka Kutrowskiego,secondary,50,True,False,98.378,,"LINESTRING (17.2933111 50.9458568, 17.2931483 50.9459179, 17.2930596 50.9459742, 17.2930057 50.9460284, 17.2929682 50.9460814, 17.2928737 50.9462245, 17.2926903 50.9464779, 17.2926007 50.9465956)",,
"[53050464, 62364663]",,,,residential,,False,False,134.40800000000002,,"LINESTRING (17.2967248 50.9461686, 17.2967881 50.9462727, 17.2967463 50.9464518, 17.2966996 50.9465739, 17.2966292 50.9467192, 17.2965633 50.9468451, 17.2964089 50.9471471, 17.2961613 50.9472536)",,
173441080,2,396,3 Maja,secondary,50,False,False,22.743000000000002,,"LINESTRING (17.2967248 50.9461686, 17.2968158 50.9461408, 17.2968962 50.9461119, 17.2969922 50.9460558)",,
"[173441080, 1254806036]",2,396,3 Maja,secondary,50,False,True,178.592,,"LINESTRING (17.2967248 50.9461686, 17.2965954 50.9461912, 17.2964539 50.9461985, 17.296185 50.9461694, 17.2959521 50.9461375, 17.2956059 50.9460908, 17.2952599 50.9460469, 17.2948897 50.9460046, 17.2946628 50.945982, 17.2942228 50.9459263)",,
53051383,2,396,3 Maja,secondary,50,False,False,65.45500000000001,,"LINESTRING (17.2969922 50.9460558, 17.2971831 50.9457019, 17.2972513 50.9455662, 17.29729 50.9454979)",,
173441080,2,396,3 Maja,secondary,50,False,True,22.743000000000002,,"LINESTRING (17.2969922 50.9460558, 17.2968962 50.9461119, 17.2968158 50.9461408, 17.2967248 50.9461686)",,
360560946,,,Sportowa,residential,30,False,True,12.055,,"LINESTRING (17.29729 50.9454979, 17.2974487 50.9455398)",,
"[970806229, 53051383]","['2', '3']",396,3 Maja,secondary,50,False,False,110.41700000000002,,"LINESTRING (17.29729 50.9454979, 17.2973406 50.9454053, 17.2974263 50.9452482, 17.2975418 50.9450272, 17.2977002 50.9447302, 17.2977304 50.9446736, 17.2977923 50.9445567)",,
53051383,2,396,3 Maja,secondary,50,False,True,65.455,,"LINESTRING (17.29729 50.9454979, 17.2972513 50.9455662, 17.2971831 50.9457019, 17.2969922 50.9460558)",,
330316454,3,396,3 Maja,secondary,50,False,False,7.799,,"LINESTRING (17.2991232 50.9420545, 17.299163 50.941989)",,
330316456,3,396,3 Maja,secondary,50,False,True,31.252,,"LINESTRING (17.2991232 50.9420545, 17.2990732 50.9421502, 17.2990532 50.9421882, 17.2989806 50.9423208)",,
175436418,,396,Bolesława Chrobrego,secondary,50,True,False,29.45,,"LINESTRING (17.2994774 50.9420623, 17.2995334 50.9421509, 17.2995765 50.9422235, 17.2995997 50.9423143)",,
52705583,2,,Młyńska,tertiary,,False,False,237.006,,"LINESTRING (17.2997645 50.9425255, 17.2999187 50.9424457, 17.3002752 50.9422885, 17.3011227 50.9418951, 17.3014572 50.9417398, 17.3023046 50.9413473, 17.3023527 50.9413178, 17.3023974 50.9412734, 17.302428 50.9412285)",,
52705584,,396,Bolesława Chrobrego,secondary,50,False,False,55.10099999999999,,"LINESTRING (17.2997645 50.9425255, 17.2998344 50.9426518, 17.3000111 50.9428898, 17.3000678 50.9429554, 17.3000923 50.9429742)",,
52705584,,396,Bolesława Chrobrego,secondary,50,False,True,26.171,,"LINESTRING (17.2997645 50.9425255, 17.2996965 50.9424359, 17.2995997 50.9423143)",,
53051734,2,,Księdza Prałata Jana Janowskiego,tertiary,40,False,False,184.93800000000002,,"LINESTRING (17.3000172 50.9405688, 17.3001048 50.9405826, 17.3001604 50.9405913, 17.300223 50.9406159, 17.300529 50.94075, 17.3008567 50.9408392, 17.3012565 50.9409364, 17.3021905 50.9411684, 17.302428 50.9412285)",,
"[1127579489, 1017657414]",3,,3 Maja,tertiary,50,False,True,53.441,,"LINESTRING (17.3000172 50.9405688, 17.2998271 50.940857, 17.299713 50.9410094)",,
1017657416,2,,3 Maja,tertiary,50,False,False,42.314,,"LINESTRING (17.3000172 50.9405688, 17.3001161 50.9404368, 17.3002744 50.9402245)",,
423012950,2,,Plac Zamkowy,tertiary,50,False,False,28.480000000000004,,"LINESTRING (17.292938 50.9437713, 17.2927526 50.9437694, 17.2926829 50.9437613, 17.2926149 50.9437467, 17.2925402 50.9437318)",,
