osmid,name,highway,oneway,reversed,length,ref,geometry,bridge,maxspeed,lanes
145555537,Gołaszyn,tertiary,False,False,39.241,,"LINESTRING (15.7274785 51.688474, 15.7273111 51.6888113)",,,
160936230,Kolejowa,secondary,False,True,14.992,328,"LINESTRING (15.7274785 51.688474, 15.7275433 51.6883453)",,,
160936230,Kolejowa,secondary,False,False,41.038,328,"LINESTRING (15.7274785 51.688474, 15.7275054 51.6885774, 15.7275306 51.688635, 15.7275672 51.688689, 15.7277011 51.6888092)",,,
"[497939530, 317715692, 160936230]",Kolejowa,secondary,False,False,154.16899999999998,328,"LINESTRING (15.7277011 51.6888092, 15.7280717 51.6890803, 15.7281686 51.6891512, 15.7283482 51.6893028, 15.7288395 51.6896599, 15.7289175 51.6897166, 15.7291334 51.6898735)",yes,,
160936230,Kolejowa,secondary,False,True,41.038,328,"LINESTRING (15.7277011 51.6888092, 15.7275672 51.688689, 15.7275306 51.688635, 15.7275054 51.6885774, 15.7274785 51.688474)",,,
211269089,,tertiary,False,False,28.165999999999997,,"LINESTRING (15.7277011 51.6888092, 15.7275659 51.6887779, 15.7274157 51.6887835, 15.7273111 51.6888113)",,,
317715693,Kolejowa,secondary,False,False,10.621,328,"LINESTRING (15.7291334 51.6898735, 15.7292581 51.6899296)",,,
211269076,Adama Mickiewicza,residential,False,True,84.412,,"LINESTRING (15.7291334 51.6898735, 15.7292068 51.6898538, 15.7298491 51.6896257, 15.7301647 51.6895365, 15.7302192 51.6895251)",,,
"[497939530, 317715692, 160936230]",Kolejowa,secondary,False,True,154.169,328,"LINESTRING (15.7291334 51.6898735, 15.7289175 51.6897166, 15.7288395 51.6896599, 15.7283482 51.6893028, 15.7281686 51.6891512, 15.7280717 51.6890803, 15.7277011 51.6888092)",yes,,
160934912,Rynek,secondary,False,False,67.812,328,"LINESTRING (15.7309298 51.6902332, 15.7318638 51.6904247)",,,
160934915,Rynek,tertiary,False,True,66.261,,"LINESTRING (15.7309298 51.6902332, 15.7305261 51.690774)",,90,
317715693,Kolejowa,secondary,False,True,10.207,328,"LINESTRING (15.7309298 51.6902332, 15.730803 51.6901858)",,,
160934913,Tadeusza Kościuszki,tertiary,False,True,59.804,,"LINESTRING (15.7305555 51.6919387, 15.7305132 51.6918807, 15.7302374 51.691676, 15.7302174 51.6916055, 15.7302236 51.6915348, 15.7302376 51.6914703)",,90,
1102651508,Tadeusza Kościuszki,tertiary,False,False,35.534,,"LINESTRING (15.7305555 51.6919387, 15.7305654 51.6919931, 15.7305658 51.6920546, 15.7305114 51.6922551)",,,
1102651509,Długa,residential,False,False,32.734,,"LINESTRING (15.7305555 51.6919387, 15.7306966 51.6919308, 15.7309018 51.6919462, 15.7310239 51.6919256)",,,
179102795,Głogowska,secondary,False,False,5.853,333,"LINESTRING (15.733042 51.6931105, 15.7329954 51.6931545)",,70,2
104903031,Szosa Bytomska,tertiary,False,False,165.69,,"LINESTRING (15.733042 51.6931105, 15.7332672 51.6932011, 15.7332925 51.693211, 15.7333621 51.6932389, 15.7340769 51.6935257, 15.73506 51.6939202)",,,
223248690,Głogowska,secondary,False,True,262.852,333,"LINESTRING (15.733042 51.6931105, 15.7332831 51.6928462, 15.7346814 51.6913176, 15.7349013 51.691047)",,70,2
146235606,22 Lipca,tertiary,False,False,102.222,,"LINESTRING (15.7326861 51.6880232, 15.7335333 51.6872687)",,,
146235591,3 Maja,residential,False,True,102.017,,"LINESTRING (15.7326861 51.6880232, 15.7327566 51.6880534, 15.7338582 51.6885832)",,,
"[211269077, 146235606]",22 Lipca,tertiary,False,True,145.276,,"LINESTRING (15.7326861 51.6880232, 15.7324972 51.688219, 15.7323879 51.6884162, 15.7323337 51.6885478, 15.7323028 51.6886337, 15.7322376 51.6888563, 15.732152 51.6891483, 15.7321116 51.6892687)",,,
211269094,1 Maja,tertiary,False,True,22.939,,"LINESTRING (15.7320441 51.6894706, 15.7320548 51.6894253, 15.7321116 51.6892687)",,,
404647468,Podgórna,tertiary,True,False,42.421,,"LINESTRING (15.7320441 51.6894706, 15.732028 51.689472, 15.731435 51.689525)",,,
124721380,Ignacego Jana Paderewskiego,tertiary,True,False,22.031,,"LINESTRING (15.731435 51.689525, 15.7313041 51.6896457, 15.7312571 51.6896896)",,,
146235599,Podgórna,living_street,False,False,91.89,,"LINESTRING (15.731435 51.689525, 15.7312167 51.6895434, 15.730293 51.6896214, 15.7302483 51.6895996, 15.7302192 51.6895251)",,,
160934911,Głogowska,secondary,False,False,51.714,328,"LINESTRING (15.7318638 51.6904247, 15.7325875 51.6905473)",,30,
160934912,Rynek,secondary,False,True,67.812,328,"LINESTRING (15.7318638 51.6904247, 15.7309298 51.6902332)",,,
145555547,Majowa,tertiary,True,False,63.337,,"LINESTRING (15.7318638 51.6904247, 15.7321493 51.6899672, 15.7321866 51.6898916)",,,
160934911,Głogowska,secondary,False,False,26.361,328,"LINESTRING (15.7331007 51.6906092, 15.7334791 51.6906435)",,30,
160934911,Głogowska,secondary,False,True,36.039,328,"LINESTRING (15.7331007 51.6906092, 15.7325875 51.6905473)",,30,
145555545,Ogrodowa,residential,False,True,70.966,,"LINESTRING (15.7331007 51.6906092, 15.7330879 51.6906349, 15.732918 51.6909255, 15.7326665 51.6911844)",,,
145555508,Głogowska,residential,False,False,71.39699999999999,,"LINESTRING (15.7337055 51.6906726, 15.7337239 51.6906165, 15.7338011 51.6905528, 15.734504 51.6902972)",,,
160934911,Głogowska,secondary,False,False,53.671,328,"LINESTRING (15.7337055 51.6906726, 15.7338702 51.6906915, 15.7339784 51.6907095, 15.7342479 51.6907659, 15.7344435 51.6908207)",,30,
160934911,Głogowska,secondary,False,True,15.943999999999999,328,"LINESTRING (15.7337055 51.6906726, 15.7335085 51.690646, 15.7334791 51.6906435)",,30,
160934911,Głogowska,secondary,False,True,53.671,328,"LINESTRING (15.7344435 51.6908207, 15.7342479 51.6907659, 15.7339784 51.6907095, 15.7338702 51.6906915, 15.7337055 51.6906726)",,30,
179102793,Głogowska,secondary,True,False,41.456,328,"LINESTRING (15.7344435 51.6908207, 15.7348262 51.6908578, 15.73485 51.6908644, 15.7350216 51.690912)",,,
179102797,Głogowska,secondary,False,False,17.149,333,"LINESTRING (15.7350216 51.690912, 15.7349013 51.691047)",,50,2
1102651506,Głogowska,secondary,False,True,92.614,333,"LINESTRING (15.7350216 51.690912, 15.7354193 51.6904735, 15.7356995 51.6901931)",,50,2
179102797,Głogowska,secondary,False,True,17.149,333,"LINESTRING (15.7349013 51.691047, 15.7350216 51.690912)",,50,2
145555489,Głogowska,secondary,True,False,40.431,328,"LINESTRING (15.7349013 51.691047, 15.7347433 51.6909805, 15.7347263 51.6909736, 15.7344435 51.6908207)",,,
223248690,Głogowska,secondary,False,False,262.852,333,"LINESTRING (15.7349013 51.691047, 15.7346814 51.6913176, 15.7332831 51.6928462, 15.733042 51.6931105)",,70,2
211269076,Adama Mickiewicza,residential,False,False,133.92399999999998,,"LINESTRING (15.7321116 51.6892687, 15.7319832 51.6892701, 15.73164 51.689314, 15.7306876 51.6894276, 15.7302192 51.6895251)",,,
"[211269077, 146235606]",22 Lipca,tertiary,False,False,145.27599999999998,,"LINESTRING (15.7321116 51.6892687, 15.732152 51.6891483, 15.7322376 51.6888563, 15.7323028 51.6886337, 15.7323337 51.6885478, 15.7323879 51.6884162, 15.7324972 51.688219, 15.7326861 51.6880232)",,,
211269094,1 Maja,tertiary,False,False,22.939,,"LINESTRING (15.7321116 51.6892687, 15.7320548 51.6894253, 15.7320441 51.6894706)",,,
497939531,Adama Mickiewicza,residential,False,True,19.537,,"LINESTRING (15.7321116 51.6892687, 15.7322596 51.6892791, 15.7323831 51.6893121)",,,
145555492,Piaskowa,residential,False,False,112.062,,"LINESTRING (15.7323831 51.6893121, 15.7325529 51.6892515, 15.7328953 51.6891819, 15.7334158 51.6890408, 15.7338473 51.6888826)",,,
