osmid,name,highway,access,width,oneway,reversed,length,geometry,ref,junction
"[1135770715, 220528436]",Piastowska,living_street,destination,4,False,True,99.749,"LINESTRING (22.6598158 52.3946852, 22.6594383 52.3948464, 22.6593258 52.3949851, 22.658625 52.3951577)",,
161733712,Farna,living_street,,,False,False,117.061,"LINESTRING (22.6544715 52.3949026, 22.6560861 52.3952735)",,
489836751,Jana z Drohiczyna,living_street,,,False,False,80.62100000000001,"LINESTRING (22.6544715 52.3949026, 22.6542974 52.3954194, 22.6542331 52.3956129)",,
489836751,Jana z Drohiczyna,living_street,,,False,True,33.763999999999996,"LINESTRING (22.6544715 52.3949026, 22.654553 52.3946258, 22.6545591 52.3946037)",,
161735278,Adama Mickiewicza,residential,,,False,False,67.5,"LINESTRING (22.6551262 52.3958803, 22.6542331 52.3956129)",,
161735278,Adama Mickiewicza,residential,,,False,True,148.248,"LINESTRING (22.6551262 52.3958803, 22.6569126 52.3964466, 22.6570651 52.3964949)",,
161735282,Kotlarska,residential,,,False,False,110.27499999999999,"LINESTRING (22.6551262 52.3958803, 22.6550868 52.3959736, 22.6549887 52.396206, 22.6548153 52.3968528)",,
161735278,Adama Mickiewicza,residential,,,False,True,19.133,"LINESTRING (22.6539758 52.3955425, 22.6542331 52.3956129)",,
"[161743150, 161743142]","['Samuela Różyckiego', 'Franciszka Ksawerego Dmochowskiego']",residential,,,False,True,275.52700000000004,"LINESTRING (22.6539758 52.3955425, 22.6536202 52.3961414, 22.6533472 52.3963572, 22.6532465 52.3965005, 22.653219 52.3967074, 22.6531266 52.3971151, 22.6524653 52.3971538, 22.6522818 52.3971645, 22.6520008 52.3972014, 22.651946 52.3972143, 22.651848 52.3972374)",,
220528438,Ratuszowa,living_street,destination,4,False,False,273.14699999999993,"LINESTRING (22.6588486 52.3959555, 22.6593442 52.3958811, 22.6595025 52.3958272, 22.6606544 52.3953249, 22.6607675 52.3952682, 22.660837 52.3951933, 22.6608701 52.3950962, 22.6609414 52.3950092, 22.6610412 52.3949367, 22.6611743 52.3948873, 22.6621056 52.3947758, 22.6621535 52.3947701)",,
306353747,Plac Tadeusza Kościuszki,living_street,,,False,False,82.53900000000002,"LINESTRING (22.6588486 52.3959555, 22.6589719 52.3963933, 22.6590318 52.396609, 22.6590093 52.3966871)",,
306353747,Plac Tadeusza Kościuszki,living_street,,,False,True,90.022,"LINESTRING (22.6588486 52.3959555, 22.6588401 52.395935, 22.6588242 52.395897, 22.658625 52.3951577)",,
