osmid,lanes,name,highway,maxspeed,junction,oneway,reversed,length,geometry,bridge
1120277387,1,Rondo Tonsil,tertiary,50,roundabout,True,False,15.693,"LINESTRING (17.5614613 52.3224184, 17.5614477 52.3223841, 17.5614491 52.3223488, 17.5614655 52.322315, 17.5614956 52.3222849)",
"[172836899, 172836901, 227071247]",,"['Rynek', 'Adama Mickiewicza', 'Dzieci Wrzesińskich']",residential,50,,True,False,184.232,"LINESTRING (17.5650054 52.3240264, 17.5649848 52.3241117, 17.5647516 52.3246051, 17.5647443 52.3246414, 17.5647664 52.3247504, 17.5646105 52.3251089, 17.5646071 52.325295, 17.5645144 52.325644)",
381440345,2,Miłosławska,residential,50,,False,True,60.968,"LINESTRING (17.5650054 52.3240264, 17.5649605 52.3239092, 17.5649454 52.3238911, 17.5649115 52.3238505, 17.5648521 52.3237907, 17.5647433 52.3236909, 17.5646538 52.3236198, 17.5645613 52.3235598)",
191149833,3,Wrocławska,tertiary,50,,False,False,36.523,"LINESTRING (17.5613504 52.3219418, 17.5611151 52.3216465)",
191149834,1,Wrocławska,tertiary,50,,True,False,40.995999999999995,"LINESTRING (17.5613504 52.3219418, 17.5615658 52.3221323, 17.5617095 52.3222376)",
172839797,2,Ignacego Daszyńskiego,tertiary,50,,True,False,28.296,"LINESTRING (17.559344 52.3292633, 17.5594417 52.3292816, 17.5595104 52.3292958, 17.5595744 52.329311, 17.5596243 52.3293257, 17.5596642 52.3293452, 17.5597115 52.3293738)",
484386811,2,Ignacego Daszyńskiego,tertiary,50,,False,True,64.554,"LINESTRING (17.559344 52.3292633, 17.5592517 52.3292389, 17.5591536 52.3292193, 17.5589847 52.3292, 17.5588742 52.329191, 17.5587703 52.329191, 17.5586042 52.3291953, 17.5584148 52.3292172)",
657879689,,Ignacego Daszyńskiego,tertiary,50,,True,False,30.923000000000002,"LINESTRING (17.5597115 52.3293738, 17.5598318 52.3294329, 17.5599025 52.3294661, 17.5599443 52.3294773, 17.5600944 52.3295205)",
"[866969824, 367168715, 381179473, 381179474, 866969822]",2,Ignacego Daszyńskiego,tertiary,50,,False,False,171.539,"LINESTRING (17.5600944 52.3295205, 17.5605224 52.3294674, 17.5606638 52.3294502, 17.5612322 52.3293837, 17.5614129 52.329362, 17.5619792 52.3292948, 17.5620353 52.3292881, 17.5622309 52.3292619, 17.5625314 52.329232, 17.5625732 52.3292307)",yes
172805767,1,,tertiary,50,roundabout,True,False,16.171,"LINESTRING (17.5662317 52.3279867, 17.5662179 52.3279677, 17.5662179 52.327947, 17.5662317 52.327928, 17.566257 52.3279141, 17.5662893 52.3279076, 17.5663231 52.3279098, 17.5663526 52.3279202)",
"[172805946, 172805770]",2,Szkolna,tertiary,50,,False,False,190.534,"LINESTRING (17.5662317 52.3279867, 17.5661969 52.3280052, 17.5660784 52.3280776, 17.5658103 52.3282396, 17.5653664 52.3285031, 17.5651525 52.3286284, 17.5651253 52.328641, 17.5650439 52.3286788, 17.5648841 52.328751, 17.5647964 52.3287906, 17.5645641 52.3288785, 17.5644696 52.3289117, 17.5643242 52.3289508, 17.5640296 52.329015)",
"[172805763, 172805949]",2,Szkolna,tertiary,50,,False,"[False, True]",45.561,"LINESTRING (17.5663526 52.3279202, 17.5663779 52.3279025, 17.5665645 52.3277795, 17.5668028 52.3276166)",
1120277400,1,,tertiary,50,roundabout,True,False,9.247,"LINESTRING (17.5663526 52.3279202, 17.5663726 52.327937, 17.5663797 52.3279574, 17.5663726 52.3279777, 17.5663526 52.3279945)",
"[172838393, 191149837]",2,Kosynierów,residential,50,,False,"[False, True]",254.465,"LINESTRING (17.5663526 52.3279945, 17.5663803 52.3280123, 17.5665212 52.3280672, 17.5666476 52.3281115, 17.5694969 52.3291058, 17.5695927 52.3291395)",
"[1120277401, 1120296829]",1,,tertiary,50,roundabout,True,False,9.247,"LINESTRING (17.5663526 52.3279945, 17.5663231 52.3280049, 17.5662893 52.3280071, 17.566257 52.3280006, 17.5662317 52.3279867)",
172805763,2,Szkolna,tertiary,50,,False,False,48.751999999999995,"LINESTRING (17.5668028 52.3276166, 17.5668622 52.3275772, 17.5672006 52.3273764, 17.5673148 52.3273096)",
"[172805763, 172805949]",2,Szkolna,tertiary,50,,False,"[False, True]",45.561,"LINESTRING (17.5668028 52.3276166, 17.5665645 52.3277795, 17.5663779 52.3279025, 17.5663526 52.3279202)",
