osmid,bridge,ref,name,highway,width,oneway,reversed,length,geometry,maxspeed
"[44527299, 44527300]",yes,917,Opawska,secondary,7.6,False,False,180.21,"LINESTRING (18.1286107 50.0213366, 18.1285066 50.0212036, 18.1282176 50.0207247, 18.1281264 50.0205522, 18.1281204 50.020539, 18.1280955 50.0204845, 18.1280578 50.0204017, 18.1279 50.0199738, 18.1278186 50.0198022)",
"[44293347, 44293348, 209860156]",yes,,Tadeusza Zawadzkiego,residential,,False,True,231.68200000000002,"LINESTRING (18.1190976 50.0217377, 18.1189865 50.0217143, 18.118808 50.0216675, 18.1186253 50.021579, 18.1185443 50.0214904, 18.1186704 50.0212145, 18.1188028 50.0210465, 18.1195286 50.0201383, 18.1196236 50.0200145)",
44527281,,,Długa,tertiary,,False,False,215.802,"LINESTRING (18.1190976 50.0217377, 18.119758 50.0217377, 18.1204444 50.0217719, 18.121097 50.0218215, 18.1220904 50.0219542)",
44527281,,,Długa,tertiary,,False,False,234.601,"LINESTRING (18.1220904 50.0219542, 18.1233626 50.0221028, 18.1244784 50.0221414, 18.1253501 50.0221757)",
44527281,,,Długa,tertiary,,False,True,215.80200000000002,"LINESTRING (18.1220904 50.0219542, 18.121097 50.0218215, 18.1204444 50.0217719, 18.119758 50.0217377, 18.1190976 50.0217377)",
"[46985584, 46985585, 46985583]",yes,,Stanisława Staszica,residential,,False,True,149.68,"LINESTRING (18.1220904 50.0219542, 18.1221618 50.0217677, 18.1222161 50.0216068, 18.1222661 50.0213886, 18.1223911 50.0211855, 18.1226403 50.0207805, 18.1227145 50.0206759)",
44527281,,,Długa,tertiary,,False,False,18.691,"LINESTRING (18.1253501 50.0221757, 18.1256115 50.0221687)",
44293359,,,Ogrodowa,tertiary,,False,True,22.046,"LINESTRING (18.1253501 50.0221757, 18.1253763 50.0222704, 18.1254458 50.0223622)",50
44527281,,,Długa,tertiary,,False,True,234.601,"LINESTRING (18.1253501 50.0221757, 18.1244784 50.0221414, 18.1233626 50.0221028, 18.1220904 50.0219542)",
"[44293360, 44293361, 204041126]",yes,,Ogrodowa,residential,,False,False,164.53,"LINESTRING (18.1253501 50.0221757, 18.1251157 50.0212755, 18.1251044 50.0211251, 18.1250965 50.0210753, 18.1250384 50.0207109)",
44527281,,,Długa,tertiary,,False,True,18.691,"LINESTRING (18.1256115 50.0221687, 18.1253501 50.0221757)",
45016656,,,Ogrodowa,tertiary,,False,False,24.558,"LINESTRING (18.1256115 50.0221687, 18.1254458 50.0223622)",50
44293351,,917,Kolejowa,secondary,,False,False,341.611,"LINESTRING (18.1254163 50.0181836, 18.1255258 50.0181302, 18.1256652 50.0180115, 18.1259032 50.017724, 18.1261673 50.0174131, 18.1264958 50.0171146, 18.1266812 50.0169492, 18.1269462 50.0167147, 18.1271035 50.0165847, 18.1271821 50.0165162, 18.1272327 50.016474, 18.127273 50.0164404, 18.1281759 50.0156874)",
44293355,,,Morawska,residential,,False,False,50.33,"LINESTRING (18.1254163 50.0181836, 18.1252186 50.0181301, 18.1250339 50.0180883, 18.1247456 50.018051)",
44293362,,,Władysława Sikorskiego,residential,,False,True,75.046,"LINESTRING (18.1254163 50.0181836, 18.1253044 50.0182425, 18.125229 50.0182947, 18.1251522 50.0183541, 18.1250854 50.0184082, 18.1249516 50.0185337, 18.1249299 50.0185559, 18.1248954 50.0187407)",
"[374390689, 191452673]",,917,Opawska,secondary,,False,True,253.91300000000004,"LINESTRING (18.1254163 50.0181836, 18.1256464 50.0183682, 18.1257119 50.0184259, 18.1257671 50.0184755, 18.1260655 50.0187695, 18.1264506 50.0191366, 18.1266573 50.0192803, 18.1267681 50.0193458, 18.1268416 50.0193819, 18.1269416 50.0194168, 18.1273572 50.0195381, 18.1276195 50.019647, 18.127719 50.0197103, 18.1278186 50.0198022)",
44293353,,917,Kolejowa,secondary,,False,False,93.248,"LINESTRING (18.1281759 50.0156874, 18.1284343 50.0148654)",
44293351,,917,Kolejowa,secondary,,False,True,341.611,"LINESTRING (18.1281759 50.0156874, 18.127273 50.0164404, 18.1272327 50.016474, 18.1271821 50.0165162, 18.1271035 50.0165847, 18.1269462 50.0167147, 18.1266812 50.0169492, 18.1264958 50.0171146, 18.1261673 50.0174131, 18.1259032 50.017724, 18.1256652 50.0180115, 18.1255258 50.0181302, 18.1254163 50.0181836)",
44293355,,,Morawska,residential,,False,False,41.644,"LINESTRING (18.1247456 50.018051, 18.1241644 50.0180228)",
44293355,,,Morawska,residential,,False,True,50.33,"LINESTRING (18.1247456 50.018051, 18.1250339 50.0180883, 18.1252186 50.0181301, 18.1254163 50.0181836)",
142342840,,,Polna,residential,,False,True,268.546,"LINESTRING (18.1247456 50.018051, 18.1247454 50.018019, 18.1247451 50.0179454, 18.1246426 50.017654, 18.1245427 50.0174577, 18.1244088 50.0172728, 18.124263 50.0171582, 18.1238984 50.016826, 18.1237411 50.0167681, 18.1227597 50.0166145, 18.1223512 50.0165164)",
44527288,,,Rynek,residential,,False,False,47.184,"LINESTRING (18.1220975 50.0177664, 18.121455 50.0176683)",
44293355,,,Morawska,residential,,False,True,150.505,"LINESTRING (18.1220975 50.0177664, 18.1222528 50.0177876, 18.1232827 50.0179285, 18.1237231 50.0179887, 18.1241644 50.0180228)",
"[1007677696, 209860143]",,,Rynek,residential,,False,False,32.369,"LINESTRING (18.1220975 50.0177664, 18.122041 50.0178582, 18.1219309 50.0180371)",
44527288,,,Rynek,residential,,False,True,47.184,"LINESTRING (18.121455 50.0176683, 18.1220975 50.0177664)",
44293357,,,Rynek,residential,,False,False,59.258,"LINESTRING (18.121455 50.0176683, 18.1214326 50.0177357, 18.1213009 50.0179742, 18.1211018 50.0181419)",
527478890,,,Kościelna,residential,,False,True,32.914,"LINESTRING (18.121455 50.0176683, 18.1211963 50.0176302, 18.121006 50.0176021)",
62233375,,,Cicha,residential,,False,False,134.855,"LINESTRING (18.1204116 50.0175094, 18.1203918 50.0176082, 18.1203553 50.0177573, 18.1201829 50.0180088, 18.1197517 50.0186379)",
527478890,,,Kościelna,residential,,False,False,43.702,"LINESTRING (18.1204116 50.0175094, 18.1207856 50.0175677, 18.121006 50.0176021)",
"[527478890, 44527291]",,,Kościelna,residential,,False,True,77.768,"LINESTRING (18.1204116 50.0175094, 18.1203127 50.0174888, 18.1202036 50.0174478, 18.1197083 50.0171852, 18.1195271 50.0171097)",
44293360,,,Ogrodowa,residential,,False,True,221.54000000000002,"LINESTRING (18.1248954 50.0187407, 18.1249698 50.0188318, 18.1250397 50.0189964, 18.1250721 50.0191751, 18.1250721 50.0193973, 18.1250449 50.0197646, 18.1249949 50.0203278, 18.1249925 50.0204587, 18.1250145 50.0205528, 18.1250384 50.0207109)",
44293362,,,Władysława Sikorskiego,residential,,False,False,75.04599999999999,"LINESTRING (18.1248954 50.0187407, 18.1249299 50.0185559, 18.1249516 50.0185337, 18.1250854 50.0184082, 18.1251522 50.0183541, 18.125229 50.0182947, 18.1253044 50.0182425, 18.1254163 50.0181836)",
44293362,,,Władysława Sikorskiego,residential,,False,True,72.786,"LINESTRING (18.1248954 50.0187407, 18.1247396 50.0188679, 18.1245727 50.018979, 18.1241322 50.0191643)",
44293362,,,Władysława Sikorskiego,residential,,False,False,72.786,"LINESTRING (18.1241322 50.0191643, 18.1245727 50.018979, 18.1247396 50.0188679, 18.1248954 50.0187407)",
44293362,,,Władysława Sikorskiego,residential,,False,True,97.059,"LINESTRING (18.1241322 50.0191643, 18.1236493 50.019296, 18.1228435 50.0194339)",
81543623,,,Winna,residential,,False,False,171.925,"LINESTRING (18.1241322 50.0191643, 18.1239537 50.0189353, 18.1238653 50.0188423, 18.123814 50.0188099, 18.1237531 50.0187861, 18.1236452 50.0187589, 18.123534 50.0187383, 18.1229652 50.0186635, 18.122793 50.0186393, 18.1224207 50.0185708, 18.1221242 50.0184949)",
209860156,,,Tadeusza Zawadzkiego,residential,,False,False,54.186,"LINESTRING (18.1203408 50.0190243, 18.1200238 50.019467)",
209860156,,,Tadeusza Zawadzkiego,residential,,False,True,11.844,"LINESTRING (18.1203408 50.0190243, 18.1204123 50.0189282)",
44293362,,,Władysława Sikorskiego,residential,,False,False,121.963,"LINESTRING (18.1203408 50.0190243, 18.1209674 50.0191685, 18.1216976 50.0192922, 18.1219769 50.0193327)",
45016656,,,Ogrodowa,tertiary,,False,True,24.558,"LINESTRING (18.1254458 50.0223622, 18.1256115 50.0221687)",50
44293359,,,Ogrodowa,tertiary,,False,False,22.046,"LINESTRING (18.1254458 50.0223622, 18.1253763 50.0222704, 18.1253501 50.0221757)",50
"[44527299, 44527300]",yes,917,Opawska,secondary,7.6,False,True,180.21,"LINESTRING (18.1278186 50.0198022, 18.1279 50.0199738, 18.1280578 50.0204017, 18.1280955 50.0204845, 18.1281204 50.020539, 18.1281264 50.0205522, 18.1282176 50.0207247, 18.1285066 50.0212036, 18.1286107 50.0213366)",
