osmid,ref,highway,maxspeed,oneway,reversed,length,geometry,name,lanes,bridge,width
48100617,388,secondary,50,False,True,92.963,"LINESTRING (16.6541084 50.2995135, 16.6541422 50.2995349, 16.6541687 50.2995846, 16.6541787 50.2996303, 16.6542954 50.3001645, 16.6542995 50.3001832, 16.6542869 50.3003007, 16.6542841 50.3003316)",,,,
153793094,388,secondary,50,False,False,106.29100000000001,"LINESTRING (16.6541084 50.2995135, 16.6540666 50.2995019, 16.6536991 50.2995149, 16.6528187 50.2995714, 16.6526217 50.299584)",Henryka Sienkiewicza,,,
48100617,388,secondary,50,False,False,92.963,"LINESTRING (16.6542841 50.3003316, 16.6542869 50.3003007, 16.6542995 50.3001832, 16.6542954 50.3001645, 16.6541787 50.2996303, 16.6541687 50.2995846, 16.6541422 50.2995349, 16.6541084 50.2995135)",,,,
167483389,,residential,50,False,False,80.566,"LINESTRING (16.6497784 50.2980596, 16.6497242 50.2979183, 16.6496394 50.2977931, 16.6495891 50.2977357, 16.649516 50.2976349, 16.6494599 50.2975241, 16.6494355 50.2973756)",Jana Pawła II,,,
229928729,,residential,50,False,False,225.986,"LINESTRING (16.6497784 50.2980596, 16.6498019 50.2982198, 16.6498166 50.2985492, 16.6498772 50.2994593, 16.6500023 50.300017, 16.6500173 50.3000839)",Juliusza Słowackiego,,,
396418430,,tertiary,,False,False,179.51799999999997,"LINESTRING (16.6497784 50.2980596, 16.6499228 50.2981004, 16.6500746 50.2981483, 16.6503508 50.2982249, 16.6506163 50.2982798, 16.6507987 50.2982866, 16.650965 50.2982752, 16.6510854 50.2982531, 16.6515998 50.2981097, 16.6519898 50.2980282, 16.6521577 50.2980012)",Wojska Polskiego,,,
"[396418432, 396660748]",,tertiary,40,False,True,163.46699999999998,"LINESTRING (16.6497784 50.2980596, 16.6496594 50.298067, 16.6494255 50.2980954, 16.6489228 50.2981795, 16.648853 50.2981954, 16.6487184 50.2982261, 16.6483148 50.2983656, 16.6482439 50.298392, 16.6479142 50.2985314, 16.6476735 50.2986105)",Wojska Polskiego,,,
229928729,,residential,50,False,True,225.986,"LINESTRING (16.6500173 50.3000839, 16.6500023 50.300017, 16.6498772 50.2994593, 16.6498166 50.2985492, 16.6498019 50.2982198, 16.6497784 50.2980596)",Juliusza Słowackiego,,,
769124997,388,secondary,50,False,False,142.515,"LINESTRING (16.6500173 50.3000839, 16.6498473 50.3001263, 16.6481484 50.3005503)",Henryka Sienkiewicza,,,
769124997,388,secondary,50,False,True,110.90100000000001,"LINESTRING (16.6500173 50.3000839, 16.6502725 50.3000193, 16.6509882 50.2998412, 16.6512633 50.2997783, 16.6514766 50.2997295)",Henryka Sienkiewicza,,,
396418430,,tertiary,,False,True,179.518,"LINESTRING (16.6521577 50.2980012, 16.6519898 50.2980282, 16.6515998 50.2981097, 16.6510854 50.2982531, 16.650965 50.2982752, 16.6507987 50.2982866, 16.6506163 50.2982798, 16.6503508 50.2982249, 16.6500746 50.2981483, 16.6499228 50.2981004, 16.6497784 50.2980596)",Wojska Polskiego,,,
396418431,,tertiary,50,False,False,78.60900000000001,"LINESTRING (16.6521577 50.2980012, 16.6523133 50.2979863, 16.6526819 50.2979596, 16.6528993 50.2979268, 16.6530738 50.2978721, 16.6532169 50.2978255)",Wojska Polskiego,,,
"[251395224, 155246019, 398326846]",,tertiary,50,False,False,293.16999999999996,"LINESTRING (16.6504441 50.2924073, 16.6503542 50.2924992, 16.6500991 50.2926808, 16.6500477 50.292752, 16.6500148 50.2928222, 16.6500089 50.2929012, 16.6500228 50.2929738, 16.6500718 50.2930559, 16.6501628 50.2931511, 16.6503461 50.2933156, 16.6505497 50.2935086, 16.6506612 50.293645, 16.6508217 50.2939638, 16.6508808 50.2941231, 16.6509202 50.294223, 16.6509646 50.2943507, 16.6510195 50.2945058, 16.6510461 50.294601, 16.6510755 50.294706, 16.6510905 50.294803)",Kolejowa,2,yes,
170844810,,residential,,True,False,64.47,"LINESTRING (16.6470047 50.2978323, 16.6467935 50.2978538, 16.6463982 50.2979108, 16.6461116 50.297932)",Krakowska,,,
396414315,,residential,,True,False,69.812,"LINESTRING (16.6470047 50.2978323, 16.6468728 50.2979535, 16.6464838 50.2981437, 16.6462417 50.2982075)",Starobystrzycka,,,
167463834,,residential,,False,False,100.21900000000001,"LINESTRING (16.6484824 50.297564, 16.6485426 50.2975317, 16.6489751 50.2973464, 16.6492889 50.2972202, 16.64931 50.2972117, 16.6496252 50.2970385)",Starobystrzycka,,,
170844814,,residential,,True,False,109.352,"LINESTRING (16.6484824 50.297564, 16.6482741 50.2976156, 16.6478845 50.2976985, 16.647582 50.2977396, 16.6471974 50.2978115, 16.6470047 50.2978323)",Starobystrzycka,,,
154892728,,tertiary,50,False,False,40.396,"LINESTRING (16.647544 50.2989504, 16.6476245 50.2988877, 16.6476513 50.2988354, 16.6476749 50.2987631, 16.6476852 50.2987157, 16.6476735 50.2986105)",Strażacka,,,
