osmid,ref,name,highway,oneway,reversed,length,bridge,geometry,lanes,maxspeed
"[195420264, 195420262, 195420263]",834,11 Listopada,secondary,False,False,124.081,yes,"LINESTRING (22.5279925 51.0171238, 22.5282123 51.0170935, 22.5290315 51.0169808, 22.5293911 51.0169271, 22.5297216 51.0168752)",,
108177314,,Szarych Szeregów,residential,False,False,51.12,,"LINESTRING (22.532538 51.0113037, 22.5332208 51.01114)",,
291008306,834,Partyzantów,secondary,False,True,74.699,,"LINESTRING (22.532538 51.0113037, 22.5329716 51.0119176)",2,50
291008306,834,Partyzantów,secondary,False,False,41.947,,"LINESTRING (22.532538 51.0113037, 22.5324858 51.0112151, 22.5324134 51.0110908, 22.532342 51.0109473)",2,50
33013284,834,Partyzantów,secondary,False,False,152.445,,"LINESTRING (22.5351337 51.0148849, 22.5350696 51.0148056, 22.5350247 51.0147526, 22.5346859 51.0143049, 22.5346286 51.0142246, 22.534279 51.0137561, 22.5342014 51.0136459)",2,
"[33014833, 112592973]",,Marszałka Józefa Piłsudskiego,tertiary,False,False,58.522999999999996,,"LINESTRING (22.5351337 51.0148849, 22.5352856 51.0148246, 22.5354792 51.0147444, 22.5356203 51.0146888, 22.5358395 51.0146024)",2,50
"[512340569, 108177274]",834,Marszałka Józefa Piłsudskiego,secondary,False,True,59.833,,"LINESTRING (22.5351337 51.0148849, 22.5349127 51.014982, 22.5347658 51.0150463, 22.5346287 51.0151124, 22.534456 51.0152118)","['2', '3']",50
"[112592954, 196355486]",,Podwale,unclassified,False,False,301.12500000000006,,"LINESTRING (22.5297216 51.0168752, 22.5297766 51.0173566, 22.5298262 51.017602, 22.5298381 51.0177225, 22.5298562 51.0177975, 22.5298723 51.0178304, 22.5298995 51.0178557, 22.5299362 51.0178824, 22.529974 51.017901, 22.5300561 51.0179313, 22.5301289 51.0179464, 22.5302199 51.0179576, 22.5303307 51.0179649, 22.5306936 51.0179655, 22.5310185 51.0179668, 22.5318057 51.0179719, 22.531914 51.0179776, 22.5320092 51.0179921, 22.5321217 51.0180198, 22.5322993 51.0180731, 22.532516 51.0181506)",2,40
112592987,834,11 Listopada,secondary,False,False,239.68900000000002,,"LINESTRING (22.5297216 51.0168752, 22.5298046 51.0168623, 22.5300299 51.0168274, 22.5302152 51.0167988, 22.5304186 51.0167653, 22.5308397 51.0166843, 22.5312403 51.016589, 22.5316542 51.0164767, 22.5319881 51.0163728, 22.5323096 51.0162783, 22.5324758 51.0162229, 22.5325879 51.016175, 22.5327256 51.0161227, 22.5328647 51.0160542)",,
"[195420264, 195420262, 195420263]",834,11 Listopada,secondary,False,True,124.081,yes,"LINESTRING (22.5297216 51.0168752, 22.5293911 51.0169271, 22.5290315 51.0169808, 22.5282123 51.0170935, 22.5279925 51.0171238)",,
291008305,836,Lubelska,secondary,False,False,63.563,,"LINESTRING (22.5337204 51.0192882, 22.533456 51.0191027, 22.533354 51.0190158, 22.5332884 51.018948, 22.5332423 51.0188903, 22.533202 51.0188245)",2,40
195420245,836,Lubelska,secondary,False,True,13.552,,"LINESTRING (22.5330127 51.0182581, 22.533023 51.0183798)",2,40
195420245,836,Lubelska,secondary,False,False,126.088,,"LINESTRING (22.5330127 51.0182581, 22.5330223 51.0181555, 22.533031 51.0181052, 22.5330464 51.0180525, 22.533062 51.0180035, 22.5330789 51.0179561, 22.5331161 51.0178745, 22.5331567 51.0177945, 22.533203 51.0177211, 22.5332517 51.0176545, 22.5334369 51.0174488, 22.53351 51.0173578, 22.5335665 51.0172702, 22.5335991 51.0171987)",2,40
33013284,834,Partyzantów,secondary,False,False,55.652,,"LINESTRING (22.5342014 51.0136459, 22.5338728 51.0131901)",2,
33013284,834,Partyzantów,secondary,False,True,152.445,,"LINESTRING (22.5342014 51.0136459, 22.534279 51.0137561, 22.5346286 51.0142246, 22.5346859 51.0143049, 22.5350247 51.0147526, 22.5350696 51.0148056, 22.5351337 51.0148849)",2,
108177286,,Batalionów Chłopskich,residential,False,False,58.807,,"LINESTRING (22.5330169 51.0155113, 22.5328628 51.0149914)",2,
108177286,,Batalionów Chłopskich,residential,False,True,45.611,,"LINESTRING (22.5330169 51.0155113, 22.5330905 51.0158497, 22.5331291 51.0159139)",2,
"[108177315, 361113421]",,"['Księdza Antoniego Kwiatkowskiego', 'Piotra Ściegiennego']",residential,False,False,269.8179999999999,,"LINESTRING (22.5330169 51.0155113, 22.5323191 51.0156585, 22.5313171 51.0159177, 22.5315782 51.0162951, 22.5319043 51.0162174, 22.5325405 51.0160674, 22.5326677 51.0160373, 22.5327627 51.0160223, 22.5328223 51.0160261, 22.5328647 51.0160542)",2,
108177315,,Piotra Ściegiennego,residential,False,True,50.879999999999995,,"LINESTRING (22.5330169 51.0155113, 22.5332411 51.0154994, 22.5333989 51.0155, 22.5334945 51.0155298, 22.5336461 51.0156451)",2,
108177274,834,Marszałka Józefa Piłsudskiego,secondary,False,False,74.376,,"LINESTRING (22.5336461 51.0156451, 22.5340849 51.0154147, 22.5342628 51.0153169, 22.5343418 51.0152739, 22.534456 51.0152118)",2,50
108177274,834,Marszałka Józefa Piłsudskiego,secondary,False,True,46.918000000000006,,"LINESTRING (22.5336461 51.0156451, 22.5333982 51.0157738, 22.5332561 51.0158478, 22.5331291 51.0159139)",2,50
108177300,,Stefana Batorego,residential,False,True,95.446,,"LINESTRING (22.5336461 51.0156451, 22.5337135 51.0156987, 22.5340225 51.0161628, 22.534192 51.0164291)",,
108177315,,Piotra Ściegiennego,residential,False,False,50.88000000000001,,"LINESTRING (22.5336461 51.0156451, 22.5334945 51.0155298, 22.5333989 51.0155, 22.5332411 51.0154994, 22.5330169 51.0155113)",2,
108177268,,Stefana Żeromskiego,residential,False,False,87.956,,"LINESTRING (22.5310622 51.0123841, 22.5301322 51.012595, 22.52988 51.0126533)",,
108177268,,Stefana Żeromskiego,residential,False,True,143.324,,"LINESTRING (22.5310622 51.0123841, 22.5314857 51.0122817, 22.5321477 51.012131, 22.5329716 51.0119176)",,
108177272,,Bolesława Prusa,residential,False,True,64.451,,"LINESTRING (22.5328623 51.0142728, 22.5327969 51.0141889, 22.5328352 51.0141257, 22.533025 51.0140131, 22.5333802 51.0138915)",2,40
108177276,,Marii Dąbrowskiej,residential,False,False,45.184,,"LINESTRING (22.5299776 51.0130307, 22.530094 51.0134304)",2,40
"[108177312, 108177291, 108177276]",,"['Marii Dąbrowskiej', 'Kajetana Koźmiana']",residential,False,True,327.884,,"LINESTRING (22.5299776 51.0130307, 22.5297625 51.0130873, 22.5288513 51.0134137, 22.528533 51.013525, 22.5283213 51.0135997, 22.5283016 51.0136525, 22.5283746 51.0136989, 22.5288508 51.013837, 22.5291519 51.0139037, 22.5293059 51.01392, 22.5299307 51.0138862, 22.5301216 51.0138677, 22.530238 51.0138366, 22.5302171 51.013749, 22.530094 51.0134304)",2,40
108177276,,Marii Dąbrowskiej,residential,False,True,42.55,,"LINESTRING (22.5299776 51.0130307, 22.5299008 51.0127779, 22.52988 51.0126533)",2,40
108177287,,Armii Krajowej,residential,False,False,166.824,,"LINESTRING (22.5361192 51.0121905, 22.5383586 51.011675)",,
108177287,,Armii Krajowej,residential,False,True,189.29399999999998,,"LINESTRING (22.5361192 51.0121905, 22.5349224 51.0124642, 22.5335762 51.0127721)",,
108177290,,Generała Grota-Roweckiego,residential,False,False,328.505,,"LINESTRING (22.5361192 51.0121905, 22.5360709 51.0120943, 22.5357089 51.0113726, 22.5356478 51.0113388, 22.5344153 51.0116282, 22.5336755 51.0118018, 22.5332208 51.01114)",2,
108177259,,Tadeusza Kościuszki,residential,False,True,98.68100000000001,,"LINESTRING (22.534456 51.0152118, 22.5345345 51.0153123, 22.5349401 51.0160446)",,
"[512340569, 108177274]",834,Marszałka Józefa Piłsudskiego,secondary,False,False,59.833,,"LINESTRING (22.534456 51.0152118, 22.5346287 51.0151124, 22.5347658 51.0150463, 22.5349127 51.014982, 22.5351337 51.0148849)","['2', '3']",50
108177274,834,Marszałka Józefa Piłsudskiego,secondary,False,True,74.376,,"LINESTRING (22.534456 51.0152118, 22.5343418 51.0152739, 22.5342628 51.0153169, 22.5340849 51.0154147, 22.5336461 51.0156451)",2,50
291008306,834,Partyzantów,secondary,False,True,41.946999999999996,,"LINESTRING (22.532342 51.0109473, 22.5324134 51.0110908, 22.5324858 51.0112151, 22.532538 51.0113037)",2,50
108177265,,Generała Władysława Sikorskiego,residential,False,False,72.58,,"LINESTRING (22.5383586 51.011675, 22.5380878 51.0110449)",,
108177287,,Armii Krajowej,residential,False,True,166.824,,"LINESTRING (22.5383586 51.011675, 22.5361192 51.0121905)",,
108177287,,Armii Krajowej,residential,False,False,289.381,,"LINESTRING (22.5383586 51.011675, 22.5401589 51.011266, 22.540301 51.011254, 22.5403482 51.0112773, 22.5403787 51.0113196, 22.5406031 51.0120056, 22.5406564 51.0121331, 22.5407396 51.0122442, 22.5408391 51.0123602, 22.5409246 51.0124062, 22.5410209 51.0124328)",,
108177274,834,Marszałka Józefa Piłsudskiego,secondary,False,True,14.055,,"LINESTRING (22.5331291 51.0159139, 22.5329762 51.0159959)",2,50
108177274,834,Marszałka Józefa Piłsudskiego,secondary,False,False,46.918,,"LINESTRING (22.5331291 51.0159139, 22.5332561 51.0158478, 22.5333982 51.0157738, 22.5336461 51.0156451)",2,50
108177286,,Batalionów Chłopskich,residential,False,False,45.611,,"LINESTRING (22.5331291 51.0159139, 22.5330905 51.0158497, 22.5330169 51.0155113)",2,
108177279,,Kornela Makuszyńskiego,residential,False,True,77.358,,"LINESTRING (22.5279035 51.0122294, 22.5283953 51.0128525)",2,40
"[108177306, 108177276]",,"['Marii Dąbrowskiej', 'Aleksandra Fredry']",residential,False,"[False, True]",192.274,,"LINESTRING (22.5279035 51.0122294, 22.5292424 51.0119052, 22.5296293 51.0118245, 22.5297348 51.0120435, 22.5298096 51.0123815)",2,40
108177314,,Szarych Szeregów,residential,False,True,51.12,,"LINESTRING (22.5332208 51.01114, 22.532538 51.0113037)",,
