osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,access,junction,bridge
308813833,2,283,Wolności,secondary,False,False,38.939,"LINESTRING (15.5977806 51.7434855, 15.5972154 51.743473)",,,,
171956963,,,Romualda Traugutta,residential,False,False,218.23899999999998,"LINESTRING (15.5977806 51.7434855, 15.5980285 51.7438936, 15.5983257 51.7443989, 15.5985576 51.7450138, 15.5986634 51.7453652)",,,,
308813833,2,283,Wolności,secondary,False,True,187.89600000000002,"LINESTRING (15.5977806 51.7434855, 15.5980901 51.7434586, 15.5981302 51.7434549, 15.5981864 51.7434496, 15.5997302 51.7432551, 15.600248 51.7432025, 15.6004654 51.7432188)",,,,
172649386,,,Rynek,residential,False,True,52.928,"LINESTRING (15.5939841 51.7455695, 15.5940578 51.7450957)",,,,
253082369,,,Plac Jana Matejki,residential,False,True,99.925,"LINESTRING (15.5939841 51.7455695, 15.5933354 51.7455205, 15.5931777 51.7455495, 15.5931456 51.7455943, 15.5931122 51.7457508, 15.5931581 51.7459339)",,,,
271753638,,,Kościelna,residential,False,False,48.42,"LINESTRING (15.5939841 51.7455695, 15.5939431 51.7456398, 15.593931 51.7458121, 15.593938 51.7460003)",,,,
271753646,,,Rynek,residential,False,False,69.616,"LINESTRING (15.5939841 51.7455695, 15.5949195 51.745617, 15.5949806 51.7456413)",,,,
23896608,,,Zielonogórska,residential,True,False,36.907,"LINESTRING (15.5940216 51.7466735, 15.5936787 51.7467446, 15.5935136 51.7467795)",20,yes,,
172649385,,,Klasztorna,residential,False,False,66.755,"LINESTRING (15.5940216 51.7466735, 15.5946023 51.7465841, 15.5947973 51.7465488, 15.594927 51.7464826)",,,,
271753638,,,Kościelna,residential,False,True,75.10499999999999,"LINESTRING (15.5940216 51.7466735, 15.5939629 51.746319, 15.5939562 51.7462151, 15.593938 51.7460003)",,,,
23896753,,,Michała Drzymały,residential,False,False,296.775,"LINESTRING (15.5910106 51.7465564, 15.5905078 51.7465396, 15.5902989 51.746502, 15.5896544 51.7462903, 15.5892879 51.7461552, 15.5889271 51.7459828, 15.5887627 51.745881, 15.5886414 51.7457675, 15.5883024 51.7453894, 15.5881792 51.7452659, 15.5880555 51.7451813, 15.5877176 51.7450395)",,,,
