osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,ref,width,junction,bridge,access
42954954,Astrów,residential,False,True,103.111,"LINESTRING (19.5664028 50.2820017, 19.5663393 50.2820357, 19.5652886 50.2825958)",,,,,,,
"[1087724675, 1183505006]",Rabsztyńska,tertiary,False,True,122.623,"LINESTRING (19.5664028 50.2820017, 19.5663124 50.2819321, 19.565972 50.2816715, 19.5659065 50.2816228, 19.5655963 50.2813733, 19.565303 50.281152)","['2', '4']",50,,,,,
1183505005,Tadeusza Kościuszki,tertiary,False,True,14.059,"LINESTRING (19.5651076 50.2810165, 19.5649758 50.2809222)",2,50,,,,,
"[371740905, 26967362, 338846831]",,primary,True,False,611.9259999999999,"LINESTRING (19.5651076 50.2810165, 19.5647924 50.2810713, 19.5645742 50.2811054, 19.5644938 50.2811202, 19.5638884 50.2812317, 19.5633485 50.2813312, 19.562844 50.2814283, 19.5621897 50.2815918, 19.5615843 50.2817606, 19.5585209 50.2826468, 19.5580044 50.2827932, 19.557734 50.2828699, 19.5576705 50.2828883, 19.5571224 50.2830472)","['2', '4']",50,94;791,,,,
691903133,Rabsztyńska,tertiary,False,False,20.509,"LINESTRING (19.5651076 50.2810165, 19.5652145 50.2810967, 19.565303 50.281152)",4,50,,,,,
26967363,,primary,True,False,12.634,"LINESTRING (19.5571224 50.2830472, 19.5569555 50.2830864)",2,50,94,,,,
179264379,Górnicza,residential,True,False,188.632,"LINESTRING (19.5632936 50.2796631, 19.5630794 50.2797051, 19.5623887 50.2798451, 19.5621623 50.279891, 19.5618854 50.2799446, 19.5615322 50.280013, 19.560757 50.2801632)",1,40,,,,,
181090406,Krakowskie Przedmieście,residential,True,False,240.958,"LINESTRING (19.5632936 50.2796631, 19.5634177 50.2796337, 19.5646703 50.2793498, 19.5651837 50.2792345, 19.5656172 50.2789385, 19.5656767 50.2789018, 19.5657111 50.2788688, 19.5657211 50.2788302, 19.5657067 50.2787936, 19.5656422 50.2786945, 19.5656269 50.2786579, 19.5656264 50.2786246, 19.5656446 50.2785649, 19.5656689 50.2784954)",,50,,,,,
580169401,Tadeusza Kościuszki,tertiary,False,False,99.405,"LINESTRING (19.5632936 50.2796631, 19.5632332 50.2795966, 19.5631496 50.2794612, 19.5627649 50.2788363)",2,,,,,,
"[1090147944, 580169401]",Tadeusza Kościuszki,tertiary,False,True,163.952,"LINESTRING (19.5632936 50.2796631, 19.5633826 50.2797429, 19.5637463 50.2800265, 19.5638776 50.280123, 19.563938 50.2801673, 19.5642741 50.2804321, 19.564761 50.2808005)",2,,,,,,
203186195,Tadeusza Kościuszki,tertiary,False,True,75.584,"LINESTRING (19.5619173 50.2775242, 19.5622828 50.2780497, 19.5623455 50.2781464)",2,,,,,,
26967346,Tadeusza Kościuszki,tertiary,False,False,20.398,"LINESTRING (19.5649758 50.2809222, 19.564761 50.2808005)",3,50,,,,,
1183505005,Tadeusza Kościuszki,tertiary,False,False,14.059,"LINESTRING (19.5649758 50.2809222, 19.5651076 50.2810165)",2,50,,,,,
37370852,20 Straconych,secondary,True,False,13.031,"LINESTRING (19.5571649 50.2829332, 19.5571224 50.2830472)",1,,791,,,,
42957927,,primary,True,False,32.694,"LINESTRING (19.5571649 50.2829332, 19.5575819 50.2828089)",2,50,94;791,,,,
227110201,Francesco Nullo,unclassified,False,False,217.15699999999998,"LINESTRING (19.5627649 50.2788363, 19.5632834 50.2787161, 19.5636022 50.2786415, 19.5641981 50.2784994, 19.5644811 50.2784319, 19.5646965 50.278378, 19.5648195 50.2783701, 19.5651989 50.2784216, 19.5652939 50.2784365, 19.5656689 50.2784954)",,,,,,,
580169401,Tadeusza Kościuszki,tertiary,False,True,99.405,"LINESTRING (19.5627649 50.2788363, 19.5631496 50.2794612, 19.5632332 50.2795966, 19.5632936 50.2796631)",2,,,,,,
"[1158268084, 755480557, 755480558]",Tadeusza Kościuszki,tertiary,False,False,82.30000000000001,"LINESTRING (19.5627649 50.2788363, 19.5627098 50.278745, 19.5624831 50.2783696, 19.5624147 50.2782563, 19.5623455 50.2781464)","['2', '3']",,,,,,
181094244,29 Listopada,residential,False,False,41.269,"LINESTRING (19.5617501 50.2765288, 19.5617008 50.276159)",,,,,,,
181094244,29 Listopada,residential,False,True,54.746,"LINESTRING (19.5617501 50.2765288, 19.5618184 50.2770192)",,,,,,,
181094244,29 Listopada,residential,False,False,54.746,"LINESTRING (19.5618184 50.2770192, 19.5617501 50.2765288)",,,,,,,
179231770,Świętokrzyska,residential,False,True,226.228,"LINESTRING (19.5632704 50.2768064, 19.5641966 50.2766048, 19.564421 50.276557, 19.5645547 50.2765262, 19.5646212 50.2765093, 19.5656767 50.276302, 19.5662986 50.2761799)",,,,,,,
"[181094242, 179231773]",Świętokrzyska,residential,False,False,194.803,"LINESTRING (19.5632704 50.2768064, 19.5632188 50.2766009, 19.5632008 50.2764885, 19.5631208 50.2759894, 19.5624239 50.2760673, 19.5622623 50.2761122, 19.562107 50.2761438, 19.5619133 50.2761549, 19.5617008 50.276159)",,,,,,,
179231773,Świętokrzyska,residential,False,True,60.667,"LINESTRING (19.5632704 50.2768064, 19.5633018 50.2769209, 19.5634178 50.2773438)",,,,,,,
