osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,maxspeed,access
196030489,False,2,Niecała,living_street,False,67.896,"LINESTRING (22.2532894 52.4037903, 22.2533269 52.4038186, 22.2538989 52.4042746)",,,
196030498,False,2,Winnice,residential,False,168.78100000000003,"LINESTRING (22.2532894 52.4037903, 22.2528779 52.4040038, 22.2523678 52.404337, 22.2515947 52.4048351, 22.251559 52.4048761)",,,
"[196030498, 31580870]",False,2,"['Nowa', 'Winnice']","['residential', 'living_street']",True,131.702,"LINESTRING (22.2532894 52.4037903, 22.2539746 52.4034449, 22.2540224 52.4034386, 22.2540568 52.4034388, 22.2541078 52.4034465, 22.254705 52.4038708)",,,
38156301,False,,Franciszka Wilczyńskiego,residential,False,40.576,"LINESTRING (22.2593285 52.404055, 22.25954 52.4039733, 22.2598191 52.4038467)",,,
841045371,False,,Nieciecka,tertiary,False,50.325,"LINESTRING (22.2593285 52.404055, 22.2595235 52.4041503, 22.2598982 52.4043448)",,,
909034676,False,2,Franciszka Wilczyńskiego,tertiary,True,72.10499999999999,"LINESTRING (22.2593285 52.404055, 22.2591483 52.4041379, 22.2589603 52.4042144, 22.2584518 52.4044213)",,,
38095549,False,2,Długa,primary,True,81.471,"LINESTRING (22.256555 52.4039948, 22.256487 52.4040443, 22.2557097 52.4045149)",62;63,50,
234150462,False,2,Siedlecka,primary,False,17.747,"LINESTRING (22.256555 52.4039948, 22.2565927 52.4039593, 22.2566075 52.4039355, 22.2566157 52.4039093, 22.2566188 52.4038893, 22.2566201 52.4038741, 22.256615 52.4038444)",62;63,50,
31581157,False,2,Wolności,primary,True,127.84800000000001,"LINESTRING (22.2497007 52.4078491, 22.2495364 52.4077903, 22.2493538 52.4077198, 22.2491595 52.4076455, 22.2491383 52.4076374, 22.2490819 52.4076158, 22.2488019 52.4075045, 22.248116 52.407227)",62,50,yes
670787732,False,,Lipowa,residential,False,60.891999999999996,"LINESTRING (22.2497007 52.4078491, 22.2495954 52.4079066, 22.249417 52.4079616, 22.2493424 52.4079779, 22.2492421 52.4079999, 22.248895 52.4080792)",,,
682967170,False,3,Wolności,primary,True,24.286,"LINESTRING (22.2497007 52.4078491, 22.249903 52.4078915, 22.2500448 52.4079072)",62,50,yes
31582201,False,2,Franciszka Wilczyńskiego,tertiary,False,239.89100000000002,"LINESTRING (22.2554935 52.4055916, 22.2556729 52.4054946, 22.2556878 52.4054864, 22.2558458 52.4054039, 22.2559762 52.4053313, 22.2561766 52.4052396, 22.2563641 52.4051671, 22.2576324 52.4047243, 22.2584518 52.4044213)",,,
