osmid,oneway,lanes,highway,reversed,length,name,geometry
189300568,True,1,tertiary,False,22.683,,"LINESTRING (19.4407102 50.2591686, 19.4404486 50.2592854)"
311568177,False,2,unclassified,True,22.362,Borowska,"LINESTRING (19.439838 50.2592795, 19.4400427 50.2594322)"
189300566,True,1,tertiary_link,False,39.938,,"LINESTRING (19.439838 50.2592795, 19.43993 50.2593064, 19.4400147 50.2593201, 19.440127 50.2593245, 19.4402256 50.2593104, 19.44032 50.259285, 19.4403705 50.2592677)"
311568177,False,2,unclassified,False,22.362,Borowska,"LINESTRING (19.4400427 50.2594322, 19.439838 50.2592795)"
785531477,False,2,tertiary,True,6.0,Borowska,"LINESTRING (19.4400427 50.2594322, 19.440102 50.2594706)"
218949442,True,1,tertiary,False,29.669,,"LINESTRING (19.4400427 50.2594322, 19.4401303 50.2593798, 19.4402423 50.2593269, 19.4403705 50.2592677)"
785531477,False,2,tertiary,False,24.286,Borowska,"LINESTRING (19.440345 50.2596241, 19.44021 50.2595405, 19.440102 50.2594706)"
311568178,True,1,tertiary,False,26.634,,"LINESTRING (19.4403705 50.2592677, 19.4405738 50.2591979, 19.4407102 50.2591686)"
189300568,True,1,tertiary,False,41.574,,"LINESTRING (19.4404486 50.2592854, 19.4403725 50.2593353, 19.4403136 50.2593984, 19.440296 50.2594601, 19.4403023 50.2595263, 19.4403182 50.2595723, 19.440345 50.2596241)"
218949444,True,1,tertiary,False,32.138,,"LINESTRING (19.4404486 50.2592854, 19.4403233 50.2593563, 19.4402214 50.2594135, 19.4401437 50.2594493, 19.440102 50.2594706)"
785531477,False,2,tertiary,False,6.0,Borowska,"LINESTRING (19.440102 50.2594706, 19.4400427 50.2594322)"
785531477,False,2,tertiary,True,24.286,Borowska,"LINESTRING (19.440102 50.2594706, 19.44021 50.2595405, 19.440345 50.2596241)"
