osmid,lanes,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,name,bridge
756318223,1,651,secondary,50,roundabout,True,False,2.002,"LINESTRING (22.3036182 54.3085323, 22.3035976 54.3085457)",,
173080142,1,651,secondary,50,roundabout,True,False,3.7720000000000002,"LINESTRING (22.3033815 54.3084348, 22.3034003 54.3084219, 22.3034232 54.3084114)",,
1101060971,1,651,secondary,50,roundabout,True,False,2.377,"LINESTRING (22.3036046 54.3084237, 22.3036266 54.3084408)",,
173770832,,,residential,,,False,False,8.848,"LINESTRING (22.3010235 54.3071411, 22.3010045 54.3070623)",Wolności,
350069627,2,,residential,,,False,False,119.547,"LINESTRING (22.3010235 54.3071411, 22.3012323 54.307128, 22.3026539 54.3070599, 22.3028591 54.3070474)",Plac Zwycięstwa,
"[350069608, 173080146, 1119978380]","['2', '3']",,residential,,,False,True,164.81600000000003,"LINESTRING (22.3010235 54.3071411, 22.3010334 54.3072878, 22.3010393 54.3073903, 22.3010467 54.3075345, 22.3010481 54.3076311, 22.3010495 54.3077303, 22.301034 54.3083667, 22.3010357 54.3084853, 22.3010377 54.308623)",Plac Zwycięstwa,
173080144,2,651,secondary,,,False,False,178.87199999999999,"LINESTRING (22.3057145 54.3084193, 22.3058515 54.3084096, 22.3060795 54.3083998, 22.3063897 54.3083724, 22.3066035 54.3083437, 22.3068118 54.3083052, 22.3070763 54.3082434, 22.3073285 54.3081844, 22.3077193 54.3080779, 22.3081407 54.3079737, 22.3083185 54.3079294)",Ignacego Paderewskiego,
173080144,2,651,secondary,,,False,True,69.90100000000001,"LINESTRING (22.3057145 54.3084193, 22.3055695 54.3084291, 22.3050968 54.3084605, 22.3046423 54.3084803)",Ignacego Paderewskiego,
174339093,,,residential,,,False,True,56.42700000000001,"LINESTRING (22.3057145 54.3084193, 22.3057233 54.3085174, 22.3057397 54.3086724, 22.305765 54.3089259)",Słoneczna,
173080142,1,651,secondary,50,roundabout,True,False,10.68,"LINESTRING (22.3033763 54.3085259, 22.3033612 54.3085052, 22.303356 54.3084828, 22.3033589 54.3084659, 22.3033675 54.3084497, 22.3033815 54.3084348)",,
693837513,1,,residential,,,True,False,54.783,"LINESTRING (22.3033763 54.3085259, 22.3032703 54.3085215, 22.3031166 54.3085255, 22.3025323 54.3085291)",Plac Zwycięstwa,
693837519,,,tertiary,,,True,False,31.009,"LINESTRING (22.3035976 54.3085457, 22.3036251 54.3086372, 22.3036339 54.3088231)",Lipowa,
756318223,1,651,secondary,50,roundabout,True,False,6.503,"LINESTRING (22.3035976 54.3085457, 22.3035726 54.3085562, 22.3035444 54.3085634, 22.3035063 54.3085672)",,
173080145,2,,residential,50,,False,True,97.55199999999999,"LINESTRING (22.3010377 54.308623, 22.3012976 54.3086126, 22.3013369 54.3086106, 22.3015802 54.3085982, 22.3022131 54.3085485, 22.3025323 54.3085291)",Plac Zwycięstwa,
"[350069608, 173080146, 1119978380]","['2', '3']",,residential,,,False,False,164.816,"LINESTRING (22.3010377 54.308623, 22.3010357 54.3084853, 22.301034 54.3083667, 22.3010495 54.3077303, 22.3010481 54.3076311, 22.3010467 54.3075345, 22.3010393 54.3073903, 22.3010334 54.3072878, 22.3010235 54.3071411)",Plac Zwycięstwa,
174694028,,,residential,,,False,True,17.266,"LINESTRING (22.3010377 54.308623, 22.3009104 54.308712, 22.3008704 54.3087437)",Krótka,
174339080,,,residential,,,False,True,135.169,"LINESTRING (22.3037098 54.3091155, 22.3038989 54.3090803, 22.3039391 54.3090767, 22.3051827 54.3089643, 22.305765 54.3089259)",Słoneczna,
"[274547480, 456106382]",,,tertiary,,,False,True,79.983,"LINESTRING (22.3037098 54.3091155, 22.303544 54.309137, 22.3031267 54.3091769, 22.3024906 54.3092192)",Stefana Żeromskiego,
456106384,2,,tertiary,50,,False,False,50.674,"LINESTRING (22.3037098 54.3091155, 22.3037499 54.3091792, 22.3038223 54.3092459, 22.3038995 54.3093027, 22.3041369 54.3094943)",Lipowa,
693837520,2,,tertiary,50,,False,True,32.884,"LINESTRING (22.3037098 54.3091155, 22.3036865 54.3090258, 22.3036339 54.3088231)",Lipowa,
173080138,,,residential,,,False,False,55.43000000000001,"LINESTRING (22.3041369 54.3094943, 22.3042084 54.3095003, 22.3042946 54.309513, 22.3046318 54.3096662, 22.3048473 54.3097571)",Lipowa,
456106384,2,,tertiary,50,,False,True,50.674,"LINESTRING (22.3041369 54.3094943, 22.3038995 54.3093027, 22.3038223 54.3092459, 22.3037499 54.3091792, 22.3037098 54.3091155)",Lipowa,
519113748,2,,tertiary,50,,False,True,40.14,"LINESTRING (22.3041369 54.3094943, 22.3043496 54.3097137, 22.3043911 54.3098199)",Okrężna,
174339067,2,,tertiary,30,,False,True,170.552,"LINESTRING (22.3043911 54.3098199, 22.3043797 54.3098997, 22.304325 54.3099643, 22.3042226 54.3100206, 22.3041042 54.3100756, 22.3040114 54.3101104, 22.3038725 54.3101439, 22.3037686 54.3101617, 22.3036716 54.3101757, 22.3035505 54.3101852, 22.3034214 54.310194, 22.3030166 54.3102063, 22.3027317 54.3102248, 22.3024728 54.3102491, 22.3023718 54.3102617, 22.3022867 54.3102815, 22.3022034 54.3103107, 22.3021121 54.3103454)",Okrężna,
274541319,,,residential,,,False,False,32.518,"LINESTRING (22.3043911 54.3098199, 22.3044334 54.309783, 22.3045488 54.3097527, 22.3046471 54.3097554, 22.3048473 54.3097571)",,
519113748,2,,tertiary,50,,False,False,40.14,"LINESTRING (22.3043911 54.3098199, 22.3043496 54.3097137, 22.3041369 54.3094943)",Okrężna,
174339064,,,residential,,,True,False,51.239999999999995,"LINESTRING (22.3021121 54.3103454, 22.3021944 54.3102077, 22.3022926 54.3100418, 22.3023539 54.309907)",Mazurska,
