osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,width,bridge
174325804,True,473;710,Rynek,secondary,50,False,74.027,"LINESTRING (18.9743246 51.6913616, 18.9745081 51.6913125, 18.9753172 51.6911075)",,,
549988948,False,710,Sieradzka,secondary,,False,15.357000000000001,"LINESTRING (18.9743246 51.6913616, 18.9742501 51.6912934, 18.9741927 51.6912505)",2,,
1105606024,False,,Kościelna,residential,,False,7.552,"LINESTRING (18.9746154 51.6918307, 18.9746178 51.6918986)",,,
420060506,True,473;710,Rynek,secondary,50,False,55.888000000000005,"LINESTRING (18.9746154 51.6918307, 18.9745051 51.6916412, 18.9743246 51.6913616)",,,
29462112,False,,Widawska,tertiary,,True,91.68900000000001,"LINESTRING (18.9760545 51.690912, 18.976026 51.6908506, 18.9757411 51.690222, 18.9757155 51.6901616, 18.9757027 51.690117)",2,6,
224028030,True,473;710,Piotrkowska,secondary,50,False,310.16499999999996,"LINESTRING (18.9760545 51.690912, 18.9761138 51.6908993, 18.9764204 51.6908338, 18.9767944 51.6907673, 18.9791602 51.6904722, 18.9793186 51.6904537, 18.9803138 51.6903375, 18.9804431 51.6903105)",,,
466128560,True,473;710,Nowe Miasto,secondary,50,False,28.661,"LINESTRING (18.9812868 51.6897853, 18.9815778 51.6896012)",,,
179783217,True,710,Nowe Miasto,secondary,50,False,20.773,"LINESTRING (18.9812868 51.6897853, 18.9813887 51.6897768, 18.9814509 51.6897796, 18.9815077 51.6897911, 18.9815734 51.6898153)",,,
420060510,False,473,Łaska,secondary,50,True,183.007,"LINESTRING (18.9815778 51.6896012, 18.981767 51.6894404, 18.9831793 51.6882886)",2,,
466128561,False,473,Nowe Miasto,secondary,50,True,23.964,"LINESTRING (18.9815778 51.6896012, 18.9815576 51.6896864, 18.9815604 51.6897456, 18.9815734 51.6898153)",,,
29462111,True,473;710,Warszawska,secondary,50,False,45.421,"LINESTRING (18.9818939 51.690734, 18.9812568 51.6908383)",,,
132749668,False,473;710,Nowe Miasto,secondary,50,False,104.517,"LINESTRING (18.9818939 51.690734, 18.9815734 51.6898153)",,,
140031192,False,,Przatowska,residential,,False,144.827,"LINESTRING (18.9818939 51.690734, 18.9834323 51.6904895, 18.9839379 51.6904361)",,,
"[100954097, 849426611, 849426612]",False,710,Jana Kilińskiego,secondary,,True,322.772,"LINESTRING (18.9818939 51.690734, 18.9819409 51.6908925, 18.9820233 51.6911351, 18.9822484 51.691838, 18.9824483 51.6924366, 18.9825029 51.6926029, 18.9826036 51.6929162, 18.9826676 51.6930948, 18.9826884 51.6931531, 18.9827181 51.6932266, 18.9827652 51.6933037, 18.9828267 51.6933701, 18.9829036 51.693453, 18.9830026 51.6935364)",2,,yes
29462112,False,,Widawska,tertiary,,False,38.171,"LINESTRING (18.9757635 51.6897758, 18.9757114 51.6900679, 18.9757027 51.690117)",2,6,
150299388,False,,Opłotki,residential,,True,451.69500000000005,"LINESTRING (18.9757635 51.6897758, 18.9758269 51.6897635, 18.9760454 51.6897213, 18.9772485 51.6894526, 18.9776732 51.6893466, 18.9778388 51.6892956, 18.9785845 51.6890199, 18.9787321 51.6889705, 18.9790409 51.6889158, 18.9793826 51.6888947, 18.979609 51.6889192, 18.9798131 51.6889842, 18.979962 51.6890868, 18.9801109 51.6892543, 18.9805356 51.6899962, 18.9806516 51.6901283, 18.9807463 51.6901857)",,,
29462112,False,,Widawska,tertiary,,False,91.689,"LINESTRING (18.9757027 51.690117, 18.9757155 51.6901616, 18.9757411 51.690222, 18.976026 51.6908506, 18.9760545 51.690912)",2,6,
29462112,False,,Widawska,tertiary,,True,38.171,"LINESTRING (18.9757027 51.690117, 18.9757114 51.6900679, 18.9757635 51.6897758)",2,6,
128770308,False,,Senatorska,residential,,False,161.404,"LINESTRING (18.9757027 51.690117, 18.9756014 51.6901566, 18.9737207 51.6908899)",,,
"[100954097, 849426611, 849426612]",False,710,Jana Kilińskiego,secondary,,False,322.772,"LINESTRING (18.9830026 51.6935364, 18.9829036 51.693453, 18.9828267 51.6933701, 18.9827652 51.6933037, 18.9827181 51.6932266, 18.9826884 51.6931531, 18.9826676 51.6930948, 18.9826036 51.6929162, 18.9825029 51.6926029, 18.9824483 51.6924366, 18.9822484 51.691838, 18.9820233 51.6911351, 18.9819409 51.6908925, 18.9818939 51.690734)",2,,yes
100954098,False,,Glinianki,unclassified,,True,116.404,"LINESTRING (18.9830026 51.6935364, 18.9829311 51.6935801, 18.982879 51.693626, 18.9828635 51.6936628, 18.9828684 51.6936986, 18.9828717 51.6937111, 18.9829001 51.6938201, 18.9831382 51.6945365)",,,
57932365,False,,Stodolniana,residential,,False,53.406,"LINESTRING (18.9831382 51.6945365, 18.9823841 51.6946469)",,,
858968551,False,,Glinianki,unclassified,,True,187.126,"LINESTRING (18.9831382 51.6945365, 18.9837271 51.6961793)",,,
100954098,False,,Glinianki,unclassified,,False,116.40400000000001,"LINESTRING (18.9831382 51.6945365, 18.9829001 51.6938201, 18.9828717 51.6937111, 18.9828684 51.6936986, 18.9828635 51.6936628, 18.982879 51.693626, 18.9829311 51.6935801, 18.9830026 51.6935364)",,,
57932365,False,,Stodolniana,residential,,True,406.76400000000007,"LINESTRING (18.976514 51.6945849, 18.9766854 51.6945803, 18.9767589 51.6945794, 18.9768401 51.6945825, 18.9774788 51.6945575, 18.979004 51.6944978, 18.9792789 51.6944957, 18.9795469 51.6944982, 18.9796804 51.6945033, 18.9798261 51.6945077, 18.9801242 51.6945288, 18.9813383 51.6946548, 18.9815808 51.6946782, 18.9817184 51.6946852, 18.981857 51.6946835, 18.9819864 51.6946814, 18.9821219 51.6946732, 18.9823841 51.6946469)",,,
128770315,False,473,Uniejowska,secondary,40,False,132.902,"LINESTRING (18.976514 51.6945849, 18.9766016 51.6945127, 18.9766596 51.6944334, 18.9767052 51.6943743, 18.9767361 51.6942995, 18.9767683 51.6942264, 18.976779 51.6941515, 18.9767397 51.6934278)",2,,
1103507979,False,473,Szosa Uniejowska,secondary,,True,17.023,"LINESTRING (18.976514 51.6945849, 18.9764157 51.6946493, 18.976337 51.6946914)",2,,
128770320,False,,Grabowiny,tertiary,,True,22.490000000000002,"LINESTRING (18.9759132 51.6949328, 18.9759249 51.6948757, 18.975914 51.6948306, 18.9758558 51.694799, 18.9757842 51.6947736)",,,
369221348,False,473,Szosa Uniejowska,secondary,,False,39.672,"LINESTRING (18.9759132 51.6949328, 18.9761065 51.6948203, 18.976337 51.6946914)",2,,
