osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,ref,junction,bridge,tunnel
45791284,Władysława Szafera,residential,False,True,116.57900000000001,"LINESTRING (21.0483428 49.8945716, 21.0481593 49.8943307, 21.0479725 49.8940994, 21.0478155 49.8938705, 21.047738 49.8937711, 21.047708 49.8937037, 21.0476804 49.8936542, 21.047662 49.8936211)",,,,,,
45791312,Józefa Bema,residential,False,True,58.89600000000001,"LINESTRING (21.0542933 49.8934732, 21.0539974 49.8936119, 21.0538065 49.8936898, 21.0536761 49.8937402, 21.053609 49.8937661)",,,,,,
45791322,Wspólna,residential,False,True,73.816,"LINESTRING (21.0571831 49.8934036, 21.0581272 49.8932505, 21.0581813 49.8932391)",,,,,,
"[331317756, 240811423]",Ignacego Daszyńskiego,tertiary,False,True,120.246,"LINESTRING (21.0545349 49.896538, 21.0545097 49.896502, 21.0544823 49.8964368, 21.0544661 49.8963454, 21.0544312 49.8959726, 21.054402 49.8957657, 21.0543719 49.8955526, 21.0543567 49.895466)",30,2,,,,
"[450579764, 331317759]",Kąpielowa,residential,False,False,197.29899999999998,"LINESTRING (21.0545349 49.896538, 21.0544794 49.8965829, 21.054469 49.8965913, 21.0544152 49.8966347, 21.054408 49.8966659, 21.0543843 49.8967676, 21.0543775 49.8968969, 21.0543815 49.896953, 21.0543897 49.8970682, 21.0544039 49.897131, 21.0544335 49.8972407, 21.0544767 49.897454, 21.0545481 49.8979277, 21.0545813 49.8980874, 21.0545868 49.8981104, 21.0546018 49.8981737, 21.0545966 49.8982748)",,,,,,
986867147,Ignacego Daszyńskiego,tertiary,False,False,141.562,"LINESTRING (21.0545349 49.896538, 21.0545543 49.8965657, 21.0546166 49.8966281, 21.0547283 49.8966997, 21.0548897 49.8967923, 21.0549257 49.8968129, 21.0550252 49.8968761, 21.0551047 49.8969396, 21.0551299 49.896963, 21.0551538 49.8969851, 21.0551909 49.8970309, 21.0552219 49.8970867, 21.0552478 49.8971352, 21.0553235 49.8973105, 21.0553845 49.8974676, 21.0554167 49.8975226, 21.0554565 49.8975749, 21.0555021 49.8976111)",30,,,,,
45791333,Stefana Piotrowskiego,residential,False,False,216.806,"LINESTRING (21.0585652 49.8968399, 21.0585655 49.8969228, 21.0585657 49.8969659, 21.0585595 49.8970059, 21.0585351 49.8971633, 21.0585234 49.8972342, 21.0585186 49.8972637, 21.058505 49.8973464, 21.0585021 49.897364, 21.0584895 49.897441, 21.058477 49.8975171, 21.0584747 49.8975563, 21.0584671 49.8976874, 21.0584668 49.8977925, 21.0584663 49.8980041, 21.058472 49.8982588, 21.0584733 49.8983283, 21.058474 49.8983618, 21.0584642 49.8983844, 21.0584348 49.8983973, 21.0580129 49.8984574, 21.057926 49.8984678, 21.0578602 49.8984758)",50,,,,,
45791296,Ryglicka,secondary,True,False,32.66,"LINESTRING (21.0584023 49.8995869, 21.0584502 49.8995677, 21.0585333 49.8995382, 21.0586603 49.8994999, 21.0588214 49.8994786)",,,977,,,
689343564,"Rondo ""Lipowego Wzgórza""",secondary,True,False,14.609,"LINESTRING (21.0584023 49.8995869, 21.0584525 49.8996164, 21.0584851 49.8996548, 21.0584967 49.899698)",,1,977,roundabout,,
1015254563,Tarnowska,tertiary,True,False,15.722,"LINESTRING (21.058228 49.8994367, 21.0583154 49.8995664)",,1,,,,
"[202243504, 762549448]","['Most Mariana Stylińskiego', 'Ignacego Daszyńskiego']",tertiary,False,True,110.073,"LINESTRING (21.058228 49.8994367, 21.0579487 49.8986838, 21.0578923 49.8985378, 21.0578602 49.8984758)",,2,,,yes,
213161283,Ignacego Jana Paderewskiego,residential,False,False,149.662,"LINESTRING (21.0499655 49.8929678, 21.0504411 49.8929173, 21.0505105 49.8929207, 21.0505392 49.8929312, 21.0505601 49.8929581, 21.050727 49.8932874, 21.0505041 49.8934078, 21.0500258 49.8936713)",,,,,,
45791331,Stroma,residential,False,True,94.623,"LINESTRING (21.0545946 49.8959844, 21.0548152 49.8959496, 21.055127 49.8958982, 21.0553402 49.8958745, 21.0553776 49.895855, 21.0553908 49.8958254, 21.0554064 49.8955806, 21.0554151 49.8955588, 21.05542 49.8955303)",,,,,,
627845848,Tadeusza Kościuszki,residential,False,True,23.085,"LINESTRING (21.0534581 49.8962251, 21.0534611 49.8961668, 21.0534161 49.8960373, 21.0534062 49.896022)",,,,,,
232710609,,living_street,False,True,74.407,"LINESTRING (21.0556439 49.8937289, 21.0551731 49.893883, 21.0547696 49.8940192, 21.0547208 49.8940357)",,,,,,
45791316,Kazimierza Wielkiego,residential,False,False,264.398,"LINESTRING (21.0560144 49.8910834, 21.0557273 49.8911836, 21.0554667 49.8912784, 21.055194 49.8913736, 21.0550688 49.8914206, 21.0548237 49.8915125, 21.0547031 49.8915559, 21.0546653 49.8915613, 21.0546461 49.8915641, 21.0545849 49.8915744, 21.0544883 49.8915755, 21.0541613 49.8915858, 21.053916 49.8915936, 21.0533217 49.8916175, 21.0532985 49.8916184, 21.0526666 49.8916327, 21.0526401 49.8916333, 21.0526169 49.8916343, 21.0525749 49.8916361, 21.0525209 49.8916385)",,,,,,
687676534,Kolejowa,residential,False,False,100.855,"LINESTRING (21.0597849 49.891613, 21.0597099 49.891638, 21.0595607 49.8916878, 21.0593818 49.8917475, 21.0585502 49.8920486)",,,,,,
45791316,Kazimierza Wielkiego,residential,False,True,264.39799999999997,"LINESTRING (21.0525209 49.8916385, 21.0525749 49.8916361, 21.0526169 49.8916343, 21.0526401 49.8916333, 21.0526666 49.8916327, 21.0532985 49.8916184, 21.0533217 49.8916175, 21.053916 49.8915936, 21.0541613 49.8915858, 21.0544883 49.8915755, 21.0545849 49.8915744, 21.0546461 49.8915641, 21.0546653 49.8915613, 21.0547031 49.8915559, 21.0548237 49.8915125, 21.0550688 49.8914206, 21.055194 49.8913736, 21.0554667 49.8912784, 21.0557273 49.8911836, 21.0560144 49.8910834)",,,,,,
1011718094,Adama Mickiewicza,tertiary,False,False,33.496,"LINESTRING (21.0525209 49.8916385, 21.0525555 49.8917939, 21.0525948 49.8919359)",50,,,,,
45791270,Widok,residential,False,False,316.545,"LINESTRING (21.0525948 49.8919359, 21.0525303 49.8919435, 21.0521608 49.8919871, 21.0519753 49.8920124, 21.0514375 49.8920858, 21.0509962 49.8921403, 21.0504621 49.8922092, 21.0496966 49.8922925, 21.0495574 49.8923166, 21.0494722 49.892351, 21.0494563 49.8923607, 21.049397 49.8923967, 21.0493034 49.892472, 21.0492859 49.8924861, 21.0491428 49.8926469, 21.0490622 49.8927375, 21.048869 49.8929426, 21.0487922 49.8930019)",,,,,,
"[45791326, 45791310, 1011718094]",Adama Mickiewicza,tertiary,False,False,122.161,"LINESTRING (21.0525948 49.8919359, 21.0526454 49.8920935, 21.0527382 49.8923021, 21.0528136 49.892466, 21.052853 49.8925453, 21.0529182 49.8926793, 21.0529781 49.8928028, 21.0530284 49.8929097, 21.0530706 49.8929902)",50,,,,yes,
1011718094,Adama Mickiewicza,tertiary,False,True,33.496,"LINESTRING (21.0525948 49.8919359, 21.0525555 49.8917939, 21.0525209 49.8916385)",50,,,,,
687676534,Kolejowa,residential,False,False,33.076,"LINESTRING (21.0585502 49.8920486, 21.0581449 49.8921911)",,,,,,
45791321,Władysława Reymonta,living_street,False,False,108.608,"LINESTRING (21.0585502 49.8920486, 21.0585745 49.8920799, 21.0586299 49.892151, 21.0588148 49.892379, 21.0588871 49.8924768, 21.0589643 49.8926327, 21.0590522 49.8928089, 21.0590954 49.8929142, 21.0591108 49.8929519)",,,,,,
687676534,Kolejowa,residential,False,True,100.85500000000002,"LINESTRING (21.0585502 49.8920486, 21.0593818 49.8917475, 21.0595607 49.8916878, 21.0597099 49.891638, 21.0597849 49.891613)",,,,,,
687676534,Kolejowa,residential,False,True,33.076,"LINESTRING (21.0581449 49.8921911, 21.0585502 49.8920486)",,,,,,
45791324,Władysława Reymonta,living_street,False,True,52.415000000000006,"LINESTRING (21.0581449 49.8921911, 21.0581696 49.8922225, 21.0583215 49.8924153, 21.0584783 49.8926107)",,,,,,
687676534,Kolejowa,residential,False,False,50.370000000000005,"LINESTRING (21.0581449 49.8921911, 21.0579222 49.8922538, 21.0578613 49.8922709, 21.0577496 49.8923024, 21.0575006 49.8923725)",,,,,,
45791308,Władysława Reymonta,residential,False,False,57.701,"LINESTRING (21.0575006 49.8923725, 21.0576206 49.8924518, 21.0576566 49.8924753, 21.0577999 49.8925829, 21.057937 49.8927189, 21.0579867 49.8927825)",,,,,,
