osmid,oneway,lanes,name,highway,maxspeed,junction,reversed,length,geometry,tunnel
147753134,True,4,Rondo Czterdziestolatka,secondary,50,circular,False,43.457,"LINESTRING (21.002132 52.2279733, 21.0019677 52.2279481, 21.0018254 52.2279233, 21.0017719 52.2279117, 21.0016853 52.2278878, 21.0015377 52.2278374)",
"[1199947097, 147753157, 881951134, 147753151]",True,"['2', '3']",Aleja Jana Pawła II,secondary,50,,False,227.26099999999997,"LINESTRING (21.002132 52.2279733, 21.0021007 52.2280148, 21.0020771 52.2280432, 21.0020221 52.2280973, 21.0019863 52.2281324, 21.0019566 52.2281619, 21.0018778 52.228243, 21.001811 52.2283317, 21.0016528 52.2285767, 21.0015451 52.228745, 21.0014712 52.2288646, 21.0014106 52.2289555, 21.0011518 52.2293546, 21.0010987 52.2294349, 21.0010217 52.2295515, 21.0009327 52.2296976, 21.0008193 52.2298487)",
148750391,True,3,Aleje Jerozolimskie,secondary,50,,False,34.885000000000005,"LINESTRING (21.002397 52.2275704, 21.0024795 52.2275963, 21.002856 52.2277096)",
148750405,True,4,Rondo Czterdziestolatka,secondary,50,circular,False,48.36,"LINESTRING (21.002397 52.2275704, 21.0022923 52.227754, 21.0022668 52.2277966, 21.002249 52.2278215, 21.0022137 52.2278654, 21.0021667 52.2279279, 21.002132 52.2279733)",
85277957,True,3,Aleja Jana Pawła II,secondary,50,,False,22.111,"LINESTRING (21.0003414 52.2303751, 21.0002121 52.2305575)",
352950103,True,3,Świętokrzyska,tertiary,50,,False,85.625,"LINESTRING (21.0010628 52.2336538, 21.0019435 52.2338311, 21.0020193 52.2338461, 21.0020821 52.2338585, 21.0022582 52.2338925)",
4968926,True,3,Aleje Jerozolimskie,secondary,50,,False,19.625,"LINESTRING (21.0055731 52.2286319, 21.0052982 52.228579)",
"[4943388, 1030884223]",True,2,Emilii Plater,tertiary,50,,False,68.05099999999999,"LINESTRING (21.0055731 52.2286319, 21.0055012 52.2287581, 21.0054731 52.2288076, 21.0052452 52.22921)",
"[4968928, 935207675, 305569804, 1123284805]",True,"['3', '5']",Aleje Jerozolimskie,secondary,50,,False,414.21100000000007,"LINESTRING (21.011225 52.2299655, 21.0111393 52.2299177, 21.0110516 52.2298802, 21.0109824 52.2298535, 21.0108794 52.2298133, 21.0106524 52.2297414, 21.0104767 52.2296878, 21.0102183 52.2296073, 21.0098293 52.2295231, 21.0097159 52.229498, 21.009645 52.2294813, 21.0093668 52.2294011, 21.0076783 52.2290418, 21.0071792 52.2289456, 21.0066874 52.2288551, 21.005916 52.2286979, 21.0055731 52.2286319)",
136989210,True,4,Rondo Romana Dmowskiego,secondary,50,circular,False,54.904,"LINESTRING (21.011225 52.2299655, 21.0112218 52.2298849, 21.0112371 52.2298098, 21.0112583 52.2297411, 21.0112739 52.229717, 21.0113117 52.229671, 21.0113557 52.2296175, 21.0115084 52.2295269)",
