osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,ref
113103794,2,Poniatowskiego,tertiary,50,False,True,7.859,"LINESTRING (22.8570798 51.4939054, 22.8571749 51.4938668)",,
303016951,2,Żabia,tertiary,,False,False,154.65800000000002,"LINESTRING (22.8570798 51.4939054, 22.8566604 51.4939912, 22.8563045 51.4940232, 22.8560182 51.494023, 22.8557397 51.4940069, 22.8548808 51.4939335)",,
995734798,2,Tadeusza Kościuszki,residential,,False,False,33.949,"LINESTRING (22.8570798 51.4939054, 22.8571157 51.4939649, 22.8572377 51.4941944)",,
186299216,,Piaskowa,residential,,False,False,99.536,"LINESTRING (22.8504747 51.5007663, 22.851894 51.5009101)",,
186299216,,Piaskowa,residential,,False,True,99.536,"LINESTRING (22.851894 51.5009101, 22.8504747 51.5007663)",,
304155206,2,Błotna,residential,,False,False,164.595,"LINESTRING (22.851894 51.5009101, 22.8519099 51.5007928, 22.8519598 51.5004223, 22.8519852 51.50033, 22.8520821 51.5001711, 22.8521611 51.5000821, 22.8522585 51.4999969, 22.8524648 51.4998709, 22.8526955 51.4997564, 22.8528226 51.4997228, 22.8529252 51.4996911)",,
304155206,2,Błotna,residential,,False,True,63.36,"LINESTRING (22.851894 51.5009101, 22.851867 51.5011279, 22.8518245 51.5013184, 22.851762 51.5014726)",,
113103811,,Wrzosowa,residential,,False,True,119.827,"LINESTRING (22.851762 51.5014726, 22.850376 51.501268, 22.8500703 51.5012525)",,
304155206,2,Błotna,residential,,False,False,63.36,"LINESTRING (22.851762 51.5014726, 22.8518245 51.5013184, 22.851867 51.5011279, 22.851894 51.5009101)",,
32089153,2,Batalionów Chłopskich,residential,,False,False,31.081,"LINESTRING (22.855711 51.4985713, 22.8556558 51.4988487)",6,
113103812,2,Partyzantów,residential,,False,False,28.435,"LINESTRING (22.855711 51.4985713, 22.8557731 51.4986221, 22.8559733 51.498768)",,
304155204,2,Partyzantów,residential,40,False,True,141.471,"LINESTRING (22.855711 51.4985713, 22.8550649 51.4974811, 22.8549883 51.4973817)",6,
"[1202872946, 32089143]",2,Partyzantów,residential,,False,False,239.23900000000003,"LINESTRING (22.853955 51.4944655, 22.8539632 51.4945953, 22.8539708 51.4946482, 22.8539955 51.4947902, 22.8540009 51.4948382, 22.8540762 51.495147, 22.8541248 51.495367, 22.8541398 51.4954254, 22.8541749 51.4955843, 22.8542166 51.4957649, 22.854387 51.4962141, 22.8545429 51.4965811)",6.5,
