osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,access,width,bridge,junction,tunnel,ref
"[1074043653, 1099238130, 138617399, 399634813, 399634814]",2,Dworcowa,tertiary,30,False,"[False, True]",105.53200000000001,"LINESTRING (15.5695666 54.178954, 15.569572 54.1790021, 15.5695814 54.1790866, 15.5695855 54.1791221, 15.5695874 54.1791403, 15.5695995 54.1792486, 15.569652 54.17967, 15.5696569 54.1797016, 15.5696733 54.1798028, 15.5696804 54.1798416, 15.5696845 54.1798644, 15.569691 54.1799002)",,,,,,
"[1074043650, 1099238131, 23755387]",2,Dworcowa,tertiary,30,False,"[False, True]",194.693,"LINESTRING (15.5695666 54.178954, 15.5695226 54.1788038, 15.5695141 54.1787598, 15.5695109 54.1787392, 15.5695054 54.1787029, 15.5694903 54.178576, 15.569456 54.1783304, 15.5694479 54.178274, 15.5694465 54.1782641, 15.569426 54.1781224, 15.569336 54.1775021, 15.5693329 54.1774799, 15.5693289 54.1774504, 15.5693234 54.1774108, 15.5692911 54.1772111)",,,,,,
"[286417073, 1099492028, 1099492029]","['2', '3']",Armii Krajowej,tertiary,30,False,"[False, True]",78.474,"LINESTRING (15.5695666 54.178954, 15.5698167 54.1788726, 15.569891 54.1788485, 15.5699628 54.1788252, 15.570277 54.1787129, 15.5706051 54.1785956)",yes,,,,,
"[399498344, 138617394, 399498343]",2,Podporucznika Edmunda Łopuskiego,tertiary,30,True,False,213.54500000000002,"LINESTRING (15.5725462 54.1777947, 15.5727644 54.17788, 15.5727941 54.1778923, 15.5728891 54.1779317, 15.5732666 54.1780966, 15.5733498 54.1781339, 15.573563 54.1782271, 15.574406 54.1785975, 15.5748622 54.1787967, 15.5749155 54.1788201, 15.5751832 54.1789372)",,,,,,
"[286417074, 286417078, 286417077, 338486550]","['2', '3']",Podporucznika Edmunda Łopuskiego,tertiary,30,False,True,150.149,"LINESTRING (15.5725462 54.1777947, 15.5723708 54.1777241, 15.5723307 54.1777083, 15.5720182 54.1775567, 15.571826 54.1774635, 15.5716412 54.1773739, 15.5715674 54.177338, 15.571506 54.1773084, 15.5714262 54.1772696, 15.5711393 54.1771305, 15.5707553 54.1769443)",yes,,,,,
"[400383675, 126506396, 23755373]",2,Armii Krajowej,"['unclassified', 'tertiary']",30,True,False,100.739,"LINESTRING (15.5725462 54.1777947, 15.5725859 54.1777681, 15.5726612 54.1777176, 15.5726815 54.177704, 15.5729867 54.1775093, 15.5732636 54.1773328, 15.573355 54.1772809, 15.5733777 54.1772688, 15.5734981 54.177205, 15.5736175 54.1771419)",,,,,,
"[126506395, 1099238126]",3,Armii Krajowej,tertiary,30,False,False,52.191,"LINESTRING (15.5725462 54.1777947, 15.5724344 54.1778697, 15.5724242 54.1778765, 15.5724053 54.1778892, 15.5722828 54.1779647, 15.5721041 54.1780731, 15.5719856 54.1781292)",yes,,,,,
"[126506395, 1099238126]",3,Armii Krajowej,tertiary,30,False,True,52.190999999999995,"LINESTRING (15.5719856 54.1781292, 15.5721041 54.1780731, 15.5722828 54.1779647, 15.5724053 54.1778892, 15.5724242 54.1778765, 15.5724344 54.1778697, 15.5725462 54.1777947)",yes,,,,,
179016938,1,Armii Krajowej,tertiary,30,True,False,42.246,"LINESTRING (15.5719856 54.1781292, 15.5717997 54.1782298, 15.5717687 54.1782461, 15.571725 54.1782722, 15.57168 54.1783052, 15.5716278 54.1783457, 15.5715855 54.1783809, 15.5715587 54.178412)",yes,,,,,
23755373,2,Armii Krajowej,unclassified,30,True,False,89.363,"LINESTRING (15.5736175 54.1771419, 15.5740529 54.1769204, 15.5745081 54.1766904, 15.5745311 54.1766784, 15.5746476 54.1766108)",,,,,,
"[1074043653, 1099238130, 138617399, 399634813, 399634814]",2,Dworcowa,tertiary,30,False,"[False, True]",105.53200000000001,"LINESTRING (15.569691 54.1799002, 15.5696845 54.1798644, 15.5696804 54.1798416, 15.5696733 54.1798028, 15.5696569 54.1797016, 15.569652 54.17967, 15.5695995 54.1792486, 15.5695874 54.1791403, 15.5695855 54.1791221, 15.5695814 54.1790866, 15.569572 54.1790021, 15.5695666 54.178954)",,,,,,
"[138614569, 955455690]",2,Plac 18 Marca,tertiary,30,False,False,93.94399999999999,"LINESTRING (15.569691 54.1799002, 15.569796 54.1798848, 15.5698529 54.179877, 15.569908 54.1798713, 15.5699602 54.1798682, 15.5700358 54.1798642, 15.5701247 54.1798591, 15.5708645 54.1798162, 15.5709122 54.1798137, 15.5711233 54.1798026)",,,,,,
1013694457,2,Podporucznika Edmunda Łopuskiego,tertiary,30,False,False,12.903,"LINESTRING (15.5751832 54.1789372, 15.57533 54.1790152)",,,,,,
"[23755351, 1013694455]",,Aleja św. Jana Pawła II,tertiary,30,True,False,126.828,"LINESTRING (15.5751832 54.1789372, 15.5754444 54.1788593, 15.5754723 54.1788509, 15.5758492 54.1787382, 15.5766721 54.1784924, 15.5767221 54.178478, 15.5767446 54.1784715, 15.576921 54.178421)",,,,,,
172840150,2,Jana Kilińskiego,residential,,False,True,53.992,"LINESTRING (15.57363 54.1795215, 15.5736264 54.1795413, 15.5736249 54.1795498, 15.5736256 54.1795768, 15.5736303 54.1797596, 15.5736367 54.1799561, 15.5736223 54.17998, 15.5736032 54.1800028)",,,,,,
