osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,width,bridge
221256537,2,Stefana Okrzei,residential,50,False,True,176.97899999999998,"LINESTRING (17.0125828 50.466048, 17.0125507 50.4660287, 17.0124927 50.4659953, 17.0108296 50.464995, 17.0107642 50.4649557)",,,
963402983,2,Jana Pawła II,secondary,,False,False,94.42699999999999,"LINESTRING (17.0125828 50.466048, 17.0116715 50.4664596, 17.0115808 50.4665047, 17.0115038 50.4665469)",382,,
128213810,2,Armii Krajowej,secondary,50,False,False,90.31800000000001,"LINESTRING (17.0115038 50.4665469, 17.0115658 50.4666322, 17.0116069 50.4666786, 17.0118481 50.4669406, 17.012127 50.4672553)",382,,
296771127,2,Armii Krajowej,residential,50,False,True,121.433,"LINESTRING (17.0115038 50.4665469, 17.0114359 50.4665049, 17.0110477 50.4662762, 17.0102054 50.4658338)",,,
963402983,2,Jana Pawła II,secondary,,False,True,94.42699999999999,"LINESTRING (17.0115038 50.4665469, 17.0115808 50.4665047, 17.0116715 50.4664596, 17.0125828 50.466048)",382,,
32198587,2,Mikołaja Kopernika,tertiary,,False,True,243.579,"LINESTRING (17.0077486 50.4604981, 17.0078806 50.4605528, 17.0079926 50.4605904, 17.0083762 50.4607226, 17.0088961 50.4609184, 17.0092013 50.4609583, 17.0108188 50.4610814, 17.0109933 50.4610962)",,,
466598104,2,Henryka Sienkiewicza,tertiary,,False,True,260.01300000000003,"LINESTRING (17.0077486 50.4604981, 17.0076372 50.4605825, 17.0072339 50.4608833, 17.0065443 50.4613575, 17.0053228 50.4620962, 17.0052779 50.4621106, 17.005163 50.4621474)",,,
466598104,2,Henryka Sienkiewicza,tertiary,,False,False,260.01300000000003,"LINESTRING (17.005163 50.4621474, 17.0052779 50.4621106, 17.0053228 50.4620962, 17.0065443 50.4613575, 17.0072339 50.4608833, 17.0076372 50.4605825, 17.0077486 50.4604981)",,,
1085565437,2,Henryka Sienkiewicza,tertiary,,False,True,85.286,"LINESTRING (17.005163 50.4621474, 17.0049958 50.4621657, 17.0049727 50.4621682, 17.0049047 50.4621716, 17.004193 50.46221, 17.0039679 50.4622378)",,,
233476310,3,Ignacego Daszyńskiego,tertiary,50,False,False,18.47,"LINESTRING (17.0038126 50.4622523, 17.0035523 50.4622638)",,,
893021989,3,Ignacego Daszyńskiego,tertiary,,False,True,11.111,"LINESTRING (17.0038126 50.4622523, 17.0039679 50.4622378)",,,
128213053,,Młyńska,tertiary,,False,True,373.73199999999997,"LINESTRING (17.013003 50.4684013, 17.0129299 50.4684014, 17.0128763 50.4684014, 17.0124358 50.4683031, 17.0116009 50.4681208, 17.0111886 50.4679761, 17.0108266 50.4678497, 17.0105731 50.4677572, 17.0102973 50.4676759, 17.0099631 50.4675774, 17.0098582 50.4675224, 17.0097918 50.4674268, 17.0097764 50.4671823, 17.0097593 50.4666608, 17.0096707 50.4665227, 17.0095552 50.4664052)",,,
714418900,2,Armii Krajowej,secondary,50,False,True,98.36,"LINESTRING (17.013003 50.4684013, 17.0129161 50.4682755, 17.012405 50.4676029)",382,,
32198166,,Gabriela Narutowicza,living_street,20,True,False,132.333,"LINESTRING (17.0042927 50.4627644, 17.0054916 50.4633892, 17.0056678 50.4634792, 17.0057253 50.4635267)",,,
"[712683685, 1085565438]",2,Ignacego Daszyńskiego,residential,50,False,True,42.78,"LINESTRING (17.0042927 50.4627644, 17.0042697 50.4627548, 17.0041937 50.4627142, 17.004121 50.4626508, 17.0040663 50.4625895, 17.0039763 50.4624454)",,,
128213043,,Rynek,living_street,20,True,False,67.938,"LINESTRING (17.007359 50.4644034, 17.0067814 50.4648225, 17.0067131 50.4648536)",,5,
