osmid,oneway,name,highway,reversed,length,geometry,maxspeed,lanes,ref,tunnel,junction,bridge
84734785,True,Żwirki i Wigury,residential,False,56.004999999999995,"LINESTRING (18.2201856 53.0803605, 18.2203093 53.0803511, 18.2210174 53.0802971)",,,,,,
84734803,False,Krótka,residential,True,108.934,"LINESTRING (18.2201856 53.0803605, 18.2201597 53.0802789, 18.2198989 53.0794579, 18.2198774 53.0793985)",,,,,,
298531064,False,Powstańców,tertiary,False,160.845,"LINESTRING (18.2254025 53.0750245, 18.2248856 53.0755975, 18.2245509 53.075924, 18.2243108 53.0761939, 18.2242085 53.0762794)",50,,,,,
84844147,False,Bukowa,residential,False,111.829,"LINESTRING (18.2242085 53.0762794, 18.2241342 53.0762363, 18.2241215 53.0762097, 18.2237018 53.0753291)",,,,,,
298531064,False,Powstańców,tertiary,True,160.845,"LINESTRING (18.2242085 53.0762794, 18.2243108 53.0761939, 18.2245509 53.075924, 18.2248856 53.0755975, 18.2254025 53.0750245)",50,,,,,
892322207,False,Powstańców,tertiary,True,71.279,"LINESTRING (18.2242085 53.0762794, 18.2239946 53.0764099, 18.2238717 53.0764848, 18.2237107 53.076563, 18.2235593 53.076612, 18.2235131 53.076627, 18.2233753 53.0766704)",50,,,,,
1110756449,False,Garbary,residential,False,47.324999999999996,"LINESTRING (18.2234483 53.078146, 18.223704 53.0780722, 18.2240361 53.0779765, 18.2240865 53.0779612)",50,2,,,,
273322097,False,23 Stycznia,secondary,False,230.18099999999998,"LINESTRING (18.2242424 53.0796528, 18.2242311 53.0796894, 18.2242188 53.0797334, 18.2242187 53.0797869, 18.2242283 53.0798465, 18.2242441 53.0798833, 18.2242654 53.0799205, 18.2242959 53.0799596, 18.224934 53.0806992, 18.2255576 53.0814156, 18.2256445 53.0815157)",50,2,249,,,
273322097,False,23 Stycznia,secondary,True,22.255,"LINESTRING (18.2242424 53.0796528, 18.2243051 53.0795406, 18.2243323 53.0794829, 18.2243402 53.0794616)",50,2,249,,,
84734785,True,Żwirki i Wigury,residential,False,151.584,"LINESTRING (18.2221906 53.0801687, 18.2223289 53.0801222, 18.2227813 53.0799757, 18.2229381 53.0799281, 18.2235887 53.0797119, 18.2237968 53.0796551, 18.2238851 53.0796427, 18.2239299 53.0796401, 18.2239699 53.0796394, 18.2240206 53.0796405, 18.2242424 53.0796528)",,,,,,
84734792,False,Bohaterów Września,residential,False,247.505,"LINESTRING (18.2221906 53.0801687, 18.2222266 53.0802221, 18.2225074 53.0805898, 18.22302 53.0812612, 18.2236723 53.0821154, 18.2237316 53.0821929)",,,,,,
46233723,True,Juliusza Słowackiego,residential,False,93.446,"LINESTRING (18.2191924 53.083487, 18.2191821 53.0834188, 18.2190767 53.0827254, 18.2190652 53.0826501)",,,,,,
173670809,True,Bydgoska,secondary,False,181.043,"LINESTRING (18.2191924 53.083487, 18.2193345 53.0834811, 18.2199937 53.0834416, 18.221695 53.0833398, 18.2218901 53.0833284)",40,2,249;394,,,
84734791,False,Adama Mickiewicza,residential,False,102.996,"LINESTRING (18.2218901 53.0833284, 18.221868 53.0832646, 18.2215971 53.0824859, 18.2215748 53.0824217)",,,,,,
173670809,True,Bydgoska,secondary,False,166.13,"LINESTRING (18.2218901 53.0833284, 18.2219788 53.0833226, 18.2221412 53.0833141, 18.2230824 53.0832672, 18.2233676 53.0832577, 18.2236759 53.0832546, 18.2243022 53.0832622, 18.2243724 53.0832643)",40,2,249;394,,,
977049947,True,Bydgoska,secondary,False,103.292,"LINESTRING (18.2243724 53.0832643, 18.2245463 53.0832646, 18.2247353 53.0832623, 18.2257298 53.0832236, 18.2259154 53.0832099)",40,2,249;394,,,
256464361,False,Garbary,residential,False,36.204,"LINESTRING (18.2302816 53.0766203, 18.2307954 53.0765167)",,,,,,
