osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,ref
141134242,2,Garncarska,residential,50,True,False,87.318,"LINESTRING (17.7857601 51.8945367, 17.7870235 51.894443)",,
332290977,1,Henryka Sienkiewicza,tertiary,50,True,False,57.915,"LINESTRING (17.7857601 51.8945367, 17.7857948 51.8950571)",,
141115941,2,Stolarska,residential,50,False,False,54.809,"LINESTRING (17.7895503 51.8946014, 17.7895371 51.8945831, 17.7892247 51.8941513)",,
141134254,2,Krzywa,residential,50,False,False,120.39099999999999,"LINESTRING (17.7895503 51.8946014, 17.7896229 51.8945997, 17.7897071 51.8946126, 17.7911543 51.8948606, 17.791244 51.894876)",,
141134254,2,Krzywa,residential,50,False,True,72.594,"LINESTRING (17.7895503 51.8946014, 17.7886866 51.8948666, 17.7886669 51.8948727, 17.7886032 51.8948923)",,
141134254,2,Krzywa,residential,50,False,True,120.39099999999999,"LINESTRING (17.791244 51.894876, 17.7911543 51.8948606, 17.7897071 51.8946126, 17.7896229 51.8945997, 17.7895503 51.8946014)",,
141134273,2,Wodna,tertiary,30,False,True,132.817,"LINESTRING (17.791244 51.894876, 17.7908044 51.8939383, 17.7907868 51.8938886, 17.79078 51.8938626, 17.7907776 51.8938381, 17.790783 51.8937216)",,
285895249,2,Wodna,tertiary,50,False,False,46.941,"LINESTRING (17.791244 51.894876, 17.7913992 51.8952339, 17.791422 51.8952836)",,
141115973,2,Garncarska,residential,50,True,False,124.25,"LINESTRING (17.7886032 51.8948923, 17.788415 51.8947846, 17.7882255 51.8946936, 17.7880173 51.8946054, 17.7877952 51.8945214, 17.7875743 51.8944608, 17.7874529 51.8944372, 17.7873505 51.8944267, 17.7870235 51.894443)",,
141134254,2,Krzywa,residential,50,False,False,72.594,"LINESTRING (17.7886032 51.8948923, 17.7886669 51.8948727, 17.7886866 51.8948666, 17.7895503 51.8946014)",,
194566787,2,Garncarska,residential,50,False,True,59.69,"LINESTRING (17.7886032 51.8948923, 17.7886597 51.8949403, 17.7887059 51.895003, 17.7888778 51.8953314, 17.7888922 51.8953572, 17.7889174 51.8953899)",,
141115962,2,Krzyżowa,residential,50,True,False,53.681000000000004,"LINESTRING (17.7870822 51.8949892, 17.7871268 51.8954044, 17.7871295 51.8954297, 17.787134 51.8954709)",,
277588769,2,Kaliska,tertiary,50,False,True,109.637,"LINESTRING (17.791422 51.8952836, 17.7912311 51.8952934, 17.7906209 51.8953168, 17.7898283 51.8953535)",,
285895249,2,Wodna,tertiary,50,False,True,46.941,"LINESTRING (17.791422 51.8952836, 17.7913992 51.8952339, 17.791244 51.894876)",,
172460531,2,Kaliska,tertiary,50,False,False,51.938,"LINESTRING (17.787134 51.8954709, 17.7872549 51.8954563, 17.7878874 51.895432)",,
271322847,2,Rynek,tertiary,50,False,True,16.472,"LINESTRING (17.787134 51.8954709, 17.7869645 51.8955149, 17.7869127 51.8955283)",,
