osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,access,bridge,junction
51143257,Adama Mickiewicza,residential,False,True,99.958,"LINESTRING (22.9771772 53.8401645, 22.9769814 53.8402401, 22.9768279 53.8402983, 22.9760657 53.8405757, 22.9758856 53.8406412)",,,,,
220587528,Kościelna,residential,False,True,315.52,"LINESTRING (22.9771772 53.8401645, 22.9772824 53.8402933, 22.9774691 53.8405056, 22.9776783 53.8407097, 22.9782438 53.84121, 22.9783821 53.8413294, 22.9784986 53.8414299, 22.9786265 53.8415403, 22.9787789 53.8416718, 22.9797216 53.8424883, 22.9797846 53.8425454)",,,,,
51143257,Adama Mickiewicza,residential,False,False,99.95800000000001,"LINESTRING (22.9758856 53.8406412, 22.9760657 53.8405757, 22.9768279 53.8402983, 22.9769814 53.8402401, 22.9771772 53.8401645)",,,,,
209235616,Wojska Polskiego,tertiary,False,False,192.769,"LINESTRING (22.9758856 53.8406412, 22.9760896 53.840829, 22.9763381 53.8410644, 22.976903 53.8415732, 22.9775109 53.842085)",2,,,,
996125205,Wojska Polskiego,tertiary,False,True,172.34699999999998,"LINESTRING (22.9758856 53.8406412, 22.975789 53.8405523, 22.9753129 53.8401175, 22.9745396 53.839419, 22.9744571 53.8393405)",2,,,,
71007000,Polna,residential,False,False,158.584,"LINESTRING (22.97516 53.8431585, 22.9750065 53.8430501, 22.973644 53.8420477)",,,,,
178967593,Polna,tertiary,False,True,43.718,"LINESTRING (22.97516 53.8431585, 22.9752858 53.8432474, 22.9756189 53.8434431)",,,,,
303526771,Rajgrodzka,tertiary,False,True,73.263,"LINESTRING (22.97516 53.8431585, 22.9749691 53.8432533, 22.9744094 53.8434872, 22.9742655 53.8435523)",,,,,
"[71003358, 1154052750]",Mariana Jonkajtysa,tertiary,False,False,108.535,"LINESTRING (22.97516 53.8431585, 22.9752692 53.8431086, 22.9757185 53.8429035, 22.9763863 53.8425985, 22.9764683 53.8425611)",,,,,
71007000,Polna,residential,False,True,48.212,"LINESTRING (22.9731804 53.8417113, 22.9733422 53.8418287, 22.973644 53.8420477)",,,,,
173727825,Polna,tertiary,False,False,50.573,"LINESTRING (22.9765096 53.8440287, 22.9759761 53.8437004)",,,,,
220587529,Rynek Zygmunta Augusta,tertiary,False,True,177.44199999999998,"LINESTRING (22.9765096 53.8440287, 22.9766425 53.8439754, 22.9784347 53.8432303, 22.9785657 53.8431758, 22.9786279 53.8431344, 22.9786596 53.84308)",,,,,
420522120,Rynek Zygmunta Augusta,tertiary,False,True,27.9,"LINESTRING (22.9765096 53.8440287, 22.9766421 53.8441295, 22.9767719 53.8442262)",,,,,
"[51143253, 1163962495]",Księdza Ignacego Skorupki,residential,True,False,114.80199999999999,"LINESTRING (22.9797846 53.8425454, 22.9798798 53.8425094, 22.9803173 53.8423442, 22.9804886 53.8422795, 22.9805258 53.8422655, 22.9809067 53.8421216, 22.9810177 53.8420797, 22.9812584 53.8419888)",2,,,,
220587528,Kościelna,residential,False,False,315.52,"LINESTRING (22.9797846 53.8425454, 22.9797216 53.8424883, 22.9787789 53.8416718, 22.9786265 53.8415403, 22.9784986 53.8414299, 22.9783821 53.8413294, 22.9782438 53.84121, 22.9776783 53.8407097, 22.9774691 53.8405056, 22.9772824 53.8402933, 22.9771772 53.8401645)",,,,,
209235416,3 Maja,tertiary,False,False,21.235,"LINESTRING (22.9804138 53.844047, 22.9801408 53.8441496)",,50,,,
819030429,3 Maja,tertiary,False,True,64.444,"LINESTRING (22.9804138 53.844047, 22.9812225 53.843718)",2,50,,,
