osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,width,access,tunnel,bridge
238750031,2,493,Lubliniecka,secondary,50,False,False,169.116,"LINESTRING (18.4279648 50.8730721, 18.4278626 50.8731281, 18.4273314 50.8734194, 18.4270638 50.8735634, 18.4269285 50.8736229, 18.426818 50.8736649, 18.4267027 50.8736989, 18.426644 50.8737112, 18.425946 50.8738592)",,,,,
152022447,,,Armii Krajowej,residential,,False,True,114.54100000000003,"LINESTRING (18.4210057 50.8746777, 18.421019 50.8747132, 18.4210274 50.8747351, 18.4210479 50.8747896, 18.4211103 50.8749534, 18.4211842 50.8751472, 18.4212057 50.8752038, 18.4212666 50.8753636, 18.4212923 50.8754629, 18.4212953 50.8754812, 18.4213117 50.8755766, 18.4213204 50.8756481, 18.421323 50.8756679, 18.4213287 50.8756857)",,,,,
"[176046473, 1102787828]","['2', '3']",493;494,Wielkie Przedmieście,secondary,50,False,True,342.895,"LINESTRING (18.4210057 50.8746777, 18.421666 50.8745865, 18.4217229 50.8745778, 18.4230026 50.8744191, 18.4231954 50.8743952, 18.423615 50.8743432, 18.4238202 50.8743082, 18.4246154 50.8741474, 18.4251971 50.8740284, 18.4255928 50.8739432, 18.4257303 50.8739106)",,,,,
1222352605,2,493;494,Wielkie Przedmieście,secondary,50,False,False,42.048,"LINESTRING (18.4210057 50.8746777, 18.4209297 50.874688, 18.4207551 50.8747106, 18.4204198 50.8747571)",,,,,
186162562,,,Obrońców Westerplatte,living_street,,True,False,47.541,"LINESTRING (18.4204198 50.8747571, 18.4204049 50.8747063, 18.4203761 50.8746081, 18.4202965 50.8743367)",,,,,
1222352605,2,493;494,Wielkie Przedmieście,secondary,50,False,False,77.666,"LINESTRING (18.4204198 50.8747571, 18.4199158 50.8748247, 18.4193371 50.8749023)",,,,,
1222352605,2,493;494,Wielkie Przedmieście,secondary,50,False,True,42.048,"LINESTRING (18.4204198 50.8747571, 18.4207551 50.8747106, 18.4209297 50.874688, 18.4210057 50.8746777)",,,,,
172282923,,,Grunwaldzka,residential,,False,False,139.85600000000002,"LINESTRING (18.4193371 50.8749023, 18.4193286 50.8748893, 18.4193247 50.8748817, 18.419216 50.874719, 18.4190295 50.8744365, 18.4189283 50.8742832, 18.418918 50.8742676, 18.4188012 50.8740908, 18.4186595 50.8738901, 18.4186338 50.8738537, 18.4185895 50.8737909, 18.418549 50.8737476)",,,,,
1222352605,2,493;494,Wielkie Przedmieście,secondary,50,False,False,32.334,"LINESTRING (18.4193371 50.8749023, 18.4191103 50.8749267, 18.4189164 50.8749475, 18.4188828 50.8749511)",,,,,
1222352605,2,493;494,Wielkie Przedmieście,secondary,50,False,True,77.666,"LINESTRING (18.4193371 50.8749023, 18.4199158 50.8748247, 18.4204198 50.8747571)",,,,,
27327004,,494,,secondary,,True,False,12.181,"LINESTRING (18.4271187 50.8769046, 18.427103 50.8769301, 18.4270778 50.8769524, 18.4270448 50.8769702, 18.4270059 50.8769824)",roundabout,,,,
