osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,service
100133882,Adama Mickiewicza,tertiary,False,True,123.795,"LINESTRING (22.9891786 53.1427493, 22.9895055 53.1430951, 22.9897972 53.1434606, 22.9899723 53.1437021, 22.9900037 53.1437454)",,,
"[647357342, 815561375]","['Rynek 11 Listopada', 'Adama Mickiewicza']",tertiary,False,False,102.312,"LINESTRING (22.9891786 53.1427493, 22.9890876 53.1426671, 22.9889861 53.1425754, 22.9889037 53.1425206, 22.9888572 53.1425008, 22.988797 53.1424928, 22.9887519 53.1425003, 22.988709 53.1425206, 22.9886323 53.1425706, 22.9881513 53.1428996)",2,30,
99624307,Juliusza Słowackiego,residential,False,False,213.786,"LINESTRING (22.9940317 53.1461661, 22.9939115 53.1462542, 22.9934762 53.146541, 22.9933712 53.1465865, 22.9929504 53.1467089, 22.9928561 53.1467572, 22.99185 53.14754)",,,
297225603,Józefa Piłsudskiego,residential,False,True,70.09100000000001,"LINESTRING (22.9940317 53.1461661, 22.9940656 53.1461482, 22.9941319 53.1461064, 22.9947012 53.1456809)",,,
1235817195,Adama Mickiewicza,tertiary,False,False,103.755,"LINESTRING (22.9940317 53.1461661, 22.9938986 53.1461055, 22.9928295 53.145574)",,50,
84955437,Lipowa,residential,False,True,256.07300000000004,"LINESTRING (22.9900037 53.1437454, 22.9899601 53.1437711, 22.9898848 53.1438145, 22.988979 53.1443369, 22.988175 53.1448002, 22.9876787 53.1451036, 22.9872481 53.1453488)",,,
100133882,Adama Mickiewicza,tertiary,False,False,123.795,"LINESTRING (22.9900037 53.1437454, 22.9899723 53.1437021, 22.9897972 53.1434606, 22.9895055 53.1430951, 22.9891786 53.1427493)",,,
100133882,Adama Mickiewicza,tertiary,False,True,194.434,"LINESTRING (22.9900037 53.1437454, 22.990116 53.1438854, 22.9902554 53.144052, 22.990416 53.1442243, 22.9907083 53.1444714, 22.991013 53.1446713, 22.991345 53.1448472, 22.9913745 53.1448617, 22.9916739 53.1450033, 22.9918261 53.1450786)",,,
84955437,Lipowa,residential,False,False,256.073,"LINESTRING (22.9872481 53.1453488, 22.9876787 53.1451036, 22.988175 53.1448002, 22.988979 53.1443369, 22.9898848 53.1438145, 22.9899601 53.1437711, 22.9900037 53.1437454)",,,
84955437,Lipowa,residential,False,True,176.74900000000002,"LINESTRING (22.9872481 53.1453488, 22.9864674 53.1458211, 22.9854681 53.1464043, 22.985401 53.1464434, 22.9853627 53.1464658)",,,
