osmid,oneway,lanes,ref,name,highway,reversed,length,maxspeed,geometry,junction
175866967,True,1,655,Sejneńska,tertiary,False,12.981,,"LINESTRING (22.9391048 54.1015416, 22.9393038 54.101538)",
173974543,True,2,,Sejneńska,tertiary,False,32.316,50,"LINESTRING (22.9378861 54.1015939, 22.9383801 54.1015702)",
"[349152581, 173974534]",False,3,,Sejneńska,tertiary,False,120.233,50,"LINESTRING (22.9378861 54.1015939, 22.9372804 54.1015744, 22.9363045 54.1015395, 22.9360455 54.1015279)",
187968331,False,,,Sejneńska,living_street,True,75.12,,"LINESTRING (22.9378861 54.1015939, 22.9378798 54.1016498, 22.9378299 54.1021617, 22.937964 54.102234)",
"[349152580, 224121941]",False,"['2', '3']",,Sejneńska,tertiary,False,100.41399999999999,50,"LINESTRING (22.9360455 54.1015279, 22.9357999 54.1015195, 22.9355253 54.1015091, 22.9350368 54.1014924, 22.9345077 54.101479)",
"[349152578, 158632690, 220366135]",False,3,,1 Maja,tertiary,"[False, True]",101.197,50,"LINESTRING (22.9360455 54.1015279, 22.9360694 54.1013532, 22.9361133 54.1010209, 22.9361413 54.1008282, 22.936164 54.1006205)",
"[349152579, 187968269]",False,3,,1 Maja,"['unclassified', 'living_street']",True,227.214,"['20', '50']","LINESTRING (22.9360455 54.1015279, 22.9360325 54.1016797, 22.9360132 54.1018659, 22.9360002 54.1020008, 22.9359757 54.1023672, 22.9358345 54.1035674)",
"[349152581, 173974534]",False,3,,Sejneńska,tertiary,True,120.233,50,"LINESTRING (22.9360455 54.1015279, 22.9363045 54.1015395, 22.9372804 54.1015744, 22.9378861 54.1015939)",
245382129,False,2,,Teofila Noniewicza,tertiary,True,93.13499999999999,50,"LINESTRING (22.9319759 54.1013234, 22.931984 54.1012312, 22.9319868 54.1011996, 22.9319904 54.1011582, 22.9320409 54.1006081, 22.9320444 54.1005717, 22.9320516 54.100487)",
"[292723155, 348669068, 292723159]",False,3,,Teofila Noniewicza,tertiary,False,120.808,50,"LINESTRING (22.9319759 54.1013234, 22.9319707 54.1013835, 22.9319676 54.1014104, 22.9319639 54.1014416, 22.9319592 54.101485, 22.9319187 54.1020844, 22.9319008 54.1022471, 22.9318896 54.1024086)",
23341879,False,2,,,living_street,False,62.078,20,"LINESTRING (22.9317835 54.103665, 22.9319369 54.1036665, 22.9320152 54.1036671, 22.9325367 54.1036883, 22.9326114 54.103674, 22.9326973 54.1036256)",
"[348669089, 348669073]",False,"['2', '3']",,Teofila Noniewicza,tertiary,"[False, True]",59.486000000000004,50,"LINESTRING (22.9317835 54.103665, 22.9318119 54.1033195, 22.9318165 54.1032573, 22.9318258 54.1031306)",
"[348644325, 348669097, 348637898, 348644305, 348644283]",False,"['2', '3']",,Teofila Noniewicza,tertiary,False,121.65200000000002,50,"LINESTRING (22.9317835 54.103665, 22.931763 54.1038848, 22.9317374 54.1041766, 22.9317305 54.1042701, 22.9317239 54.1043606, 22.9317045 54.1046187, 22.931695 54.1047578)",
245382125,False,2,,Księdza Kazimierza Hamerszmita,tertiary,True,79.256,50,"LINESTRING (22.9250919 54.1018435, 22.9252379 54.1017525, 22.925506 54.1015853, 22.9255971 54.1015048, 22.925644 54.1014515, 22.9256559 54.1014248, 22.9256684 54.1013966, 22.925674 54.1013839, 22.9256899 54.1013252, 22.9257076 54.1012535)",
248666376,False,2,,Emilii Plater,tertiary,False,60.521,50,"LINESTRING (22.9250919 54.1018435, 22.9250354 54.1019187, 22.9250172 54.1019719, 22.9250097 54.1019937, 22.9249629 54.1022546, 22.9249446 54.1023774)",
23351774,False,2,,Adama Mickiewicza,tertiary,False,34.922,50,"LINESTRING (22.9261938 54.0988804, 22.9260321 54.0988833, 22.9259927 54.0988821, 22.9259394 54.0988792, 22.9256621 54.0988531)",
245382125,False,2,,Księdza Kazimierza Hamerszmita,tertiary,False,74.54,50,"LINESTRING (22.9261938 54.0988804, 22.9261555 54.0990428, 22.9261366 54.099121, 22.9261299 54.0991486, 22.9261175 54.0991962, 22.926099 54.0992688, 22.9260503 54.0994595, 22.9260295 54.0995438)",
"[345122891, 844748661]",False,"['2', '3']",,Adama Mickiewicza,tertiary,False,149.487,"['40', '50']","LINESTRING (22.9261938 54.0988804, 22.9267899 54.0988883, 22.9270688 54.0988961, 22.927138 54.0988986, 22.927465 54.0989008, 22.9278286 54.0989118, 22.9280717 54.0989195, 22.9281779 54.0989232, 22.9282483 54.0989255, 22.9283016 54.098919, 22.9284797 54.0988973)",
"[345122891, 844748661]",False,"['2', '3']",,Adama Mickiewicza,tertiary,True,149.48700000000002,"['40', '50']","LINESTRING (22.9284797 54.0988973, 22.9283016 54.098919, 22.9282483 54.0989255, 22.9281779 54.0989232, 22.9280717 54.0989195, 22.9278286 54.0989118, 22.927465 54.0989008, 22.927138 54.0988986, 22.9270688 54.0988961, 22.9267899 54.0988883, 22.9261938 54.0988804)",
"[17506468, 686684575]",True,2,,Ludwika Waryńskiego,tertiary,False,72.262,50,"LINESTRING (22.9284797 54.0988973, 22.9286745 54.0988718, 22.9287154 54.0988732, 22.9295817 54.0989021)",
