osmid,oneway,name,highway,reversed,length,geometry,ref,maxspeed,junction,lanes,bridge
189023001,True,Topolowa,residential,False,13.556,"LINESTRING (16.922083 52.984498, 16.9221432 52.9846144)",,,,,
189023000,True,Topolowa,residential,False,10.504,"LINESTRING (16.9220665 52.9846992, 16.9220608 52.9846048)",,,,,
871376520,True,Buczkowska,residential,False,15.588,"LINESTRING (16.9220665 52.9846992, 16.9220218 52.9846802, 16.9219736 52.9846663, 16.9219172 52.9846659, 16.9218504 52.9846744)",,,,,
189023013,True,Rondo Trojana z Łekna,primary,False,10.173,"LINESTRING (16.92228 52.9847626, 16.9223633 52.9847688, 16.9224266 52.9847838)",11,50,roundabout,,
1224800542,True,Rondo Trojana z Łekna,primary,False,10.104,"LINESTRING (16.9224266 52.9847838, 16.9224822 52.9848145, 16.9225218 52.9848532)",11,50,roundabout,,
189023000,True,Topolowa,residential,False,15.399999999999999,"LINESTRING (16.9220583 52.9848374, 16.9220693 52.9847582, 16.9220665 52.9846992)",,,,,
189023013,True,Rondo Trojana z Łekna,primary,False,17.668999999999997,"LINESTRING (16.9220583 52.9848374, 16.9221205 52.9847971, 16.9221869 52.9847724, 16.92228 52.9847626)",11,50,roundabout,,
1224800544,True,Rondo Trojana z Łekna,primary,False,14.738,"LINESTRING (16.9225218 52.9848532, 16.9225421 52.9848966, 16.922542 52.9849416, 16.9225166 52.9849812)",11,50,roundabout,,
1244011995,True,Rondo Trojana z Łekna,primary,False,14.148000000000001,"LINESTRING (16.9220406 52.9849623, 16.9220328 52.9849078, 16.9220402 52.984868, 16.9220583 52.9848374)",11,50,roundabout,,
189023027,True,Grudzińskich,secondary,False,47.385,"LINESTRING (16.9225166 52.9849812, 16.9226096 52.9850689, 16.9229071 52.9853366)",193,50,,1,
1224800543,True,Rondo Trojana z Łekna,primary,False,12.024,"LINESTRING (16.9225166 52.9849812, 16.9224824 52.9850153, 16.9224392 52.9850389, 16.9223911 52.9850551)",11,50,roundabout,,
189023007,True,Władysława Jagiełły,primary,False,137.748,"LINESTRING (16.9221125 52.9850325, 16.9219079 52.9851012, 16.9218111 52.9851381, 16.9210891 52.9854501, 16.9207894 52.9855589, 16.9203791 52.9856971)",11,50,,1,
1244011994,True,Rondo Trojana z Łekna,primary,False,9.277000000000001,"LINESTRING (16.9221125 52.9850325, 16.9220666 52.9849997, 16.9220406 52.9849623)",11,50,roundabout,,
1072346417,True,Rondo Trojana z Łekna,primary,False,19.515,"LINESTRING (16.9223911 52.9850551, 16.9223252 52.9850653, 16.9222592 52.9850644, 16.9222114 52.9850593, 16.9221588 52.9850483, 16.9221125 52.9850325)",11,50,roundabout,,
1223584550,False,Grudzińskich,secondary,True,8.769,"LINESTRING (16.9229071 52.9853366, 16.922974 52.9854044)",193,50,,2,
190655447,True,Grudzińskich,secondary,False,46.629,"LINESTRING (16.9229071 52.9853366, 16.9225125 52.9851155, 16.9223911 52.9850551)",193,50,,1,
871606970,True,Zdrojowa,residential,False,24.73,"LINESTRING (16.9229071 52.9853366, 16.9230211 52.9852965, 16.9230701 52.9852786, 16.9231209 52.9852486, 16.9231829 52.9851947)",,,,,
189023006,True,Władysława Jagiełły,primary,False,138.08800000000002,"LINESTRING (16.9203791 52.9856971, 16.9208999 52.9854591, 16.9214421 52.9852133, 16.9217461 52.9850738, 16.9218337 52.9850384, 16.9220406 52.9849623)",11,50,,1,
189023028,True,Grudzińskich,secondary,False,20.803,"LINESTRING (16.9195196 52.9882703, 16.9194435 52.9883552, 16.9194117 52.9884056, 16.9193983 52.9884414)",193,,,,
189023030,False,Grudzińskich,secondary,False,265.251,"LINESTRING (16.9195196 52.9882703, 16.9203691 52.9877504, 16.9207867 52.9874948, 16.9213632 52.9871438, 16.9215143 52.9870496, 16.9218989 52.9868157, 16.9221219 52.9866777, 16.9222984 52.9865697)",193,,,2,
