osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,name,bridge
33032353,True,1,844,secondary,30,False,54.221000000000004,"LINESTRING (23.8852271 50.8082418, 23.8852606 50.8081495, 23.8852772 50.8081049, 23.8852868 50.8080759, 23.8852897 50.8080482, 23.8852876 50.8080219, 23.8852796 50.807993, 23.8852606 50.8079659, 23.8852424 50.8079512, 23.8851964 50.8079227, 23.8851525 50.8078987, 23.8850227 50.8078279)",,
"[198619608, 198619601, 830928286]",False,"['2', '3']",844,secondary,50,True,162.493,"LINESTRING (23.8852271 50.8082418, 23.8851672 50.8083434, 23.8851365 50.8083993, 23.8850523 50.8085529, 23.8849704 50.8087028, 23.8846739 50.8092618, 23.884479 50.8096245)",Stefana Żeromskiego,yes
830978706,False,3,,tertiary,50,True,17.223,"LINESTRING (23.8921978 50.8028176, 23.8919565 50.8027905)",Józefa Piłsudskiego,
830979005,False,3,,tertiary,50,False,84.435,"LINESTRING (23.8921978 50.8028176, 23.8924276 50.8028448, 23.8926723 50.8028745, 23.8930804 50.8029239, 23.893378 50.80296)",Józefa Piłsudskiego,
33019002,False,,,residential,,False,32.899,"LINESTRING (23.8910579 50.8067541, 23.8911265 50.8067531, 23.891185 50.806761, 23.8912412 50.8067769, 23.8914155 50.80687, 23.8914516 50.8068918)",Lubelska,
33023442,False,,,residential,,True,113.56099999999999,"LINESTRING (23.8910579 50.8067541, 23.8909217 50.8067597, 23.8907422 50.8067671, 23.8899824 50.8067879, 23.8898262 50.8067933, 23.889547 50.806803, 23.889444 50.8068066)",Pogodna,
1098393810,True,1,844,secondary,50,False,95.98,"LINESTRING (23.8910579 50.8067541, 23.8910919 50.8071091, 23.8911227 50.8074195, 23.8911263 50.8074536, 23.8911286 50.8074819, 23.8911298 50.8074984, 23.8911281 50.8075157, 23.8911253 50.807529, 23.8911203 50.8075416, 23.8911134 50.807555, 23.891103 50.8075693, 23.8910929 50.8075805, 23.8910817 50.807591, 23.8910739 50.8075979, 23.8910639 50.8076055)",Partyzantów,
33026900,False,,,residential,,True,82.51400000000001,"LINESTRING (23.8894291 50.8075484, 23.8894336 50.807502, 23.8894389 50.8073745, 23.8894398 50.8072701, 23.8894411 50.8071244, 23.8894371 50.8068833, 23.889444 50.8068066)",Szeroka,
"[1098395548, 1098395550]",True,"['1', '2']",844,secondary,50,False,39.707,"LINESTRING (23.8894291 50.8075484, 23.8892102 50.8075346, 23.8890611 50.8075247, 23.888867 50.8075118)",Partyzantów,
"[352313609, 830969306]",True,2,844,secondary,30,False,82.56700000000001,"LINESTRING (23.8909125 50.8051799, 23.8909268 50.8053838, 23.8909344 50.8054685, 23.8909686 50.805837, 23.8909772 50.8059213)",Plac Wolności,
