osmid,ref,name,highway,oneway,reversed,length,maxspeed,geometry,lanes,bridge
25329205,287,Sybiraków,secondary,False,True,0.619,,"LINESTRING (14.9681759 51.785384, 14.968167 51.7853848)",,
25295049,287,Wrocławska,secondary,False,False,147.173,40,"LINESTRING (14.9681759 51.785384, 14.9682385 51.7853748, 14.9682958 51.7853641, 14.9683723 51.785345, 14.9684435 51.785318, 14.9685246 51.785276, 14.9686634 51.785208, 14.9687045 51.7851861, 14.9687834 51.7851483, 14.9688723 51.7851046, 14.9689434 51.7850702, 14.9690961 51.7849928, 14.9692148 51.7849332, 14.9692569 51.7849123, 14.9694385 51.7848238, 14.9695009 51.7847945, 14.9695729 51.7847618, 14.9696737 51.7847227, 14.969935 51.7846499)",,
25244581,,Sportowa,residential,False,False,142.362,,"LINESTRING (14.9721359 51.7842401, 14.9728421 51.7840451, 14.973179 51.7839745, 14.973643 51.7838781, 14.9740708 51.7837897)",,
25264920,287,Wrocławska,secondary,False,True,27.019,50,"LINESTRING (14.9721359 51.7842401, 14.9721143 51.7842496, 14.9720477 51.7842723, 14.9719498 51.7843001, 14.9717784 51.7843389)",,
"[14571617, 1177911379]",,Mikołaja Kopernika,tertiary,True,False,76.07200000000002,,"LINESTRING (14.9701706 51.787822, 14.9701714 51.7877814, 14.9701734 51.7877303, 14.9701641 51.7876185, 14.9701357 51.7875438, 14.9700927 51.7874905, 14.9698606 51.7872362, 14.969831 51.7871874)",,
"[25241472, 65169594, 65169590]",,Krakowskie Przedmieście,tertiary,False,True,219.66000000000005,,"LINESTRING (14.9740737 51.7919554, 14.9739514 51.7916955, 14.9739096 51.7916156, 14.9738689 51.7915332, 14.973852 51.7914997, 14.9738041 51.7914032, 14.9737571 51.791308, 14.9737129 51.7912181, 14.9736696 51.7911291, 14.9736057 51.7909851, 14.9735771 51.7909123, 14.9735506 51.7908384, 14.9735215 51.7907408, 14.9735005 51.7906377, 14.9734845 51.7905456, 14.9734778 51.7904687, 14.9734657 51.7903481, 14.9734514 51.7902666, 14.9734359 51.7901868, 14.9734287 51.7901499, 14.9733969 51.7900325)",2,yes
"[1226627043, 25573070]",,Powstańców Wielkopolskich,tertiary,False,False,91.66,,"LINESTRING (14.9670004 51.7846386, 14.967027 51.7846872, 14.9670558 51.7847398, 14.9671232 51.7848468, 14.9671707 51.7849196, 14.967229 51.7850081, 14.9672885 51.785099, 14.9673688 51.7852194, 14.9673993 51.7852671, 14.9674165 51.7852937, 14.9674345 51.7853215, 14.9674625 51.78536, 14.9674984 51.7854027)",,
25329292,,Sybiraków,tertiary,True,False,16.496,,"LINESTRING (14.9674984 51.7854027, 14.9673972 51.7855372)",,
25329367,287,Wrocławska,secondary,True,False,46.146,50,"LINESTRING (14.9674984 51.7854027, 14.9679436 51.7853774, 14.9680407 51.7853791, 14.968167 51.7853848)",,
"[1226627043, 25573070]",,Powstańców Wielkopolskich,tertiary,False,True,91.66,,"LINESTRING (14.9674984 51.7854027, 14.9674625 51.78536, 14.9674345 51.7853215, 14.9674165 51.7852937, 14.9673993 51.7852671, 14.9673688 51.7852194, 14.9672885 51.785099, 14.967229 51.7850081, 14.9671707 51.7849196, 14.9671232 51.7848468, 14.9670558 51.7847398, 14.967027 51.7846872, 14.9670004 51.7846386)",,
"[25241472, 65169594, 65169590]",,Krakowskie Przedmieście,tertiary,False,False,219.66,,"LINESTRING (14.9733969 51.7900325, 14.9734287 51.7901499, 14.9734359 51.7901868, 14.9734514 51.7902666, 14.9734657 51.7903481, 14.9734778 51.7904687, 14.9734845 51.7905456, 14.9735005 51.7906377, 14.9735215 51.7907408, 14.9735506 51.7908384, 14.9735771 51.7909123, 14.9736057 51.7909851, 14.9736696 51.7911291, 14.9737129 51.7912181, 14.9737571 51.791308, 14.9738041 51.7914032, 14.973852 51.7914997, 14.9738689 51.7915332, 14.9739096 51.7916156, 14.9739514 51.7916955, 14.9740737 51.7919554)",2,yes
25241472,,Krakowskie Przedmieście,tertiary,False,True,85.82,,"LINESTRING (14.9733969 51.7900325, 14.9733448 51.7898938, 14.9733151 51.7898327, 14.9732818 51.7897724, 14.9732435 51.7896971, 14.9732037 51.7896193, 14.9731297 51.7894545, 14.9730622 51.7892894)",2,
25244632,,Emilii Plater,tertiary,False,False,162.714,,"LINESTRING (14.9733969 51.7900325, 14.9735325 51.7899852, 14.9735812 51.7899675, 14.9739544 51.7898323, 14.9740564 51.7897943, 14.9741599 51.7897566, 14.9742557 51.7897169, 14.9743505 51.7896762, 14.9743951 51.789653, 14.9744407 51.7896287, 14.9745159 51.7895832, 14.9745508 51.7895574, 14.9745809 51.7895317, 14.9746065 51.7895043, 14.9746346 51.7894697, 14.9746642 51.7894322, 14.9746864 51.7894003, 14.974718 51.7893468, 14.9747277 51.7893203, 14.9747381 51.7892811, 14.974751 51.7892358, 14.9747628 51.789167, 14.9747733 51.7891175, 14.9747811 51.7890688, 14.9747969 51.7889839)",,
"[25244522, 64047763]",,Kanałowa,residential,False,True,310.127,,"LINESTRING (14.9733969 51.7900325, 14.9732374 51.7900832, 14.9731779 51.7900946, 14.972982 51.790131, 14.9727909 51.7901728, 14.9726778 51.790199, 14.9725683 51.7902295, 14.9724504 51.7902666, 14.9723507 51.7900626, 14.9723278 51.790038, 14.9722936 51.7900228, 14.9722654 51.7900167, 14.9722379 51.7900124, 14.9721761 51.7900059, 14.9720397 51.789992, 14.971338 51.7899326, 14.9706536 51.7898743, 14.9692714 51.7897524)",,
