osmid,name,highway,oneway,reversed,length,geometry,maxspeed
226734123,Ogrodowa,residential,False,True,115.79899999999999,"LINESTRING (18.1074688 52.7520288, 18.1078226 52.7520362, 18.1080396 52.7520762, 18.1086516 52.7521854, 18.1089883 52.7522454, 18.109134 52.7522687)",
226738294,,residential,False,True,112.753,"LINESTRING (18.1074688 52.7520288, 18.107449 52.7523525, 18.1074371 52.7527009, 18.1074273 52.7529746, 18.1074233 52.7530424)",
98581124,Główna,residential,False,False,63.321,"LINESTRING (18.1074233 52.7530424, 18.1082601 52.753055, 18.1083639 52.7530557)",
226738294,,residential,False,False,112.75300000000001,"LINESTRING (18.1074233 52.7530424, 18.1074273 52.7529746, 18.1074371 52.7527009, 18.107449 52.7523525, 18.1074688 52.7520288)",
282478625,Dworcowa,residential,False,False,19.965,"LINESTRING (18.1092857 52.7521144, 18.109134 52.7522687)",
98588119,,residential,False,True,188.203,"LINESTRING (18.1092857 52.7521144, 18.1094109 52.7521584, 18.1102069 52.7524033, 18.1094867 52.7531999, 18.1094124 52.7532861, 18.1093557 52.7533343)",
282478625,Dworcowa,residential,False,True,109.16900000000001,"LINESTRING (18.1092857 52.7521144, 18.1095865 52.7518061, 18.1099435 52.7514122, 18.1100238 52.7513165, 18.1100799 52.7512586)",
226716551,Działkowa,residential,False,False,215.33,"LINESTRING (18.1169017 52.7557941, 18.1172353 52.7559104, 18.118015 52.7561832, 18.1188633 52.7564843, 18.1192907 52.756632, 18.1195307 52.7567209, 18.1196613 52.7567738)",50
226716551,Działkowa,residential,False,True,374.20699999999994,"LINESTRING (18.1169017 52.7557941, 18.1167811 52.7557532, 18.1156253 52.7553611, 18.1154318 52.7553297, 18.1152639 52.75531, 18.1150909 52.7553163, 18.1131334 52.7554325, 18.1127001 52.7554883, 18.112205 52.7555656, 18.1119789 52.7555658, 18.1117858 52.7555453, 18.1116978 52.7555273, 18.1115867 52.7555064)",50
226871965,Zygmunta Wilkońskiego,living_street,False,False,584.726,"LINESTRING (18.1169017 52.7557941, 18.1173112 52.7553713, 18.1180133 52.7546799, 18.118429 52.7542476, 18.1184781 52.7541481, 18.1184894 52.7540369, 18.118468 52.7539466, 18.1184337 52.7538313, 18.118353 52.7537492, 18.1180416 52.7534417, 18.1173767 52.7528223, 18.1168564 52.7523241, 18.1164919 52.752021, 18.1162847 52.7518952, 18.1155405 52.7515595, 18.1153428 52.7514979)",
226871974,,living_street,False,False,109.905,"LINESTRING (18.1122903 52.7532232, 18.1121512 52.7533683, 18.1115622 52.7540256, 18.1115005 52.7540882)",
226871958,Wewnętrzna,living_street,True,False,105.56099999999999,"LINESTRING (18.111257 52.7543396, 18.1112229 52.7543799, 18.1106616 52.7549732, 18.1106355 52.7550018, 18.1106287 52.7550093, 18.1106125 52.755027, 18.1105059 52.7551441, 18.1104852 52.755166)",
226871969,Młodzieżowa,living_street,True,False,148.201,"LINESTRING (18.111257 52.7543396, 18.11178 52.7544635, 18.1109767 52.7553079, 18.1109613 52.7553239)",
98588111,Północna,residential,True,False,69.666,"LINESTRING (18.1104852 52.755166, 18.1103901 52.7551345, 18.1095831 52.7548587)",
98588121,Przemysłowa,tertiary,False,False,88.13,"LINESTRING (18.1153428 52.7514979, 18.1147592 52.7522074)",
226871965,Zygmunta Wilkońskiego,living_street,False,True,584.726,"LINESTRING (18.1153428 52.7514979, 18.1155405 52.7515595, 18.1162847 52.7518952, 18.1164919 52.752021, 18.1168564 52.7523241, 18.1173767 52.7528223, 18.1180416 52.7534417, 18.118353 52.7537492, 18.1184337 52.7538313, 18.118468 52.7539466, 18.1184894 52.7540369, 18.1184781 52.7541481, 18.118429 52.7542476, 18.1180133 52.7546799, 18.1173112 52.7553713, 18.1169017 52.7557941)",
98588111,Północna,residential,True,False,36.536,"LINESTRING (18.1109613 52.7553239, 18.1104852 52.755166)",
226871970,,living_street,True,False,83.459,"LINESTRING (18.1102189 52.753929, 18.111257 52.7543396)",
395868395,,residential,True,False,27.532000000000004,"LINESTRING (18.1102189 52.753929, 18.1103522 52.7537831, 18.1104168 52.7537123)",
226871958,Wewnętrzna,living_street,True,False,32.404,"LINESTRING (18.1115005 52.7540882, 18.111257 52.7543396)",
98581124,Główna,residential,False,False,83.194,"LINESTRING (18.1115005 52.7540882, 18.1124574 52.7544191, 18.1125751 52.754458)",
98581124,Główna,residential,False,True,84.071,"LINESTRING (18.1115005 52.7540882, 18.1107695 52.7538284, 18.1104168 52.7537123)",
226871974,,living_street,False,True,109.905,"LINESTRING (18.1115005 52.7540882, 18.1115622 52.7540256, 18.1121512 52.7533683, 18.1122903 52.7532232)",
98588106,Dworcowa,residential,False,True,145.152,"LINESTRING (18.1102109 52.7511259, 18.1102656 52.7510648, 18.1106063 52.7506773, 18.1112532 52.7499832)",
282478624,Dworcowa,residential,True,False,13.535999999999998,"LINESTRING (18.1102109 52.7511259, 18.1102486 52.7511461, 18.1102705 52.7511734, 18.1102733 52.7512038, 18.1102565 52.7512325)",
282478624,Dworcowa,residential,True,False,15.076,"LINESTRING (18.1100241 52.751167, 18.1100373 52.7511531, 18.1100704 52.7511309, 18.1101149 52.751118, 18.1101642 52.7511162, 18.1102109 52.7511259)",
282478624,Dworcowa,residential,True,False,13.522,"LINESTRING (18.1102565 52.7512325, 18.1102227 52.751255, 18.1101772 52.7512679, 18.110127 52.7512691, 18.1100799 52.7512586)",
"[226719273, 282478627]",,unclassified,False,True,332.19999999999993,"LINESTRING (18.1102565 52.7512325, 18.1103782 52.7512457, 18.1108403 52.7512054, 18.1115579 52.7512072, 18.1118333 52.7512203, 18.1120393 52.7512715, 18.114529 52.7521329, 18.1146548 52.752174, 18.1147592 52.7522074)",
282478624,Dworcowa,residential,True,False,11.577,"LINESTRING (18.1100799 52.7512586, 18.1100436 52.7512382, 18.1100229 52.7512111, 18.1100207 52.7511813, 18.1100241 52.751167)",
282478625,Dworcowa,residential,False,False,109.169,"LINESTRING (18.1100799 52.7512586, 18.1100238 52.7513165, 18.1099435 52.7514122, 18.1095865 52.7518061, 18.1092857 52.7521144)",
467032689,,residential,False,True,36.06,"LINESTRING (18.1135369 52.7545455, 18.1138061 52.7542651)",
467032689,,residential,False,False,36.06,"LINESTRING (18.1138061 52.7542651, 18.1135369 52.7545455)",
467032705,,residential,False,False,60.385999999999996,"LINESTRING (18.1138061 52.7542651, 18.113375 52.754117, 18.1131691 52.754046, 18.1130232 52.7539999)",
467032705,,residential,False,True,173.579,"LINESTRING (18.1138061 52.7542651, 18.1144525 52.7544791, 18.1151877 52.7537548, 18.1154178 52.7535293)",
467032692,,residential,False,True,214.014,"LINESTRING (18.11702 52.7527643, 18.1166139 52.7531634, 18.1160541 52.7529225, 18.1154874 52.7527291, 18.1147982 52.752492, 18.1145564 52.7524123)",
98588121,Przemysłowa,tertiary,False,True,26.559,"LINESTRING (18.1145564 52.7524123, 18.1147592 52.7522074)",
98588121,Przemysłowa,tertiary,False,False,70.027,"LINESTRING (18.1145564 52.7524123, 18.1141737 52.752803, 18.1140332 52.7529566)",
467032692,,residential,False,False,214.014,"LINESTRING (18.1145564 52.7524123, 18.1147982 52.752492, 18.1154874 52.7527291, 18.1160541 52.7529225, 18.1166139 52.7531634, 18.11702 52.7527643)",
98588121,Przemysłowa,tertiary,False,False,59.196,"LINESTRING (18.1130232 52.7539999, 18.1125751 52.754458)",
98588121,Przemysłowa,tertiary,False,True,134.46800000000002,"LINESTRING (18.1130232 52.7539999, 18.1132524 52.7537527, 18.113497 52.753496, 18.1140332 52.7529566)",
467032705,,residential,False,True,60.385999999999996,"LINESTRING (18.1130232 52.7539999, 18.1131691 52.754046, 18.113375 52.754117, 18.1138061 52.7542651)",
98588121,Przemysłowa,tertiary,False,False,134.46800000000002,"LINESTRING (18.1140332 52.7529566, 18.113497 52.753496, 18.1132524 52.7537527, 18.1130232 52.7539999)",
98588121,Przemysłowa,tertiary,False,True,70.027,"LINESTRING (18.1140332 52.7529566, 18.1141737 52.752803, 18.1145564 52.7524123)",
467032706,,residential,False,True,113.00399999999999,"LINESTRING (18.1140332 52.7529566, 18.1147602 52.7532269, 18.1154178 52.7535293)",
467032705,,residential,False,False,173.579,"LINESTRING (18.1154178 52.7535293, 18.1151877 52.7537548, 18.1144525 52.7544791, 18.1138061 52.7542651)",
467032706,,residential,False,False,113.00399999999999,"LINESTRING (18.1154178 52.7535293, 18.1147602 52.7532269, 18.1140332 52.7529566)",
467032706,,residential,False,True,163.51999999999998,"LINESTRING (18.1154178 52.7535293, 18.1158063 52.7536606, 18.1159219 52.7536639, 18.1162265 52.7536316, 18.1163186 52.7536347, 18.1168931 52.7538293, 18.1169728 52.7538632, 18.1169959 52.7538848, 18.117013 52.7539135, 18.1170123 52.7539456, 18.117002 52.7539729, 18.1167474 52.754247)",
467032706,,residential,False,False,163.51999999999998,"LINESTRING (18.1167474 52.754247, 18.117002 52.7539729, 18.1170123 52.7539456, 18.117013 52.7539135, 18.1169959 52.7538848, 18.1169728 52.7538632, 18.1168931 52.7538293, 18.1163186 52.7536347, 18.1162265 52.7536316, 18.1159219 52.7536639, 18.1158063 52.7536606, 18.1154178 52.7535293)",
98588121,Przemysłowa,tertiary,False,False,3.184,"LINESTRING (18.1115867 52.7555064, 18.1115655 52.755532)",
98588121,Przemysłowa,tertiary,False,True,134.222,"LINESTRING (18.1115867 52.7555064, 18.1120782 52.7549779, 18.1125751 52.754458)",
226716551,Działkowa,residential,False,False,374.207,"LINESTRING (18.1115867 52.7555064, 18.1116978 52.7555273, 18.1117858 52.7555453, 18.1119789 52.7555658, 18.112205 52.7555656, 18.1127001 52.7554883, 18.1131334 52.7554325, 18.1150909 52.7553163, 18.1152639 52.75531, 18.1154318 52.7553297, 18.1156253 52.7553611, 18.1167811 52.7557532, 18.1169017 52.7557941)",50
