osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed,junction,bridge,access
35934161,False,Przedszkolna,residential,False,48.572,"LINESTRING (18.9378702 50.9043063, 18.9379621 50.9043136, 18.93811 50.9043238, 18.9384718 50.9043516, 18.9385577 50.9043594)",,,,,,
424526079,False,11 Listopada,secondary,False,74.76100000000001,"LINESTRING (18.9378702 50.9043063, 18.9378916 50.904178, 18.9379675 50.9039565, 18.9380472 50.9037531, 18.9380675 50.9036977, 18.9380865 50.9036488)",2,492,50,,,
894547801,False,11 Listopada,secondary,True,48.194,"LINESTRING (18.9378702 50.9043063, 18.9378669 50.9044338, 18.9378845 50.9047395)",2,492,50,,,
97801778,False,Powstańców Śląskich,residential,True,274.819,"LINESTRING (18.9379831 50.900335, 18.9380267 50.9004174, 18.9381721 50.900692, 18.9383642 50.901038, 18.9386189 50.9014694, 18.938929 50.902036, 18.9389656 50.9021423, 18.9389885 50.9022413, 18.9390534 50.9025611, 18.9390675 50.9026313, 18.9390656 50.9026981)",,,,,,
894547798,False,Adama Mickiewicza,residential,True,130.116,"LINESTRING (18.9379831 50.900335, 18.9379514 50.9002725, 18.9374202 50.89922)",,,,,,
1113135895,False,Częstochowska,primary,False,43.247,"LINESTRING (18.9379831 50.900335, 18.9375726 50.9004786, 18.9374453 50.9005253)",2,43,50,,,
"[1113135894, 1113135895]",False,Częstochowska,primary,True,141.55,"LINESTRING (18.9379831 50.900335, 18.9381607 50.9002763, 18.9397711 50.8997443)",2,43,50,,,
186923865,False,Targowa,residential,True,18.631999999999998,"LINESTRING (18.9407426 50.9041552, 18.9406283 50.9042276, 18.9405475 50.9042686)",,,,,,
231936558,False,Szkolna,tertiary,False,102.34,"LINESTRING (18.9407426 50.9041552, 18.9405079 50.9040702, 18.9400133 50.9038982, 18.9394682 50.9037067)",2,,,,,
231936558,False,Szkolna,tertiary,True,133.88899999999998,"LINESTRING (18.9407426 50.9041552, 18.9408655 50.9041991, 18.9409733 50.9042304, 18.9411306 50.9042718, 18.9423278 50.9045656, 18.9425089 50.9046101)",2,,,,,
250295035,False,Ignacego Skorupki,residential,True,105.556,"LINESTRING (18.9407426 50.9041552, 18.9408482 50.9040785, 18.9409683 50.9039794, 18.9410826 50.9038599, 18.9411874 50.9037698, 18.9416531 50.9034007)",,,,,,
424526079,False,11 Listopada,secondary,True,74.76100000000001,"LINESTRING (18.9380865 50.9036488, 18.9380675 50.9036977, 18.9380472 50.9037531, 18.9379675 50.9039565, 18.9378916 50.904178, 18.9378702 50.9043063)",2,492,50,,,
1247459151,True,11 Listopada,secondary,False,28.229,"LINESTRING (18.9380865 50.9036488, 18.9380872 50.903569, 18.9380807 50.9035162, 18.9380688 50.9034631, 18.9380568 50.9034212, 18.9380452 50.9033974)",1,492,50,,,
