osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,junction
51528380,2,Tadeusza Kościuszki,tertiary,30,False,False,10.073,"LINESTRING (23.1316265 50.2456069, 23.131764 50.2456287)",,
197868835,2,Rynek,residential,,True,False,114.64600000000002,"LINESTRING (23.1316265 50.2456069, 23.1314745 50.2456735, 23.1304654 50.2461156, 23.1303785 50.2461537, 23.1302833 50.2461721)",,
"[51528400, 655899164, 332861103]",2,Rynek,tertiary,"['30', '50']",False,True,109.03300000000002,"LINESTRING (23.1316265 50.2456069, 23.1314312 50.245454, 23.1308655 50.2449556, 23.1307876 50.2448889, 23.1307616 50.2448442, 23.1307519 50.2448084)",,
165353640,,Adama Mickiewicza,tertiary,,False,False,239.954,"LINESTRING (23.1328134 50.2451807, 23.1348513 50.2443296, 23.1354118 50.244079, 23.135622 50.243985)",,
173836373,,Dworcowa,residential,,True,False,127.22399999999999,"LINESTRING (23.1328134 50.2451807, 23.1319013 50.2442428, 23.1318686 50.2442091)",,
51528387,,Adama Mickiewicza,tertiary,,False,False,118.60499999999999,"LINESTRING (23.135622 50.243985, 23.1358325 50.2438824, 23.1359625 50.2438191, 23.1364936 50.2435592, 23.1367769 50.2434475, 23.1369881 50.243377)",,
165353640,,Adama Mickiewicza,tertiary,,False,True,239.954,"LINESTRING (23.135622 50.243985, 23.1354118 50.244079, 23.1348513 50.2443296, 23.1328134 50.2451807)",,
656273036,2,Solidarności,secondary,50,False,True,113.71199999999999,"LINESTRING (23.135622 50.243985, 23.1355647 50.243884, 23.1355239 50.2438253, 23.1354929 50.2437806, 23.1353598 50.2436012, 23.1352656 50.2434793, 23.1349296 50.2430641)",865,
51528387,,Adama Mickiewicza,tertiary,,False,True,118.60499999999999,"LINESTRING (23.1369881 50.243377, 23.1367769 50.2434475, 23.1364936 50.2435592, 23.1359625 50.2438191, 23.1358325 50.2438824, 23.135622 50.243985)",,
656273031,2,Jana III Sobieskiego,residential,,False,True,194.325,"LINESTRING (23.1369881 50.243377, 23.1363454 50.2426399, 23.1361813 50.2424776, 23.1361444 50.2424592, 23.1360798 50.2424635, 23.1359829 50.2424918, 23.1351632 50.2427176)",,
40830734,,Adama Mickiewicza,tertiary,,True,False,11.293,"LINESTRING (23.1320843 50.2454741, 23.1322176 50.2454189)",,
197868836,,Wincentego Witosa,residential,,False,False,122.082,"LINESTRING (23.1320843 50.2454741, 23.1311848 50.2445914, 23.1311469 50.2445543)",,
51528399,2,Jana III Sobieskiego,secondary,50,False,True,41.213,"LINESTRING (23.1307519 50.2448084, 23.130768 50.2447629, 23.1307957 50.2447265, 23.130841 50.2446968, 23.1309299 50.2446544, 23.1311469 50.2445543)",863,
"[51528400, 655899164, 332861103]",2,Rynek,tertiary,"['50', '30']",False,False,109.03300000000002,"LINESTRING (23.1307519 50.2448084, 23.1307616 50.2448442, 23.1307876 50.2448889, 23.1308655 50.2449556, 23.1314312 50.245454, 23.1316265 50.2456069)",,
337985876,2,Rynek,secondary,,False,True,117.451,"LINESTRING (23.1307519 50.2448084, 23.130694 50.2448055, 23.1306098 50.2448127, 23.1305777 50.2448178, 23.1305155 50.2448327, 23.1303843 50.2448831, 23.1295705 50.2451794, 23.1292988 50.2452871)",863,
51528399,2,Jana III Sobieskiego,secondary,50,False,False,41.212999999999994,"LINESTRING (23.1311469 50.2445543, 23.1309299 50.2446544, 23.130841 50.2446968, 23.1307957 50.2447265, 23.130768 50.2447629, 23.1307519 50.2448084)",863,
51528399,2,Jana III Sobieskiego,secondary,50,False,True,64.087,"LINESTRING (23.1311469 50.2445543, 23.1314836 50.2443933, 23.1317428 50.2442693, 23.1318686 50.2442091)",863,
197868836,,Wincentego Witosa,residential,,False,True,122.082,"LINESTRING (23.1311469 50.2445543, 23.1311848 50.2445914, 23.1320843 50.2454741)",,
656273029,1,Henryka Sienkiewicza,secondary,30,True,False,29.156,"LINESTRING (23.13465 50.242466, 23.1347156 50.2425728, 23.1347184 50.2425769, 23.1347514 50.2426252, 23.1348084 50.2427078)",865,
51528399,2,Jana III Sobieskiego,secondary,50,False,False,64.087,"LINESTRING (23.1318686 50.2442091, 23.1317428 50.2442693, 23.1314836 50.2443933, 23.1311469 50.2445543)",863,
"[656273033, 51528399]",2,Jana III Sobieskiego,secondary,50,False,True,219.881,"LINESTRING (23.1318686 50.2442091, 23.1335181 50.2434162, 23.1343403 50.243021)",863,
