osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,tunnel,junction
"[208988942, 46522775]",True,"['1', '2']",Celna,tertiary,50,False,140.37099999999998,"LINESTRING (18.8768008 50.3670058, 18.8767578 50.3672595, 18.8766903 50.3675092, 18.8766023 50.3677075, 18.8764513 50.3682467)",,
184394248,False,2,Celna,tertiary,50,True,110.25699999999999,"LINESTRING (18.8768008 50.3670058, 18.8768318 50.3667754, 18.8768459 50.3664629, 18.876805 50.3661047, 18.8767872 50.3660169)",,
"[208988945, 208988940]",True,"['1', '2']",Celna,tertiary,50,False,151.72199999999998,"LINESTRING (18.8763545 50.3685853, 18.8761931 50.3691593, 18.8761459 50.3695044, 18.8761711 50.369654, 18.8762175 50.369771, 18.8763226 50.3699204)",,
186098409,True,1,,primary_link,40,False,91.048,"LINESTRING (18.8749299 50.367034, 18.8746599 50.3670607, 18.8745641 50.3670707, 18.8744769 50.3670933, 18.8743498 50.3671316, 18.8742309 50.3671808, 18.8741479 50.3672329, 18.8740874 50.3672748, 18.874034 50.3673299, 18.8739179 50.3674563)",,
208988964,True,1,Aleja Jana Nowaka-Jeziorańskiego,primary,70,False,117.344,"LINESTRING (18.8749299 50.367034, 18.8743765 50.3669575, 18.8740078 50.3668975, 18.8736372 50.3668181, 18.8733416 50.3667456)",,
208988939,True,1,Celna,tertiary,50,False,38.272,"LINESTRING (18.8764513 50.3682467, 18.8763545 50.3685853)",,
46522777,True,1,,primary_link,50,False,20.194,"LINESTRING (18.8764513 50.3682467, 18.876391 50.368323, 18.876359 50.3683564, 18.876286 50.3683893)",,
208988943,True,1,Celna,tertiary,50,False,34.501,"LINESTRING (18.8761731 50.3686911, 18.876286 50.3683893)",,
46522776,True,1,,primary_link,50,False,37.918,"LINESTRING (18.8761731 50.3686911, 18.8761694 50.3686435, 18.8761363 50.3685636, 18.8760881 50.3684994, 18.8760564 50.3684765, 18.8759335 50.3684008)",,
914514179,True,1,,primary_link,50,False,58.482,"LINESTRING (18.8759335 50.3684008, 18.8758563 50.3683812, 18.875749 50.3683632, 18.8755752 50.3683347, 18.8753531 50.3682975, 18.8751452 50.3682489)",,
"[208988962, 35421934, 35421935, 46982069, 34441853, 34441855]",True,"['1', '2']",Aleja Jana Nowaka-Jeziorańskiego,primary,70,False,615.765,"LINESTRING (18.8749484 50.3669593, 18.8751054 50.3669726, 18.8753416 50.3669963, 18.876528 50.3671232, 18.8779617 50.3672521, 18.87923 50.367411, 18.8779443 50.3673122, 18.8765139 50.3671811, 18.8749299 50.367034)",yes,
"[208988944, 35421933]",True,"['1', '2']",Celna,tertiary,50,False,142.57999999999998,"LINESTRING (18.8763226 50.3699204, 18.8762007 50.3698227, 18.8761432 50.369752, 18.876072 50.3696134, 18.8760325 50.3694651, 18.8760272 50.3693023, 18.8760528 50.3691292, 18.8761731 50.3686911)",,
"[208988938, 208988941]",True,"['1', '2']",Celna,tertiary,50,False,122.696,"LINESTRING (18.8763541 50.3680703, 18.8764566 50.3677401, 18.8766172 50.3674404, 18.8768008 50.3670058)",,
208988976,True,2,,primary_link,50,False,55.39,"LINESTRING (18.8751452 50.3682489, 18.8754483 50.3682704, 18.8757103 50.3682852, 18.8759227 50.3682951)",,
