osmid,oneway,lanes,name,highway,reversed,length,geometry,junction,maxspeed,bridge,ref
24355400,True,1,Józefa Michalusa,tertiary,False,35.628,"LINESTRING (21.1702355 49.6677607, 21.1700664 49.6676211, 21.1700393 49.667588, 21.1699902 49.667528, 21.169963 49.6674947)",,,,
1216496454,True,1,Biecka,tertiary,False,9.533,"LINESTRING (21.1699036 49.6672419, 21.1700334 49.6672248)",roundabout,,,
24355398,True,1,Biecka,tertiary,False,10.103,"LINESTRING (21.1700334 49.6672248, 21.1700923 49.6672351, 21.1701603 49.6672616)",roundabout,,,
24355398,True,1,Biecka,tertiary,False,7.6579999999999995,"LINESTRING (21.1701603 49.6672616, 21.1701853 49.6672856, 21.1702113 49.6673218)",roundabout,,,
24355398,True,1,Biecka,tertiary,False,10.273,"LINESTRING (21.1702113 49.6673218, 21.1702173 49.6673828, 21.1702054 49.6674131)",roundabout,,,
24355399,True,1,Józefa Michalusa,tertiary,False,32.814,"LINESTRING (21.1701215 49.6674767, 21.1701405 49.6675649, 21.1701503 49.6676107, 21.1702355 49.6677607)",,,,
1216496455,True,1,Biecka,tertiary,False,11.803999999999998,"LINESTRING (21.1701215 49.6674767, 21.170045 49.6674958, 21.169963 49.6674947)",roundabout,,,
1120989138,True,1,Biecka,tertiary,False,22.685000000000002,"LINESTRING (21.169963 49.6674947, 21.1699502 49.6674911, 21.1698905 49.6674746, 21.1698344 49.6674389, 21.1698024 49.6673923, 21.1697989 49.6673413)",roundabout,,,
25138578,True,1,Biecka,tertiary,False,31.933,"LINESTRING (21.1697989 49.6673413, 21.1696978 49.6672514, 21.1695378 49.6671091)",,,,
1120989137,True,1,Biecka,tertiary,False,13.732,"LINESTRING (21.1697989 49.6673413, 21.1698335 49.6672837, 21.1699036 49.6672419)",roundabout,,,
1216789516,False,,11 Listopada,tertiary,False,115.694,"LINESTRING (21.1604224 49.6618423, 21.1604334 49.6619544, 21.1605697 49.6624392, 21.1606658 49.6628701)",,,,
291251443,False,,Biecka,tertiary,False,192.13799999999998,"LINESTRING (21.1632178 49.6627656, 21.1633418 49.662825, 21.1638137 49.6630512, 21.1640201 49.6631503, 21.1641475 49.6632115, 21.1648322 49.6635393, 21.1648813 49.6635629, 21.1650792 49.6636577, 21.1651735 49.6637029, 21.1653577 49.6637985)",,,,
300869127,True,,Biecka,tertiary,False,55.741,"LINESTRING (21.1632178 49.6627656, 21.1628755 49.6626427, 21.1628345 49.6626254, 21.1627305 49.6625816, 21.1625567 49.6625053)",,,,
25138579,True,1,Biecka,tertiary,False,30.185000000000002,"LINESTRING (21.1695378 49.6671091, 21.16977 49.6671934, 21.1698393 49.6672186, 21.1699036 49.6672419)",,,,
291251443,False,,Biecka,tertiary,True,263.95,"LINESTRING (21.1695378 49.6671091, 21.1694687 49.6670705, 21.169427 49.6670442, 21.1693659 49.6670058, 21.1689839 49.6666931, 21.1689553 49.666669, 21.1688566 49.6665859, 21.1686243 49.6663902, 21.1685294 49.6663102, 21.1682715 49.6660929, 21.167924 49.6658018, 21.1678383 49.66573, 21.167735 49.6656434, 21.1675142 49.6654584, 21.1673949 49.6653585, 21.1672643 49.665249)",,,,
301715503,False,,Marii Konopnickiej,residential,True,18.78,"LINESTRING (21.1634768 49.6619578, 21.1636761 49.6618488)",,20,,
301715503,False,,Marii Konopnickiej,residential,False,83.70100000000001,"LINESTRING (21.1634768 49.6619578, 21.1634371 49.6619835, 21.1633433 49.6620417, 21.1630024 49.6622356, 21.1627142 49.6623996, 21.1626089 49.6624586)",,20,,
25518267,False,,Marii Konopnickiej,residential,True,6.409,"LINESTRING (21.1626089 49.6624586, 21.1625567 49.6625053)",,20,,
291251445,True,,Biecka,tertiary,False,55.663,"LINESTRING (21.1626089 49.6624586, 21.1627791 49.6625338, 21.1629757 49.6626239, 21.1632178 49.6627656)",,,,
301715503,False,,Marii Konopnickiej,residential,True,83.701,"LINESTRING (21.1626089 49.6624586, 21.1627142 49.6623996, 21.1630024 49.6622356, 21.1633433 49.6620417, 21.1634371 49.6619835, 21.1634768 49.6619578)",,20,,
25518267,False,,Marii Konopnickiej,residential,False,6.409,"LINESTRING (21.1625567 49.6625053, 21.1626089 49.6624586)",,20,,
741093284,True,,Biecka,tertiary,False,31.424,"LINESTRING (21.1625567 49.6625053, 21.1621827 49.6623595)",,,,
739432796,True,,Bardiowska,residential,False,25.845000000000002,"LINESTRING (21.1625567 49.6625053, 21.1624326 49.6625051, 21.1622882 49.6625434, 21.1622336 49.6625803)",,,,
207364683,False,,,residential,False,6.225,"LINESTRING (21.1622234 49.6623101, 21.1621827 49.6623595)",,,,
282790667,True,,Biecka,tertiary,False,32.292,"LINESTRING (21.1622234 49.6623101, 21.1625844 49.6624478, 21.1626089 49.6624586)",,,,
301715503,False,,Marii Konopnickiej,residential,False,18.78,"LINESTRING (21.1636761 49.6618488, 21.1634768 49.6619578)",,20,,
91785233,False,,,residential,False,86.272,"LINESTRING (21.1636761 49.6618488, 21.16375 49.6619097, 21.1638324 49.66217, 21.1639279 49.6622563, 21.1639367 49.6622933, 21.1642193 49.6625172)",,,,
25518268,False,,Juliana Tuwima,residential,False,88.913,"LINESTRING (21.165992 49.6624125, 21.1665442 49.6628052, 21.1666336 49.6628751, 21.1666666 49.6629009, 21.1668094 49.6630118)",,,,
91785237,False,,Wacława Potockiego,residential,False,39.725,"LINESTRING (21.165992 49.6624125, 21.1659678 49.6624235, 21.1655403 49.6626178)",,,,
233645017,False,,Stefana Okrzei,residential,True,132.427,"LINESTRING (21.1672643 49.665249, 21.1673744 49.6652091, 21.1685201 49.6647943, 21.1688633 49.66466)",,20,,
