osmid,name,highway,oneway,reversed,length,bridge,lanes,maxspeed,geometry,junction,access
"[982123910, 982123911, 358557356, 28401103, 982347990, 1237325912, 461751870]","['Mestwina', 'Przystań Jana Sobieskiego']",tertiary,False,"[False, True]",208.67000000000002,yes,2,"['50', '30']","LINESTRING (18.690509 53.9274429, 18.6907104 53.927469, 18.6910132 53.9275031, 18.6914703 53.927551, 18.6916049 53.9275639, 18.69213 53.9276173, 18.6925345 53.9276608, 18.6927428 53.927683, 18.6930925 53.927722, 18.6934265 53.927752, 18.6936464 53.9277717)",,
28369102,Sambora,tertiary,False,False,198.193,,2,40,"LINESTRING (18.6974544 53.9326144, 18.6973557 53.9324685, 18.6971389 53.9321137, 18.6968373 53.9316099, 18.6966931 53.9313092, 18.6966625 53.9310904, 18.696664 53.9310076, 18.6966616 53.9309083)",,
657969912,Józefa Wybickiego,residential,False,True,124.83,,2,50,"LINESTRING (18.6974544 53.9326144, 18.6975998 53.9326054, 18.6992655 53.9325018, 18.6993479 53.932488)",,
"[42680146, 28367999]",Osiedle Młodych,"['residential', 'living_street']",False,False,84.29899999999999,,,,"LINESTRING (18.6993479 53.932488, 18.6993165 53.9323761, 18.6992672 53.9322005, 18.6992324 53.9319871, 18.6992232 53.9318346, 18.6992822 53.9317411)",,
657969912,Józefa Wybickiego,residential,False,False,124.83,,2,50,"LINESTRING (18.6993479 53.932488, 18.6992655 53.9325018, 18.6975998 53.9326054, 18.6974544 53.9326144)",,
657969912,Józefa Wybickiego,residential,False,True,128.19,,2,50,"LINESTRING (18.6993479 53.932488, 18.6996926 53.9324244, 18.7000378 53.9323349, 18.7004225 53.9321945, 18.7008306 53.932036, 18.7010628 53.9319458)",,
28383225,Osiedle Młodych,living_street,False,True,22.798,,,,"LINESTRING (18.6992822 53.9317411, 18.6996296 53.9317269)",,
42680146,Osiedle Młodych,living_street,False,False,35.192,,,,"LINESTRING (18.6992822 53.9317411, 18.6991853 53.9314298)",,
"[28383225, 737072545]",Osiedle Młodych,living_street,False,"[False, True]",122.786,,,,"LINESTRING (18.6992822 53.9317411, 18.698573 53.9317532, 18.6985094 53.931543, 18.6985237 53.9314612, 18.6991853 53.9314298)",,
"[42680146, 28367999]",Osiedle Młodych,"['living_street', 'residential']",False,True,84.299,,,,"LINESTRING (18.6992822 53.9317411, 18.6992232 53.9318346, 18.6992324 53.9319871, 18.6992672 53.9322005, 18.6993165 53.9323761, 18.6993479 53.932488)",,
