osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,name,geometry,access
391675822,2,12,primary,50,False,True,105.07,,"LINESTRING (17.298778 51.969248, 17.2974029 51.9688295)",
198853659,,,residential,,True,False,137.23000000000002,Rynek,"LINESTRING (17.298778 51.969248, 17.2987246 51.9692804, 17.2974827 51.9692368, 17.2973566 51.9689036, 17.2973814 51.9688593, 17.2974029 51.9688295)",
198853685,2,12,primary,50,False,False,16.465,Jarocińska,"LINESTRING (17.298778 51.969248, 17.2989109 51.9692896, 17.2989802 51.9693262)",
105039913,,,residential,,False,False,100.828,Gostyńska,"LINESTRING (17.3035125 51.9682576, 17.3021815 51.9678706)",
105039914,,,residential,,False,True,333.962,Kaliska,"LINESTRING (17.3035125 51.9682576, 17.3023816 51.9685495, 17.3018079 51.9686774, 17.301219 51.9687892, 17.3009167 51.9688642, 17.3006134 51.9689514, 17.299935 51.9691631, 17.2994716 51.96926, 17.2992783 51.9692838, 17.2991628 51.9692911, 17.2990282 51.9693008, 17.2989802 51.9693262)",
421616075,2,12,primary,50,False,True,14.097,,"LINESTRING (17.2955979 51.9659787, 17.2955292 51.9658592)",
105039913,,,residential,,False,True,56.221,Gostyńska,"LINESTRING (17.2955979 51.9659787, 17.2956609 51.9659703, 17.2958016 51.9659765, 17.2963569 51.9661395)",
198853652,2,12,primary,50,False,False,265.623,Kolejowa,"LINESTRING (17.2955979 51.9659787, 17.2956538 51.9660805, 17.2964987 51.9675821, 17.2966391 51.9678018, 17.2969104 51.968226)",
198853654,,,residential,,False,False,34.211,Ogrodowa,"LINESTRING (17.2941059 51.9690197, 17.2942671 51.9693109)",
198853654,,,residential,,False,True,217.111,Ogrodowa,"LINESTRING (17.2941059 51.9690197, 17.2941392 51.9689968, 17.2944401 51.9687899, 17.2951299 51.9685064, 17.295994 51.9683621, 17.2962898 51.9683325, 17.2967542 51.9682535, 17.2969104 51.968226)",
198853665,,,residential,,False,True,138.03199999999998,Ogrodowa,"LINESTRING (17.2941059 51.9690197, 17.2934508 51.9690314, 17.2933633 51.9690276, 17.292909 51.9690078, 17.2925861 51.9689168, 17.292253 51.9687202)",
198853654,,,residential,,False,True,34.211,Ogrodowa,"LINESTRING (17.2942671 51.9693109, 17.2941059 51.9690197)",
118388436,2,,tertiary,,False,True,215.08299999999997,Golska,"LINESTRING (17.2942671 51.9693109, 17.2956671 51.9690766, 17.297129 51.9687983, 17.2972803 51.9687686)",
