osmid,ref,name,highway,oneway,reversed,length,lanes,geometry,maxspeed,tunnel,junction
127501877,527,Władysława Jagiełły,secondary,False,False,40.494,,"LINESTRING (19.6537894 54.0649316, 19.6543489 54.0647741)",,,
737848568,527,Władysława Jagiełły,secondary,True,False,12.249,1,"LINESTRING (19.6537894 54.0649316, 19.6537313 54.0649878, 19.653698 54.0650277)",,,
127501877,527,Władysława Jagiełły,secondary,False,True,9.505,,"LINESTRING (19.65447 54.0647266, 19.6543489 54.0647741)",,,
127501877,527,Władysława Jagiełły,secondary,False,False,60.67,,"LINESTRING (19.65447 54.0647266, 19.6545896 54.0646617, 19.6548084 54.0645095, 19.6550838 54.0643176)",,,
628270625,527,Bohaterów Westerplatte,secondary,True,False,12.808,1,"LINESTRING (19.6562305 54.0634039, 19.6562828 54.0634604, 19.656331 54.0635027)",,,
1190167628,527,Bohaterów Westerplatte,secondary,False,False,45.241,,"LINESTRING (19.6562305 54.0634039, 19.6562151 54.0633655, 19.6561961 54.0633239, 19.6560457 54.0630118)",,,
146672014,,Władysława Jagiełły,tertiary,False,False,59.736999999999995,,"LINESTRING (19.6587798 54.0634944, 19.6592018 54.0636799, 19.6594886 54.0638334)",,,
146672014,,Władysława Jagiełły,tertiary,False,True,144.03099999999998,,"LINESTRING (19.6587798 54.0634944, 19.658638 54.063472, 19.6584726 54.0634571, 19.6583839 54.063452, 19.6582569 54.0634516, 19.6580067 54.0634592, 19.6577244 54.0634725, 19.6566786 54.0635582, 19.6565924 54.0635654)",,,
127501837,,Adama Mickiewicza,residential,False,False,71.858,,"LINESTRING (19.6594886 54.0638334, 19.6594084 54.063995, 19.65933 54.0641529, 19.6591648 54.0642629, 19.6590802 54.0643193, 19.6590462 54.0643325, 19.6589498 54.0643698)",,,
127501844,,Mikołaja Kopernika,tertiary,False,False,113.064,,"LINESTRING (19.6594886 54.0638334, 19.65975 54.0637478, 19.6610017 54.0633381)",,,
146672014,,Władysława Jagiełły,tertiary,False,True,59.736999999999995,,"LINESTRING (19.6594886 54.0638334, 19.6592018 54.0636799, 19.6587798 54.0634944)",,,
452206705,,Księdza Franciszka Osińskiego,residential,False,False,153.78199999999998,,"LINESTRING (19.6594886 54.0638334, 19.6596249 54.063884, 19.6599221 54.0641755, 19.6603551 54.0645788, 19.6606375 54.0650207)",,,
127501877,527,Władysława Jagiełły,secondary,False,True,93.68499999999999,,"LINESTRING (19.6560576 54.0636986, 19.6560308 54.0637146, 19.655994 54.0637364, 19.655633 54.0639635, 19.6553525 54.064146, 19.6550838 54.0643176)",,,
628270623,527,Władysława Jagiełły,secondary,True,False,16.634999999999998,1,"LINESTRING (19.6560576 54.0636986, 19.6561289 54.0636254, 19.6561715 54.0635651)",,,
14476539,526,Bohaterów Westerplatte,secondary,False,True,113.489,,"LINESTRING (19.6573592 54.0586618, 19.6569602 54.0596552)",,,
105235062,526,Dworcowa,secondary,False,True,139.95199999999997,,"LINESTRING (19.6573592 54.0586618, 19.6567707 54.0585871, 19.6562747 54.0585242, 19.6561435 54.0585086, 19.6559751 54.0584878, 19.6557308 54.0584668, 19.6555102 54.0584464, 19.6554052 54.0584362, 19.6553163 54.0584246, 19.6552609 54.0584095)",,,
105235072,,Dworcowa,residential,False,True,185.907,,"LINESTRING (19.6524467 54.0581585, 19.6549415 54.0584005, 19.6552609 54.0584095)",,,
127497427,,Różana,residential,False,False,37.028,,"LINESTRING (19.658109 54.0605514, 19.658112 54.0608844)",,,
127497458,,Zwycięstwa,residential,True,False,88.38,,"LINESTRING (19.658109 54.0605514, 19.6582101 54.0605512, 19.6594632 54.0605501)",50,,
