osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,junction,ref,tunnel
33228428,3,Feliksa Orlickiego,tertiary,False,False,140.48000000000002,"LINESTRING (18.6592903 50.3015223, 18.6592216 50.3016472, 18.6591682 50.3017563, 18.6590614 50.3020546, 18.6590176 50.3022232, 18.6589835 50.3024261, 18.6589704 50.3025954, 18.6589797 50.3027615)",,,,,
"[24270825, 975580556]","['2', '3']",Feliksa Orlickiego,tertiary,False,False,342.995,"LINESTRING (18.6592903 50.3015223, 18.6596016 50.301156, 18.6596476 50.3011022, 18.6598435 50.3008736, 18.6601085 50.3005836, 18.6602704 50.3004413, 18.6604738 50.3002676, 18.6606116 50.3001567, 18.6608915 50.2999425, 18.6616948 50.2994179, 18.6618767 50.2993008, 18.6620664 50.2991868, 18.6622166 50.2990968)",,,,,
"[246322512, 975582854]",3,Stanisława Wyspiańskiego,tertiary,False,True,308.675,"LINESTRING (18.6592903 50.3015223, 18.6590781 50.3013919, 18.6589766 50.3013233, 18.6588803 50.3012582, 18.6588021 50.3012058, 18.6572917 50.3002412, 18.6562207 50.2995574)",,,,,
4601863,3,Prymasa Stefana Wyszyńskiego,tertiary,False,False,18.532,"LINESTRING (18.6673583 50.2969777, 18.6674282 50.2969726, 18.6674655 50.2969668, 18.6675036 50.2969568, 18.6675531 50.2969386, 18.667595 50.296917)",,,,,
24273446,1,Generała Leona Berbeckiego,residential,True,False,25.500999999999998,"LINESTRING (18.6673583 50.2969777, 18.6672721 50.2968976, 18.6671898 50.2968412, 18.6671275 50.2968032)",,,,,
24273447,,Generała Leona Berbeckiego,residential,True,False,26.935000000000002,"LINESTRING (18.6673583 50.2969777, 18.6674375 50.2970542, 18.6675181 50.2971068, 18.6676233 50.2971442)",,,,,
949977536,3,Plac Marszałka Józefa Piłsudskiego,tertiary,False,True,16.43,"LINESTRING (18.6673583 50.2969777, 18.6671813 50.2969822, 18.6671275 50.2969862)",,,,,
"[24270249, 1152970394, 105024974]","['2', '3']","['Powstańców Warszawy', 'Plac Marszałka Józefa Piłsudskiego']",tertiary,False,False,161.819,"LINESTRING (18.6643718 50.2978039, 18.6644663 50.2977774, 18.6645913 50.2977512, 18.664693 50.2977385, 18.6647602 50.2977349, 18.6648424 50.2977356, 18.6649205 50.2977393, 18.6655761 50.2977921, 18.6656668 50.2977947, 18.6657444 50.2977876, 18.6658181 50.2977707, 18.6658827 50.2977444, 18.6662975 50.2974612, 18.6663112 50.2974525, 18.6663822 50.2974071)",,,,,
"[544267189, 22870126]","['2', '4']",Powstańców Warszawy,tertiary,False,False,217.198,"LINESTRING (18.6643718 50.2978039, 18.6643309 50.2977545, 18.6642872 50.297712, 18.6642313 50.2976749, 18.6641831 50.2976518, 18.6641255 50.2976296, 18.6640826 50.2976199, 18.6639403 50.2976042, 18.6632205 50.2975425, 18.6625873 50.2974882, 18.6619279 50.2974322, 18.6616857 50.2974132, 18.6614684 50.2974)",50,,,,
"[975580558, 104822342, 975580559]","['2', '3']",Feliksa Orlickiego,tertiary,False,True,210.369,"LINESTRING (18.6643718 50.2978039, 18.6643118 50.2978227, 18.664289 50.2978334, 18.6641963 50.297877, 18.6641292 50.2979144, 18.6640918 50.2979355, 18.6639614 50.2980258, 18.6628666 50.2987065, 18.6627055 50.2988067, 18.6625076 50.2989163, 18.6622166 50.2990968)",,,,,
