osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,junction,width
139444538,2,Johanna Goethego,tertiary,50,False,False,78.43599999999999,"LINESTRING (18.7826963 50.30579, 18.7825432 50.3057759, 18.7823733 50.3057564, 18.7820189 50.3057057, 18.7818332 50.3056748, 18.7817559 50.3056563, 18.7816828 50.3056372, 18.781628 50.3056208)",,,,
"[140020064, 139444538]",2,Johanna Goethego,tertiary,50,False,True,74.783,"LINESTRING (18.7826963 50.30579, 18.782843 50.3057997, 18.7831621 50.3058124, 18.7833289 50.3058159, 18.7834473 50.3058162, 18.7835777 50.3058132, 18.783666 50.3058078, 18.7837463 50.3057996)",,,,
1165589129,,Johanna Goethego,residential,30,False,True,54.722,"LINESTRING (18.7826963 50.30579, 18.7826885 50.3058197, 18.7826702 50.3058812, 18.7825415 50.3062293, 18.7825377 50.3062429, 18.7825371 50.3062562, 18.7825409 50.3062706)",,,,
29690245,2,Mieczysława Niedziałkowskiego,residential,50,False,False,142.975,"LINESTRING (18.7847522 50.3114948, 18.7847004 50.3114851, 18.7846627 50.3114794, 18.7846295 50.3114772, 18.7845656 50.3114794, 18.78451 50.3114847, 18.7844187 50.3114975, 18.7842249 50.3115312, 18.7836684 50.3116233, 18.7834598 50.3116542, 18.7833089 50.3116687, 18.7831408 50.3116799, 18.7830133 50.3116808, 18.7828876 50.3116745, 18.7827817 50.3116592)",,,,
"[1214084995, 29701805, 210450575, 210450576, 203477879]","['2', '3']",Plac Teatralny,tertiary,50,True,False,255.846,"LINESTRING (18.7847522 50.3114948, 18.7848583 50.3112721, 18.7850177 50.3110012, 18.785119 50.3108269, 18.785183 50.3107108, 18.7852305 50.3106106, 18.7852894 50.3104714, 18.7854416 50.3101191, 18.7855625 50.3098267, 18.785644 50.3096362, 18.7856597 50.3095997, 18.7856832 50.3095489, 18.7857851 50.3092924)",921,yes,,
"[29235632, 210032105, 363212830]","['2', '3']",profesora Zbigniewa Religi,tertiary,50,True,False,165.288,"LINESTRING (18.7857851 50.3092924, 18.7862364 50.3093515, 18.7867581 50.3094135, 18.7870631 50.3094496, 18.787275 50.3094738, 18.7874326 50.3094906, 18.7876384 50.3095059, 18.7877917 50.3095156, 18.78808 50.3095339)",,,,
"[210032102, 363212823, 363212822, 29216759, 363212824]","['4', '3', '2']",Karola Miarki,tertiary,50,False,True,130.139,"LINESTRING (18.7857851 50.3092924, 18.7856615 50.3092258, 18.785624 50.3092122, 18.7854901 50.3091593, 18.7853827 50.3091171, 18.785211 50.3090502, 18.7850358 50.3089814, 18.7845805 50.3087947, 18.7843947 50.3087167, 18.7842494 50.3086556)",921,,,
"[181343498, 363212828]",4,Powstańców Śląskich,residential,50,False,True,93.197,"LINESTRING (18.7857851 50.3092924, 18.7857834 50.3092023, 18.7857868 50.3091364, 18.7857841 50.3090742, 18.7857747 50.3090068, 18.7857625 50.3089474, 18.785732 50.308799, 18.7856807 50.308549, 18.7856632 50.3084592)",,,,
"[203477883, 1214084996, 210450579, 203477877, 363212826, 363212827]",2,Plac Teatralny,tertiary,50,True,False,262.022,"LINESTRING (18.7857851 50.3092924, 18.785821 50.3095026, 18.7858343 50.3095632, 18.785839 50.3095833, 18.7858743 50.3097466, 18.785876 50.3097994, 18.7858599 50.309874, 18.7855606 50.3103624, 18.7854727 50.3105058, 18.7853884 50.3106432, 18.7850896 50.3110905, 18.7849285 50.3112873, 18.7847522 50.3114948)",921,yes,,
26343529,2,Johanna Goethego,tertiary,50,False,False,21.954,"LINESTRING (18.7843336 50.3058364, 18.7842921 50.3058419, 18.7842422 50.3058443, 18.7842041 50.3058436, 18.7841651 50.3058406, 18.7840976 50.3058306, 18.7840317 50.3058155)",,,,
205285799,,Wyzwolenia,residential,10,False,False,124.44500000000002,"LINESTRING (18.7843336 50.3058364, 18.7843573 50.3058905, 18.7843838 50.305951, 18.7843994 50.3059866, 18.7844093 50.3060169, 18.7844752 50.3061661, 18.7845852 50.3064107, 18.7846157 50.3064745, 18.7846283 50.3065002, 18.7846491 50.3065278, 18.7846747 50.3065557, 18.7847036 50.3065796, 18.784732 50.3065994, 18.7847691 50.3066201, 18.7848129 50.3066388, 18.784861 50.3066531, 18.7849108 50.3066638, 18.7849602 50.3066713, 18.7850115 50.3066747, 18.785185 50.3066829)",,,,
205285799,,Wyzwolenia,residential,10,False,True,124.44500000000001,"LINESTRING (18.785185 50.3066829, 18.7850115 50.3066747, 18.7849602 50.3066713, 18.7849108 50.3066638, 18.784861 50.3066531, 18.7848129 50.3066388, 18.7847691 50.3066201, 18.784732 50.3065994, 18.7847036 50.3065796, 18.7846747 50.3065557, 18.7846491 50.3065278, 18.7846283 50.3065002, 18.7846157 50.3064745, 18.7845852 50.3064107, 18.7844752 50.3061661, 18.7844093 50.3060169, 18.7843994 50.3059866, 18.7843838 50.305951, 18.7843573 50.3058905, 18.7843336 50.3058364)",,,,
"[258380300, 177809421]",,Dworcowa,residential,10,False,False,114.378,"LINESTRING (18.7856516 50.3065877, 18.785656 50.3065523, 18.7857074 50.3061351, 18.7857331 50.3059385, 18.7857502 50.3058074, 18.7857646 50.3056971, 18.7857928 50.3055632)",,,,
"[258380300, 177809421]",,Dworcowa,residential,10,False,True,114.378,"LINESTRING (18.7857928 50.3055632, 18.7857646 50.3056971, 18.7857502 50.3058074, 18.7857331 50.3059385, 18.7857074 50.3061351, 18.785656 50.3065523, 18.7856516 50.3065877)",,,,
"[1023898404, 140780837]",,Plac Dworcowy,residential,10,False,False,187.321,"LINESTRING (18.7857928 50.3055632, 18.7859099 50.3055832, 18.7860299 50.305596, 18.7862093 50.3056112, 18.7866555 50.305649, 18.7867709 50.3056556, 18.7868393 50.3056595, 18.7874858 50.3056967, 18.7876888 50.3057084, 18.7877375 50.3057109, 18.7877856 50.3057169, 18.7878338 50.305731, 18.7878783 50.3057526, 18.7879277 50.3057894, 18.7879514 50.3058175, 18.7879651 50.3058501, 18.7879698 50.3058816, 18.7879544 50.3059287, 18.7879294 50.3059594, 18.7878624 50.3060118, 18.7878267 50.3060391)",,,,
"[139574164, 1246321771, 1023898404]",,Plac Dworcowy,residential,"['50', '10']",False,True,154.481,"LINESTRING (18.7857928 50.3055632, 18.7857047 50.3055393, 18.7856285 50.3055186, 18.7855997 50.3055116, 18.7854079 50.3054654, 18.7852186 50.3054457, 18.7851524 50.3054433, 18.7846729 50.305426, 18.7843384 50.3054171, 18.7842275 50.3054201, 18.7841772 50.3054272, 18.7841293 50.3054377, 18.7840895 50.30545, 18.7840462 50.3054668, 18.7839732 50.3055087, 18.7839309 50.3055495, 18.7839098 50.3055888, 18.7838988 50.3056345, 18.7838942 50.3056775)",,,,
"[1246321771, 139574164, 1023898404]",,Plac Dworcowy,residential,"['50', '10']",False,False,154.481,"LINESTRING (18.7838942 50.3056775, 18.7838988 50.3056345, 18.7839098 50.3055888, 18.7839309 50.3055495, 18.7839732 50.3055087, 18.7840462 50.3054668, 18.7840895 50.30545, 18.7841293 50.3054377, 18.7841772 50.3054272, 18.7842275 50.3054201, 18.7843384 50.3054171, 18.7846729 50.305426, 18.7851524 50.3054433, 18.7852186 50.3054457, 18.7854079 50.3054654, 18.7855997 50.3055116, 18.7856285 50.3055186, 18.7857047 50.3055393, 18.7857928 50.3055632)",,,,
1226215010,1,Rondo Świętego Kamila - Patrona Zabrza,tertiary,50,True,False,21.459000000000003,"LINESTRING (18.7838942 50.3056775, 18.7839551 50.3056858, 18.7840097 50.3057119, 18.7840352 50.3057393, 18.7840456 50.3057767, 18.7840317 50.3058155)",,,roundabout,
82402173,1,Bytomska,tertiary,50,True,False,28.688,"LINESTRING (18.7889639 50.3095626, 18.7893664 50.3095405)",,,,
29235630,4,Bytomska,tertiary,50,True,False,35.294,"LINESTRING (18.7889639 50.3095626, 18.7889408 50.3096381, 18.788901 50.3097181, 18.788859 50.3097786, 18.7887963 50.3098596)",,,,
"[181343498, 363212828]",4,Powstańców Śląskich,residential,50,False,False,93.19699999999999,"LINESTRING (18.7856632 50.3084592, 18.7856807 50.308549, 18.785732 50.308799, 18.7857625 50.3089474, 18.7857747 50.3090068, 18.7857841 50.3090742, 18.7857868 50.3091364, 18.7857834 50.3092023, 18.7857851 50.3092924)",,,,
197853333,2,Powstańców Śląskich,residential,50,False,True,65.982,"LINESTRING (18.7856632 50.3084592, 18.7856109 50.3084008, 18.7856024 50.3083626, 18.7855538 50.3081256, 18.7855069 50.3078789)",,,,
39626960,,Świętego Andrzeja Boboli,residential,30,False,False,175.04299999999998,"LINESTRING (18.7895011 50.3073249, 18.7893384 50.30729, 18.7889215 50.3072004, 18.7888267 50.3071937, 18.7887456 50.307203, 18.7886678 50.3072228, 18.7886048 50.3072539, 18.7881489 50.3075462, 18.7881072 50.3075728, 18.7880708 50.3075881, 18.7880212 50.3075993, 18.787984 50.3076013, 18.7879216 50.3075975, 18.7874848 50.3075566, 18.7874579 50.3075547, 18.7874196 50.3075564, 18.787383 50.3075598, 18.7873173 50.3075685)",,,,4.8
59167848,,Cmentarna,residential,50,False,False,210.895,"LINESTRING (18.7895011 50.3073249, 18.7896725 50.3073607, 18.7900831 50.3074465, 18.790995 50.3076371, 18.7912607 50.3076946, 18.7915065 50.3077518, 18.7916938 50.3077982, 18.791908 50.307858, 18.7920999 50.3079197, 18.7922869 50.3079751)",,,,8
210060959,2,Pawła Stalmacha,tertiary,50,False,True,131.562,"LINESTRING (18.7895011 50.3073249, 18.7894676 50.3073781, 18.7894424 50.3074182, 18.7894046 50.3074824, 18.7893759 50.3075629, 18.7893541 50.3076606, 18.789173 50.3084853)",,,,
"[140781376, 722156433, 1236350332, 1236350333]","['2', '3']",Pawła Stalmacha,tertiary,50,False,True,182.28800000000004,"LINESTRING (18.7895011 50.3073249, 18.7895721 50.307206, 18.7896662 50.3070485, 18.7898869 50.3066956, 18.7898936 50.3066849, 18.789998 50.3065181, 18.7900948 50.3063632, 18.7902377 50.3061348, 18.7902514 50.3060948, 18.7902551 50.3060618, 18.7902425 50.3060171, 18.7902023 50.3059753, 18.790147 50.3059423, 18.7900664 50.3059121, 18.7900161 50.3058971, 18.7899471 50.305879)",,,,
258380301,,Średnia,residential,30,False,True,25.914,"LINESTRING (18.7873173 50.3075685, 18.7872827 50.3073365)",,,,
"[29216758, 260307743]",2,Piastowska,residential,30,True,False,183.102,"LINESTRING (18.7873173 50.3075685, 18.7873367 50.3076972, 18.7873639 50.3079236, 18.7873732 50.3079896, 18.7873586 50.3080357, 18.7873301 50.3080721, 18.787277 50.3080996, 18.7872102 50.3081243, 18.786725 50.3082341, 18.7863854 50.3083083, 18.7861748 50.3083536, 18.7861435 50.3083602, 18.7858457 50.3084243, 18.7857358 50.3084463, 18.7856632 50.3084592)",,,,
39626960,,Świętego Andrzeja Boboli,residential,30,False,True,175.04299999999998,"LINESTRING (18.7873173 50.3075685, 18.787383 50.3075598, 18.7874196 50.3075564, 18.7874579 50.3075547, 18.7874848 50.3075566, 18.7879216 50.3075975, 18.787984 50.3076013, 18.7880212 50.3075993, 18.7880708 50.3075881, 18.7881072 50.3075728, 18.7881489 50.3075462, 18.7886048 50.3072539, 18.7886678 50.3072228, 18.7887456 50.307203, 18.7888267 50.3071937, 18.7889215 50.3072004, 18.7893384 50.30729, 18.7895011 50.3073249)",,,,4.8
29211644,2,Pawła Stalmacha,tertiary,50,False,True,28.969,"LINESTRING (18.7898546 50.3056513, 18.7898232 50.3057095, 18.7898176 50.3057316, 18.7898182 50.3057494, 18.7898254 50.3057824, 18.7898482 50.3058124, 18.7898915 50.3058471, 18.7899471 50.305879)",,,,
140780836,,Wolności,residential,50,False,True,54.98,"LINESTRING (18.7898546 50.3056513, 18.7897979 50.3056991, 18.7897386 50.305746, 18.7896711 50.3057929, 18.7896535 50.3058033, 18.7896042 50.3058326, 18.7894957 50.305884, 18.7894071 50.30592, 18.7893583 50.3059375, 18.7892712 50.3059672)",,,,
"[172580464, 162025782]",3,Bytomska,tertiary,50,True,False,43.382000000000005,"LINESTRING (18.7884494 50.3102191, 18.7883536 50.3101776, 18.7882328 50.3101153, 18.7879698 50.3099778)",,,,
250862089,,Kowalska,residential,30,False,False,51.393,"LINESTRING (18.7825409 50.3062706, 18.782551 50.306283, 18.7825656 50.306294, 18.7825796 50.306301, 18.7825965 50.3063063, 18.7826179 50.3063107, 18.7828386 50.3063416, 18.7832225 50.3063987)",,,,3
