osmid,oneway,name,highway,maxspeed,junction,reversed,length,geometry,lanes,bridge
98471227,True,Rondo imienia Pamięci Ofiar Zbrodni Lubińskiej,secondary,50,roundabout,False,10.041,"LINESTRING (16.2108129 51.3975983, 16.2107843 51.3976397, 16.2107394 51.3976752)",,
98470997,True,Aleja Niepodległości,secondary,50,,False,47.95,"LINESTRING (16.2103742 51.3976854, 16.2102042 51.3976814, 16.2100052 51.397699, 16.2096869 51.3977199)",2,
98471227,True,Rondo imienia Pamięci Ofiar Zbrodni Lubińskiej,secondary,50,roundabout,False,18.985,"LINESTRING (16.2103742 51.3976854, 16.2103138 51.3976428, 16.2102788 51.3975902, 16.2102731 51.3975334)",,
98471227,True,Rondo imienia Pamięci Ofiar Zbrodni Lubińskiej,secondary,50,roundabout,False,14.474,"LINESTRING (16.2102731 51.3975334, 16.2103031 51.3974711, 16.210368 51.3974201)",,
98471057,True,Ścinawska,secondary,50,,False,57.297,"LINESTRING (16.2107551 51.3974374, 16.2110188 51.3974105, 16.2110568 51.3974069, 16.2112187 51.3973912, 16.2115749 51.3973836)",2,
98471227,True,Rondo imienia Pamięci Ofiar Zbrodni Lubińskiej,secondary,50,roundabout,False,19.026,"LINESTRING (16.2107551 51.3974374, 16.210803 51.3974859, 16.210823 51.3975416, 16.2108129 51.3975983)",,
98471107,True,Aleja Niepodległości,secondary,50,,False,45.861000000000004,"LINESTRING (16.2096869 51.3977199, 16.2099597 51.3976112, 16.210161 51.3975634, 16.2102731 51.3975334)",2,
"[98471035, 915979039]",False,Aleja Niepodległości,secondary,50,,False,79.435,"LINESTRING (16.2096869 51.3977199, 16.209345 51.3978028, 16.2089555 51.3978973, 16.2088708 51.39792, 16.208622 51.3979823)","['4', '5']",
97593894,False,Generała Józefa Bema,residential,50,,False,13.275,"LINESTRING (16.2000092 51.4017717, 16.199962 51.401656)",,
39215668,False,Armii Krajowej,unclassified,50,,False,137.501,"LINESTRING (16.2046222 51.3997186, 16.2047994 51.3998943, 16.2048477 51.3999422, 16.2049096 51.4000036, 16.2055867 51.4006492, 16.2056993 51.4007566)",2,
39215668,False,Armii Krajowej,unclassified,50,,True,163.48,"LINESTRING (16.2046222 51.3997186, 16.2045135 51.3996213, 16.2044401 51.39957, 16.2043962 51.3995422, 16.2043767 51.3995281, 16.204265 51.3994516, 16.204162 51.3993797, 16.2040642 51.3992986, 16.2039869 51.3992418, 16.2039176 51.3991695, 16.2035067 51.3987407, 16.2034062 51.398636, 16.203288 51.398513)",2,
98471035,False,Aleja Niepodległości,secondary,50,,False,260.22400000000005,"LINESTRING (16.2046222 51.3997186, 16.2043758 51.3998398, 16.2043093 51.3998704, 16.2029635 51.4004902, 16.2028667 51.4005346, 16.2027293 51.4005921, 16.2019489 51.400916, 16.2018814 51.4009451, 16.2015654 51.4010734)",4,
98471035,False,Aleja Niepodległości,secondary,50,,True,115.894,"LINESTRING (16.2046222 51.3997186, 16.2047747 51.3996395, 16.2048321 51.3996114, 16.2054229 51.3993226, 16.2059336 51.399073)",4,
22757532,True,Michała Drzymały,residential,,,False,110.46699999999998,"LINESTRING (16.2056993 51.4007566, 16.2057899 51.4007202, 16.2060362 51.4006213, 16.2060699 51.4006078, 16.2065953 51.4003968, 16.2066263 51.4003843, 16.2069116 51.4002698, 16.2070383 51.4002189)",,
39215668,False,Armii Krajowej,unclassified,50,,False,116.89500000000001,"LINESTRING (16.2056993 51.4007566, 16.205824 51.4008782, 16.2064527 51.4014912, 16.2064931 51.4015306, 16.2066236 51.401635)",2,
39215668,False,Armii Krajowej,unclassified,50,,True,137.501,"LINESTRING (16.2056993 51.4007566, 16.2055867 51.4006492, 16.2049096 51.4000036, 16.2048477 51.3999422, 16.2047994 51.3998943, 16.2046222 51.3997186)",2,
22757533,True,Bankowa,residential,50,,False,148.909,"LINESTRING (16.2070383 51.4002189, 16.2061062 51.3992056, 16.2060568 51.3991646, 16.2059336 51.399073)",,
97593861,True,Bankowa,residential,,,False,126.614,"LINESTRING (16.2070383 51.4002189, 16.2078686 51.4011171, 16.2079501 51.4012053)",,
98471035,False,Aleja Niepodległości,secondary,50,,False,115.89399999999999,"LINESTRING (16.2059336 51.399073, 16.2054229 51.3993226, 16.2048321 51.3996114, 16.2047747 51.3996395, 16.2046222 51.3997186)",4,
