osmid,lanes,name,highway,oneway,reversed,length,geometry,ref,maxspeed,bridge,junction,access
1163921012,2,Zarębska,tertiary,False,False,115.877,"LINESTRING (22.31099 52.79692, 22.3095961 52.7963071)",,,,,
1163921012,2,Zarębska,tertiary,False,True,63.681,"LINESTRING (22.31099 52.79692, 22.3117392 52.7972704)",,,,,
97644947,,Strażacka,residential,False,True,122.947,"LINESTRING (22.31099 52.79692, 22.311036 52.7968681, 22.3118543 52.7959456)",,,,,
97646691,,Kwiatowa,residential,False,True,184.612,"LINESTRING (22.3063801 52.7968147, 22.3070925 52.7952113)",,,,,
97646392,,Nowa,residential,False,False,70.864,"LINESTRING (22.3167792 52.7940984, 22.3177371 52.7943642)",,,,,
97647402,,Janusza Kusocińskiego,residential,False,False,4.374,"LINESTRING (22.3171066 52.7951371, 22.3171614 52.7951583)",,,,,
97647402,,Janusza Kusocińskiego,residential,False,True,65.101,"LINESTRING (22.3171066 52.7951371, 22.3162438 52.7948714)",,,,,
97648072,,Janusza Kusocińskiego,residential,False,True,95.829,"LINESTRING (22.3171066 52.7951371, 22.3177371 52.7943642)",,,,,
698583390,,Nurska,primary,False,False,20.291,"LINESTRING (22.3125389 52.796937, 22.3124506 52.7971115)",63,50,,,
237270320,,Nurska,primary,False,True,76.651,"LINESTRING (22.3125389 52.796937, 22.3126107 52.7968303, 22.3127126 52.7967087, 22.3128523 52.7965751, 22.3130315 52.7964076, 22.3131036 52.7963402)",63,50,,,
"[288890793, 97647363]",,"['Piwna', 'Krótka']",residential,False,True,166.52100000000002,"LINESTRING (22.3125389 52.796937, 22.3135061 52.7972429, 22.3139244 52.796537, 22.3139843 52.7964571)",,,,,
307656719,,Kościelna,residential,False,True,117.366,"LINESTRING (22.3119529 52.7987874, 22.3120351 52.7988007, 22.312091 52.7988097, 22.3136395 52.7990598)",,,,,
"[1163921014, 317742941, 317742942, 698583391]",2,Zambrowska,primary,False,False,247.70099999999996,"LINESTRING (22.3119529 52.7987874, 22.3118749 52.7989174, 22.3117176 52.7991794, 22.31146 52.7996209, 22.3112159 52.8000281, 22.3109042 52.800548, 22.3107932 52.8007332, 22.3107034 52.800883)",63,50,yes,,
