osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,junction,bridge,access
197049563,Warszawska,tertiary,50,False,False,87.251,"LINESTRING (18.9315527 53.7366974, 18.9311893 53.7366297, 18.9310153 53.7366, 18.9306906 53.7365715, 18.9302582 53.7365374)",,,,,
197049563,Warszawska,tertiary,50,False,True,98.40299999999999,"LINESTRING (18.9315527 53.7366974, 18.9321169 53.736804, 18.9322978 53.7368389, 18.9329763 53.7369696)",,,,,
"[751679504, 1036655852]",Braterstwa Narodów,tertiary,,False,True,106.03999999999999,"LINESTRING (18.9280911 53.7365313, 18.9285336 53.7365378, 18.9287588 53.7365356, 18.9291557 53.7365316, 18.9295105 53.7365318, 18.9297031 53.736533)",2,,,,
1036655850,Braterstwa Narodów,tertiary,,False,False,35.427,"LINESTRING (18.9280911 53.7365313, 18.9279522 53.7365174, 18.927568 53.7364565)",3,,,,
104775299,Władysława Jagiełły,primary,50,True,False,25.959,"LINESTRING (18.9379826 53.7379317, 18.9378938 53.7378229, 18.9378565 53.7377364, 18.9378452 53.737714)",2,55,,,
981389477,Warszawska,secondary,50,False,False,46.132,"LINESTRING (18.9384824 53.7375283, 18.9386575 53.7375296, 18.9389625 53.7375434, 18.939181 53.7375605)",3,521,,,
997767162,Warszawska,secondary,50,True,False,26.331000000000003,"LINESTRING (18.9384824 53.7375283, 18.9382808 53.7375702, 18.9381439 53.7375929, 18.9381018 53.7376014)",,521,,,
291438071,Rondo Papieża Jana Pawła II,primary,,True,False,13.447,"LINESTRING (18.9381018 53.7376014, 18.9380867 53.7376303, 18.9380614 53.7376566, 18.9380273 53.7376791, 18.9379858 53.7376967)",,,roundabout,,
105152460,Warszawska,tertiary,,True,False,22.971,"LINESTRING (18.9376452 53.7375303, 18.9375053 53.7374768, 18.9373378 53.7374337)",,,,,
291438071,Rondo Papieża Jana Pawła II,primary,,True,False,9.346,"LINESTRING (18.9376452 53.7375303, 18.9376774 53.7374928, 18.9377269 53.7374627)",,,roundabout,,
291438071,Rondo Papieża Jana Pawła II,primary,,True,False,9.701,"LINESTRING (18.9380847 53.737516, 18.9381004 53.7375436, 18.9381062 53.7375725, 18.9381018 53.7376014)",,,roundabout,,
981389478,Warszawska,secondary,50,True,False,26.22,"LINESTRING (18.9380847 53.737516, 18.9382738 53.7375164, 18.9384824 53.7375283)",,521,,,
108312950,Grunwaldzka,primary,50,True,False,21.68,"LINESTRING (18.9377269 53.7374627, 18.9376472 53.7373468, 18.937615 53.7372796)",1,55,,,
291438071,Rondo Papieża Jana Pawła II,primary,,True,False,9.001,"LINESTRING (18.9377269 53.7374627, 18.9377657 53.7374485, 18.9378084 53.737439, 18.9378534 53.7374346)",,,roundabout,,
104775281,Władysława Jagiełły,primary,50,True,False,26.201999999999998,"LINESTRING (18.9379858 53.7376967, 18.9379989 53.7378128, 18.9379826 53.7379317)",2,55,,,
291438071,Rondo Papieża Jana Pawła II,primary,,True,False,9.58,"LINESTRING (18.9379858 53.7376967, 18.9379413 53.7377082, 18.9378937 53.737714, 18.9378452 53.737714)",,,roundabout,,
291438071,Rondo Papieża Jana Pawła II,primary,,True,False,18.764000000000003,"LINESTRING (18.9378534 53.7374346, 18.9379245 53.737438, 18.9379905 53.7374539, 18.9380456 53.7374807, 18.9380847 53.737516)",,,roundabout,,
