osmid,oneway,lanes,name,highway,reversed,length,geometry,junction,maxspeed
175381488,True,1,Kościelna,tertiary,False,76.78999999999999,"LINESTRING (21.1963557 52.3396927, 21.196227 52.3397617, 21.1962203 52.3397787, 21.1961701 52.339907, 21.1960937 52.340165, 21.1960841 52.3402126, 21.1960647 52.3402736, 21.1960446 52.3403367)",,
396936246,True,,,tertiary,False,13.103,"LINESTRING (21.1963557 52.3396927, 21.1963086 52.3396863, 21.1962686 52.3396698, 21.1962413 52.3396456, 21.1962303 52.3396169)",roundabout,
1074489815,True,,,tertiary,False,5.76,"LINESTRING (21.196055 52.3392858, 21.1960766 52.3393033, 21.1960913 52.3393318)",roundabout,
1074489812,True,,,tertiary,False,3.099,"LINESTRING (21.1964777 52.3395808, 21.196489 52.3396078)",roundabout,
186446369,False,,Jezuicka,residential,True,666.015,"LINESTRING (21.1945614 52.3389069, 21.1944869 52.3388986, 21.1895597 52.3383506, 21.1893292 52.338325, 21.1849165 52.3378355)",,30
186446372,True,,Paschalisa,residential,False,46.85,"LINESTRING (21.1945614 52.3389069, 21.1945248 52.3392873, 21.1945236 52.3392998, 21.1945209 52.3393275)",,30
96798458,False,,,residential,True,46.507,"LINESTRING (21.1849165 52.3378355, 21.1848291 52.3382215, 21.1848227 52.3382498)",,30
186446369,False,,Jezuicka,residential,False,666.015,"LINESTRING (21.1849165 52.3378355, 21.1893292 52.338325, 21.1895597 52.3383506, 21.1944869 52.3388986, 21.1945614 52.3389069)",,30
186446372,True,,Paschalisa,residential,False,108.17299999999999,"LINESTRING (21.1946587 52.3379359, 21.1946516 52.3380057, 21.19457 52.3388159, 21.1945614 52.3389069)",,30
303249195,False,,Paschalisa,residential,False,267.38,"LINESTRING (21.1946587 52.3379359, 21.1944134 52.3377141, 21.1931929 52.3366107, 21.192488 52.335987, 21.1924441 52.3359482)",,30
303249239,False,,Generała Tadeusza Kościuszki,residential,False,46.963,"LINESTRING (21.1946587 52.3379359, 21.1951787 52.3379651, 21.1953471 52.3379741)",,30
440556291,True,,,tertiary,False,6.21,"LINESTRING (21.1964143 52.3395418, 21.1964517 52.3395578, 21.1964777 52.3395808)",roundabout,
"[179175002, 1033601254]",True,,,tertiary,False,19.25,"LINESTRING (21.1964143 52.3395418, 21.1964994 52.3394914, 21.1965386 52.3394697, 21.1966175 52.3394212)",,
369839225,False,2,Napoleona,tertiary,False,69.748,"LINESTRING (21.1951578 52.3374094, 21.1949494 52.3367952)",,
369839225,False,2,Napoleona,tertiary,True,64.096,"LINESTRING (21.1951578 52.3374094, 21.1952987 52.3378296, 21.1953471 52.3379741)",,
87990374,False,,Gościnna,living_street,False,150.976,"LINESTRING (21.1971353 52.3365528, 21.1958282 52.3367104, 21.1950464 52.336783, 21.1949494 52.3367952)",,
87990310,False,,Kontuszowa,residential,True,30.386,"LINESTRING (21.1971933 52.3439873, 21.1968924 52.3437851)",,
87990310,False,,Kontuszowa,residential,False,66.834,"LINESTRING (21.1958895 52.3430894, 21.1965391 52.3435408)",,
"[258320691, 87989596]",False,,Ziemiańska,residential,False,140.849,"LINESTRING (21.1958895 52.3430894, 21.1947275 52.343737, 21.1946858 52.3437682, 21.1945251 52.3438726, 21.1943855 52.3439601)",,
87990310,False,,Kontuszowa,residential,True,33.064,"LINESTRING (21.1958895 52.3430894, 21.1956062 52.3428994, 21.1955617 52.3428696)",,
87990310,False,,Kontuszowa,residential,False,36.248,"LINESTRING (21.1965391 52.3435408, 21.1968924 52.3437851)",,
87990310,False,,Kontuszowa,residential,True,66.834,"LINESTRING (21.1965391 52.3435408, 21.1958895 52.3430894)",,
