osmid,lanes,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,name
35760852,1,79;755,primary,50,roundabout,True,False,19.874000000000002,"LINESTRING (21.6653669 50.8852849, 21.6652961 50.8852861, 21.6652278 50.8852744, 21.6651677 50.8852507, 21.665121 50.8852171)",
35716237,1,79,primary,50,,True,False,218.15099999999998,"LINESTRING (21.6654819 50.8852508, 21.665541 50.885345, 21.6656553 50.8854913, 21.6657939 50.8856916, 21.6658729 50.8858332, 21.6661037 50.8863065, 21.6661579 50.8864199, 21.6662438 50.8865866, 21.6663167 50.8867541, 21.6664138 50.8869688, 21.6664684 50.8871075)",Jana Pawła II
35760852,1,79;755,primary,50,roundabout,True,False,8.993,"LINESTRING (21.6654819 50.8852508, 21.665428 50.8852727, 21.6653669 50.8852849)",
35717049,1,79,primary,50,,True,False,210.319,"LINESTRING (21.6663304 50.8870684, 21.666301 50.8869825, 21.6661991 50.8867244, 21.6661823 50.8866818, 21.6660272 50.8863508, 21.6660139 50.8863224, 21.665943 50.8861723, 21.6658347 50.8859445, 21.6657535 50.8857975, 21.6656819 50.8856764, 21.665546 50.8854868, 21.6654508 50.8853731, 21.6653998 50.8853187, 21.6653669 50.8852849)",Jana Pawła II
161069174,1,,primary_link,,,True,False,10.676,"LINESTRING (21.6663304 50.8870684, 21.6663872 50.8870789, 21.6664684 50.8871075)",
35760852,1,79;755,primary,50,roundabout,True,False,11.064,"LINESTRING (21.6651515 50.8850271, 21.6652151 50.8849977, 21.6652903 50.8849827)",
419052873,1,79,primary,50,,True,False,45.018,"LINESTRING (21.6651515 50.8850271, 21.6651316 50.8849769, 21.6650845 50.8848945, 21.6650529 50.8848436, 21.6650282 50.8847548, 21.6650287 50.8846341)",Kolejowa
771067612,2,,residential,40,,False,True,241.481,"LINESTRING (21.6598655 50.890208, 21.6610982 50.8900015, 21.6611885 50.8899693, 21.6612571 50.8899312, 21.6617492 50.8894671, 21.6621821 50.8890997, 21.6622758 50.8890137, 21.6623891 50.8889129)",Osiedle Wzgórze
778689632,,,living_street,,,False,False,398.83500000000004,"LINESTRING (21.6598655 50.890208, 21.6598593 50.8901147, 21.6599896 50.889604, 21.6601048 50.8892691, 21.6602896 50.8886932, 21.660307 50.8886383, 21.6604475 50.888256, 21.6605075 50.8881838, 21.6610018 50.887833, 21.6611888 50.8877083, 21.6612942 50.8876291, 21.6618273 50.887487, 21.6621256 50.8873916, 21.6621654 50.8873789, 21.6624062 50.8873088)",
244908479,,,unclassified,,,False,True,57.502,"LINESTRING (21.6645974 50.8888181, 21.6641566 50.8892541)",Tadeusza Kościuszki
