osmid,name,highway,oneway,reversed,length,geometry,bridge,width
179136515,Braci Kazurów,unclassified,False,True,89.89699999999999,"LINESTRING (21.799778 49.5656213, 21.7997176 49.5656797, 21.7992442 49.5661371, 21.7991836 49.5661939, 21.7991171 49.5662232, 21.7990197 49.5662424)",,
"[347636089, 253636313]",Jana Denisa,residential,False,True,90.185,"LINESTRING (21.7927916 49.5703137, 21.792839 49.5703227, 21.7931446 49.5703489, 21.7931617 49.5703506, 21.7937067 49.5703983, 21.7938962 49.5704239, 21.7940258 49.5704407)",yes,
347636250,Zdrojowa,tertiary,False,False,222.227,"LINESTRING (21.7927916 49.5703137, 21.7927577 49.5705161, 21.7927188 49.5707489, 21.7927124 49.5707758, 21.7926581 49.5710016, 21.7926526 49.5710313, 21.792638 49.5711106, 21.7926258 49.571159, 21.7926264 49.5712125, 21.7926308 49.5713084, 21.7926388 49.5714325, 21.7926936 49.5717731, 21.7927523 49.5722306, 21.7927644 49.5723012)",,
"[759026432, 347636250, 759026431]",Zdrojowa,tertiary,False,True,159.645,"LINESTRING (21.7927916 49.5703137, 21.792809 49.5701346, 21.7928187 49.5700284, 21.7928561 49.5696618, 21.7928584 49.5696417, 21.7928827 49.569431, 21.7929135 49.5693188, 21.7929588 49.5691928, 21.7930111 49.5690949, 21.7931287 49.5689056)",yes,
176363685,Winiarska,residential,False,False,207.576,"LINESTRING (21.7931287 49.5689056, 21.7927829 49.5688314, 21.7927231 49.5688232, 21.792634 49.5688111, 21.792411 49.568792, 21.7918596 49.5687842, 21.791812 49.5687836, 21.7914108 49.5687889, 21.7910866 49.5687782, 21.7905556 49.5687184, 21.7902865 49.5686881)",,
"[759026425, 759026426, 33448574]",Jana Sechkiniego,residential,False,False,182.36800000000002,"LINESTRING (21.7931287 49.5689056, 21.7931781 49.5689196, 21.7936231 49.5690364, 21.793704 49.5690665, 21.7937562 49.5691165, 21.793849 49.5692025, 21.7938739 49.5692137, 21.7939519 49.5692582, 21.793965 49.5692647, 21.7940973 49.5693508, 21.7941479 49.5693767, 21.794209 49.5693863, 21.7942693 49.5693612, 21.7944146 49.5692314, 21.7945379 49.5691521, 21.7950718 49.5689508, 21.7951412 49.5689409)",yes,3.5
"[759026432, 347636250, 759026431]",Zdrojowa,tertiary,False,False,159.64499999999998,"LINESTRING (21.7931287 49.5689056, 21.7930111 49.5690949, 21.7929588 49.5691928, 21.7929135 49.5693188, 21.7928827 49.569431, 21.7928584 49.5696417, 21.7928561 49.5696618, 21.7928187 49.5700284, 21.792809 49.5701346, 21.7927916 49.5703137)",yes,
759026432,Zdrojowa,tertiary,False,True,188.34299999999996,"LINESTRING (21.7931287 49.5689056, 21.7931555 49.5688498, 21.7931883 49.5687751, 21.7932349 49.5686429, 21.7932904 49.5683751, 21.7933314 49.5680888, 21.7933358 49.5680579, 21.7933447 49.5679056, 21.7933545 49.5677385, 21.7933526 49.5676683, 21.7933522 49.5676506, 21.7933403 49.5675008, 21.7933115 49.5673809, 21.7932877 49.5673075, 21.7932609 49.56723)",,
33448554,Feliksa Piwarskiego,unclassified,False,False,423.1780000000001,"LINESTRING (21.7927991 49.5659871, 21.7928768 49.5659574, 21.7932789 49.5658036, 21.7936671 49.565649, 21.7939721 49.565539, 21.7943896 49.5653884, 21.7944493 49.5653661, 21.794838 49.5652408, 21.7948769 49.5652283, 21.795012 49.5651891, 21.795144 49.5651612, 21.7952883 49.5651617, 21.7953931 49.5651821, 21.7955001 49.5652536, 21.7956363 49.5654486, 21.7957296 49.5656109, 21.7957393 49.5656279, 21.7958169 49.5658285, 21.795994 49.5661931, 21.7961086 49.5664129, 21.7961325 49.5664483, 21.7963397 49.5667548, 21.7964075 49.5668521, 21.7964622 49.5669022, 21.7965131 49.5669252)",,6.5
"[1196864977, 33448557]",Zdrojowa,tertiary,False,False,70.883,"LINESTRING (21.7927991 49.5659871, 21.7928981 49.5662259, 21.7929337 49.5663117, 21.7930276 49.5665384, 21.7930543 49.5666027)",,
