osmid,highway,maxspeed,oneway,reversed,length,geometry,name,lanes,junction
33018258,living_street,20,False,True,100.16300000000001,"LINESTRING (22.7177027 50.5405681, 22.7179128 50.5410392, 22.7185367 50.5409305)",,,
57843935,living_street,20,False,False,6.114,"LINESTRING (22.7220483 50.5385766, 22.7220202 50.5385246)",3 Maja,,
"[236194898, 872194877]",residential,50,False,True,228.69500000000002,"LINESTRING (22.7220483 50.5385766, 22.7220769 50.5386172, 22.7220928 50.5386417, 22.7221065 50.5386647, 22.722557 50.539896, 22.7225908 50.5399894, 22.7227549 50.5404568, 22.7227982 50.5405759)",3 Maja,2,
33026037,residential,50,False,True,41.012,"LINESTRING (22.7234195 50.5432846, 22.7233654 50.5433364, 22.7233363 50.5433602, 22.7232221 50.5434326, 22.72302 50.54355)",Szewska,,
33033344,tertiary,50,False,True,75.62899999999999,"LINESTRING (22.7234195 50.5432846, 22.7233759 50.5432718, 22.7233496 50.5432624, 22.7233173 50.5432512, 22.7232597 50.5432307, 22.7231994 50.5432069, 22.7231136 50.5431683, 22.7230401 50.5431316, 22.7229369 50.5430733, 22.722848 50.5430159, 22.7227737 50.5429579, 22.7227586 50.5429446, 22.7227315 50.5429195, 22.7227092 50.5428975, 22.7226869 50.5428704, 22.7226552 50.5428278)",Zamojska,2,
"[236193529, 1236089265]",tertiary,40,False,False,185.04000000000002,"LINESTRING (22.7234195 50.5432846, 22.7235586 50.5433121, 22.7237144 50.5433412, 22.7240532 50.543402, 22.7243842 50.5434611, 22.7245486 50.5434894, 22.7256725 50.5436853, 22.7259418 50.5437315)",Zamojska,2,
236194897,residential,50,False,False,280.22200000000004,"LINESTRING (22.7234195 50.5432846, 22.7234491 50.5432478, 22.7234566 50.5432329, 22.723466 50.5432082, 22.7234795 50.5431663, 22.7234881 50.5431302, 22.7235057 50.5430672, 22.7235158 50.5430211, 22.7235237 50.5429668, 22.7235455 50.5428269, 22.7235503 50.5427915, 22.7235558 50.5427527, 22.7235584 50.5427284, 22.7235607 50.5426999, 22.7235605 50.5426731, 22.723557 50.5426394, 22.7235536 50.5426137, 22.7235467 50.5425856, 22.7235327 50.5425417, 22.7234666 50.5423569, 22.7231846 50.5415834, 22.722989 50.5410565, 22.7229749 50.541032, 22.7229586 50.5410036, 22.7229433 50.5409757, 22.7228885 50.5408246)",3 Maja,2,
"[189138501, 189138502]",tertiary,50,False,"[False, True]",137.26399999999998,"LINESTRING (22.7222077 50.5416272, 22.7222982 50.5418811, 22.7223607 50.5420439, 22.7225466 50.5425652, 22.722606 50.5427325, 22.7226171 50.5427624, 22.7226296 50.5427866, 22.7226408 50.542806, 22.7226552 50.5428278)",Tadeusza Kościuszki,2,
863621200,residential,30,True,False,160.76299999999998,"LINESTRING (22.7222077 50.5416272, 22.7220046 50.5416681, 22.7213381 50.5418024, 22.7202156 50.5420286, 22.7200391 50.5420641)",Plac Wolności,1,
"[189138504, 909413477]",tertiary,50,False,False,73.99300000000001,"LINESTRING (22.7222077 50.5416272, 22.7221404 50.541473, 22.722025 50.5411328, 22.7219762 50.5409785)",Tadeusza Kościuszki,"['4', '5']",
