osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,access,bridge
540238501,True,1,392,Adama Mickiewicza,secondary,50,False,29.941,"LINESTRING (16.8669692 50.3442335, 16.8671605 50.3441347, 16.8672951 50.3440625)",,,
892946386,True,1,,Rondo Mariana Bublewicza,secondary,50,False,14.393999999999998,"LINESTRING (16.8669692 50.3442335, 16.8670346 50.3442444, 16.8670896 50.3442695, 16.8671269 50.3443055)",roundabout,,
28878324,True,1,,Rondo Mariana Bublewicza,secondary,50,False,10.873999999999999,"LINESTRING (16.8671269 50.3443055, 16.8671416 50.3443535, 16.8671248 50.3444012)",roundabout,,
183561244,True,1,,Rondo Mariana Bublewicza,secondary,50,False,15.43,"LINESTRING (16.8671248 50.3444012, 16.8670793 50.3444405, 16.8670188 50.3444635, 16.8669492 50.3444705)",roundabout,,
846878118,True,1,,Kłodzka,residential,,False,30.164,"LINESTRING (16.8671248 50.3444012, 16.8671772 50.3444631, 16.8672734 50.3445443, 16.8673843 50.3446137)",,,
540238504,True,1,392,Kłodzka,secondary,50,False,41.368,"LINESTRING (16.8668227 50.3444348, 16.8666852 50.3443956, 16.8664725 50.3443524, 16.8662731 50.3443121)",,,
892946384,True,1,,Rondo Mariana Bublewicza,secondary,50,False,18.301000000000002,"LINESTRING (16.8668227 50.3444348, 16.8667839 50.3443974, 16.8667697 50.3443534, 16.8667782 50.3443164, 16.8668043 50.3442829)",roundabout,,
540238499,False,2,392,Adama Mickiewicza,secondary,50,True,68.649,"LINESTRING (16.8678298 50.343548, 16.8672951 50.3440625)",,,
48102495,True,,,Fabryczna,residential,,False,199.8,"LINESTRING (16.8678298 50.343548, 16.8678798 50.3435927, 16.8679224 50.3436308, 16.867945 50.3436435, 16.8684296 50.3439166, 16.868727 50.3440931, 16.8689151 50.3442255, 16.8689989 50.3443084, 16.8691151 50.3444181, 16.8692221 50.3445428, 16.8693566 50.3447756, 16.8694061 50.344924, 16.8694155 50.344976)",,,
172577160,False,,,Powstańców Wielkopolskich,residential,,True,139.492,"LINESTRING (16.8735971 50.3445145, 16.8730361 50.3444729, 16.8727941 50.3444534, 16.8727442 50.3444494, 16.8724501 50.3443936, 16.8719022 50.3441893, 16.8717594 50.3441361)",,,
232480588,False,,,Macieja Rataja,residential,,False,186.355,"LINESTRING (16.8735971 50.3445145, 16.8736068 50.344436, 16.8736096 50.3444128, 16.8736406 50.3441614, 16.873625 50.3440972, 16.8735411 50.3438763, 16.8734909 50.3437441, 16.8735852 50.3433226, 16.8738471 50.3428858)",,,
232480592,True,1,,Powstańców Wielkopolskich,residential,,False,185.62599999999998,"LINESTRING (16.8735971 50.3445145, 16.8740503 50.344489, 16.8742575 50.3444774, 16.874822 50.3444457, 16.8750864 50.3444213, 16.8757198 50.3443629, 16.8760505 50.3443432, 16.8761826 50.3443843)",,,
172577142,False,2,,Kłodzka,residential,,False,33.992000000000004,"LINESTRING (16.8694155 50.344976, 16.8695131 50.3449831, 16.8698873 50.3450281)",,,
172577142,False,2,,Kłodzka,residential,,True,72.971,"LINESTRING (16.8694155 50.344976, 16.8693097 50.3449775, 16.8689069 50.3450045, 16.8686192 50.3450254, 16.8685023 50.3450275, 16.868393 50.3450152)",,,
172577142,False,2,,Kłodzka,residential,,False,72.971,"LINESTRING (16.868393 50.3450152, 16.8685023 50.3450275, 16.8686192 50.3450254, 16.8689069 50.3450045, 16.8693097 50.3449775, 16.8694155 50.344976)",,,
172577142,False,2,,Kłodzka,residential,,True,84.549,"LINESTRING (16.868393 50.3450152, 16.8682385 50.3449733, 16.8679765 50.3448581, 16.8677281 50.3447489, 16.8673843 50.3446137)",,,
172577162,False,,,Wiejska,residential,30,False,47.468,"LINESTRING (16.868393 50.3450152, 16.8683561 50.3450447, 16.8683345 50.345062, 16.8681926 50.3451753, 16.8680821 50.3453036, 16.8680282 50.3453709)",,,
172577162,False,,,Wiejska,residential,30,False,125.22699999999999,"LINESTRING (16.8680282 50.3453709, 16.8678674 50.3456276, 16.8678001 50.3457531, 16.8677623 50.3458706, 16.8676437 50.3462384, 16.8675658 50.3464544)",,,
172577162,False,,,Wiejska,residential,30,True,47.468,"LINESTRING (16.8680282 50.3453709, 16.8680821 50.3453036, 16.8681926 50.3451753, 16.8683345 50.345062, 16.8683561 50.3450447, 16.868393 50.3450152)",,,
