osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,ref,junction
106134881,Plac Kosynierów,residential,False,True,22.803,"LINESTRING (16.324001 51.80768, 16.3239402 51.8074784)",,,,
106134575,,residential,False,False,40.953,"LINESTRING (16.324001 51.80768, 16.3240847 51.8079672, 16.3241043 51.8080427)",,,,
106134881,Plac Kosynierów,residential,False,False,94.274,"LINESTRING (16.324001 51.80768, 16.3238427 51.807702, 16.3226659 51.8078733)",,,,
"[106134562, 734589170]",Plac Farny,living_street,True,False,50.73500000000001,"LINESTRING (16.315571 51.8048683, 16.3155168 51.8048482, 16.315464 51.804828, 16.3153717 51.8047868, 16.315319 51.8047595, 16.3152946 51.8047426, 16.3152757 51.8047258, 16.31526 51.804705, 16.3152444 51.8046793, 16.3152292 51.8046428, 16.3152156 51.80459, 16.3152104 51.8045503, 16.3152105 51.8045089)",,,,
"[106134835, 735344309, 735344331]",Generała Józefa Bema,residential,False,False,73.40700000000001,"LINESTRING (16.315571 51.8048683, 16.3155376 51.8048911, 16.3155108 51.804915, 16.3154881 51.8049397, 16.3154226 51.8050193, 16.3153638 51.8050847, 16.3153051 51.80515, 16.3151601 51.8053059, 16.3150365 51.8054387)",,,,
"[183993034, 734589173, 734589175]",Plac Farny,living_street,False,True,60.59199999999999,"LINESTRING (16.315571 51.8048683, 16.3156169 51.8048476, 16.3156946 51.8048198, 16.3160133 51.8047049, 16.3160412 51.8046906, 16.3160571 51.804673, 16.3160571 51.8046531, 16.3160472 51.8046341, 16.3159541 51.8045024)",,,,
106134738,Nowa,residential,True,False,129.91,"LINESTRING (16.3189682 51.8051719, 16.3199336 51.8061762)",,,,
106134523,Garbarska,residential,True,False,235.66500000000002,"LINESTRING (16.3189682 51.8051719, 16.3197085 51.8048996, 16.3201602 51.8046284, 16.3212677 51.8036461)",,,,
106134822,Księdza Andrzeja Kostki,tertiary,False,True,106.689,"LINESTRING (16.3199336 51.8061762, 16.3213574 51.8057947)",,,,
106134822,Księdza Andrzeja Kostki,tertiary,False,False,64.43599999999999,"LINESTRING (16.3199336 51.8061762, 16.3192486 51.8063749, 16.3190862 51.8064237)",,,,
