osmid,oneway,highway,maxspeed,reversed,length,name,geometry,lanes,ref,access,width,bridge
899125332,True,primary,50,False,9.29,,"LINESTRING (21.7545213 50.6758371, 21.7545421 50.6759196)",,,,,
173213911,True,primary_link,50,False,122.59400000000001,Aleja Jana Pawła II,"LINESTRING (21.7545213 50.6758371, 21.7547668 50.6758828, 21.7549354 50.6759144, 21.7553727 50.6760032, 21.7554256 50.6760121, 21.7554824 50.6760179, 21.7555284 50.6760197, 21.7555844 50.6760202, 21.7556324 50.6760178, 21.7556741 50.676013, 21.7557376 50.6760031, 21.7558109 50.6759862, 21.7558606 50.6759726, 21.7559176 50.6759516, 21.7560715 50.675889, 21.7561607 50.6758638)",,,,,
512787793,False,primary,50,False,24.732999999999997,Krakowska,"LINESTRING (21.7457082 50.6751185, 21.7458667 50.6751355, 21.7460549 50.6751531)",3,79,,,
781272349,False,primary,50,True,132.327,Krakowska,"LINESTRING (21.7457082 50.6751185, 21.7455635 50.6751015, 21.7454943 50.6750912, 21.7446417 50.6749928, 21.7438612 50.6749039)",2,79,,,
356783304,False,primary,50,True,186.924,Aleja Jana Pawła II,"LINESTRING (21.7488976 50.6753688, 21.7462638 50.6751686)",2,79,,,
180632444,False,residential,,False,30.088,Rybitwy,"LINESTRING (21.7488976 50.6753688, 21.7488915 50.6754231, 21.7488537 50.6755058, 21.7487366 50.6756126)",,,,,
356783304,False,primary,50,False,221.06899999999996,Aleja Jana Pawła II,"LINESTRING (21.7488976 50.6753688, 21.7490604 50.675372, 21.7492444 50.6753546, 21.7494572 50.6753216, 21.75012 50.6751891, 21.7503508 50.6751472, 21.7505594 50.6751199, 21.7507182 50.6751151, 21.7508697 50.6751147, 21.7510764 50.6751387, 21.751324 50.6751765, 21.7517444 50.6752557, 21.7519403 50.6752986)",2,79,,,
781272349,False,primary,50,False,132.327,Krakowska,"LINESTRING (21.7438612 50.6749039, 21.7446417 50.6749928, 21.7454943 50.6750912, 21.7455635 50.6751015, 21.7457082 50.6751185)",2,79,,,
890797272,False,primary,50,False,14.821,Aleja Jana Pawła II,"LINESTRING (21.7460549 50.6751531, 21.7462638 50.6751686)",3,79,,,
512787793,False,primary,50,True,24.732999999999997,Krakowska,"LINESTRING (21.7460549 50.6751531, 21.7458667 50.6751355, 21.7457082 50.6751185)",3,79,,,
762553765,False,residential,,True,63.34,Tatarska,"LINESTRING (21.7451274 50.6798582, 21.7451897 50.6799177, 21.7455536 50.6802715, 21.745619 50.6803351)",,,,,
"[762553761, 33035570]",False,residential,50,False,205.478,"['Ogrodowa', 'Haliny Krępianki']","LINESTRING (21.7433873 50.6798627, 21.7433119 50.6799484, 21.7425953 50.6812793, 21.7425853 50.6813093, 21.7425861 50.6813318, 21.7426038 50.6813535, 21.7426337 50.6813688, 21.7429312 50.6814503, 21.7429837 50.6814647)",2,,,,
33025458,False,residential,,False,176.03400000000002,Piszczele,"LINESTRING (21.7429418 50.6775595, 21.7431715 50.6778944, 21.7433251 50.6781141, 21.7433625 50.6781675, 21.7434058 50.6782293, 21.7436987 50.6786287, 21.7438291 50.678825, 21.7438515 50.678872, 21.7438594 50.6789373, 21.743863 50.6790209)",,,,,
33029149,False,residential,50,False,66.712,Reformacka,"LINESTRING (21.745619 50.6803351, 21.7455825 50.6803587, 21.7455458 50.6803961, 21.7452267 50.6808783)",1,,,,
762553765,False,residential,,False,63.34,Tatarska,"LINESTRING (21.745619 50.6803351, 21.7455536 50.6802715, 21.7451897 50.6799177, 21.7451274 50.6798582)",,,,,
119106307,False,residential,,False,9.588,Browarna,"LINESTRING (21.7546591 50.6769312, 21.7545652 50.6769936)",,,,,
33018854,False,residential,50,True,53.61,Juliusza Słowackiego,"LINESTRING (21.7425677 50.683362, 21.7429458 50.6830789, 21.7430593 50.682994)",2,,,,
