osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,junction,bridge,access
238928309,Sądowa,residential,False,False,178.15599999999998,"LINESTRING (17.9644834 50.4708164, 17.9646304 50.4708302, 17.964726 50.4708543, 17.9654837 50.4711505, 17.9664281 50.471553, 17.9666202 50.4716447)",,,,,,
1083998546,Kozielska,tertiary,False,False,240.36000000000004,"LINESTRING (17.9644834 50.4708164, 17.9645314 50.4712251, 17.9645359 50.4714025, 17.9645215 50.4716115, 17.9644837 50.471787, 17.9644347 50.4719395, 17.9643523 50.4722113, 17.9642852 50.4724231, 17.9641262 50.4727413, 17.9640116 50.4729335)",,,,,,
238928313,Wolności,residential,False,False,8.029,"LINESTRING (17.9649643 50.4740892, 17.9650749 50.4740731)",,,,,,
975947398,1 Maja,secondary,False,False,22.7,"LINESTRING (17.9649643 50.4740892, 17.965029 50.4741858, 17.965064 50.4742824)",3,409,,,,
"[1155284546, 1155284539]",Prudnicka,secondary,False,True,112.619,"LINESTRING (17.9649643 50.4740892, 17.964729 50.4739652, 17.9643868 50.4737583, 17.9642886 50.4737002, 17.9640621 50.473566, 17.9637909 50.4734055)",2,409,,,,
"[975947398, 238926605, 1157770814]",1 Maja,secondary,False,True,101.449,"LINESTRING (17.9653486 50.4751569, 17.9653002 50.475075, 17.9651815 50.4748977, 17.9650727 50.4747352, 17.9650389 50.4746308, 17.965041 50.4745635, 17.9650424 50.4745172, 17.9650431 50.4744777, 17.9650528 50.474366, 17.965064 50.4742824)","['2', '3']",409,,,,
1155284576,1 Maja,secondary,False,False,37.245,"LINESTRING (17.9653486 50.4751569, 17.9656666 50.47541, 17.9656773 50.4754185)",2,409,,,,
1205974448,Szkolna,residential,False,True,34.826,"LINESTRING (17.9653486 50.4751569, 17.9652543 50.4752432, 17.9650908 50.4754234)",,,,,,
"[1084201441, 1194846769]",1 Maja,secondary,True,False,41.459999999999994,"LINESTRING (17.9656773 50.4754185, 17.9659079 50.4755606, 17.9659396 50.4755802, 17.9660558 50.4756591, 17.9660953 50.4756794)",1,409,50,,,
1155284576,1 Maja,secondary,False,True,37.245,"LINESTRING (17.9656773 50.4754185, 17.9656666 50.47541, 17.9653486 50.4751569)",2,409,,,,
