osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,access,bridge
44095967,Stanisława Moniuszki,residential,False,False,55.989,"LINESTRING (22.7824508 49.7799441, 22.7817375 49.7799768, 22.7816731 49.7799729)",,,,,
44095967,Stanisława Moniuszki,residential,False,True,81.24300000000001,"LINESTRING (22.7824508 49.7799441, 22.7827573 49.7799268, 22.7831977 49.7799078, 22.7835043 49.7798897, 22.7835787 49.7798865)",,,,,
44095970,Stanisława Niewiadomskiego,residential,False,False,57.66,"LINESTRING (22.7824508 49.7799441, 22.7824532 49.7799776, 22.7824876 49.7804621)",,,,,
237024521,Jana Kilińskiego,unclassified,True,False,108.887,"LINESTRING (22.7843618 49.7806872, 22.7843758 49.780598, 22.7844191 49.7803229, 22.7844751 49.7799482, 22.7845033 49.779759, 22.7845278 49.7797152)",,,,,
1005632031,Aleksandra Dworskiego,primary,True,False,195.51599999999996,"LINESTRING (22.7843618 49.7806872, 22.7847348 49.7806211, 22.7850157 49.7805711, 22.7854131 49.7805004, 22.7854244 49.7804983, 22.7855433 49.7804769, 22.7856487 49.7804579, 22.7864489 49.7803136, 22.7864648 49.7803106, 22.786984 49.7802132)",2,28,50,,
44095967,Stanisława Moniuszki,residential,False,True,55.989,"LINESTRING (22.7816731 49.7799729, 22.7817375 49.7799768, 22.7824508 49.7799441)",,,,,
1005632031,Aleksandra Dworskiego,primary,True,False,52.153999999999996,"LINESTRING (22.7836599 49.7808079, 22.7842099 49.7807145, 22.7843618 49.7806872)",2,28,50,,
237003802,Aleksandra Puszkina,residential,True,False,88.795,"LINESTRING (22.7837991 49.7791132, 22.783667 49.7793823, 22.7835763 49.7795762, 22.7835645 49.7796013, 22.7835486 49.7796354, 22.7835787 49.7798865)",,,,,
44095970,Stanisława Niewiadomskiego,residential,False,True,57.66,"LINESTRING (22.7824876 49.7804621, 22.7824532 49.7799776, 22.7824508 49.7799441)",,,,,
44095967,Stanisława Moniuszki,residential,False,False,81.243,"LINESTRING (22.7835787 49.7798865, 22.7835043 49.7798897, 22.7831977 49.7799078, 22.7827573 49.7799268, 22.7824508 49.7799441)",,,,,
237003785,Aleksandra Puszkina,residential,True,False,102.634,"LINESTRING (22.7835787 49.7798865, 22.7836096 49.7802003, 22.7836182 49.7802856, 22.7836186 49.7802899, 22.7836233 49.7803611, 22.7836485 49.7807366, 22.7836599 49.7808079)",,,,,
441812026,Wojciecha Bogusławskiego,residential,True,False,95.634,"LINESTRING (22.7824023 49.7867801, 22.7826633 49.7869804, 22.7828881 49.7871522, 22.7831994 49.7873786, 22.7832193 49.7874112, 22.7832173 49.7874468)",,,,,
44095987,Zaciszna,residential,True,False,172.986,"LINESTRING (22.7818017 49.7863261, 22.7817615 49.7863544, 22.7812627 49.7866336, 22.7812369 49.7866512, 22.7812249 49.7866744, 22.7812287 49.7866959, 22.7812451 49.7867127, 22.7813617 49.7867964, 22.7814593 49.7868673, 22.7817057 49.7870464, 22.7817374 49.7870628, 22.7817692 49.7870687, 22.7818055 49.7870656, 22.7818418 49.7870552, 22.7823521 49.7867894, 22.7824023 49.7867801)",,,,,
441812026,Wojciecha Bogusławskiego,residential,True,False,66.391,"LINESTRING (22.7818017 49.7863261, 22.7819649 49.7864497, 22.782115 49.7865633, 22.782194 49.7866229, 22.7824023 49.7867801)",,,,,
44095812,Bohaterów Getta,secondary,False,True,60.673,"LINESTRING (22.7837741 49.7860684, 22.7839728 49.7860978, 22.7843277 49.7861557, 22.7844036 49.7861681, 22.7845967 49.786193)",,,50,,
44095983,Jana Dekerta,residential,False,False,91.87,"LINESTRING (22.7837741 49.7860684, 22.7837866 49.7861363, 22.7838104 49.7861817, 22.783834 49.7862347, 22.7839106 49.7863746, 22.7839384 49.7864255, 22.7839654 49.7864763, 22.7839865 49.7865159, 22.7840019 49.7865439, 22.7841716 49.7868521)",,,,,
237111289,Leopolda Hausera,residential,False,False,75.663,"LINESTRING (22.786984 49.7802132, 22.7869961 49.7802782, 22.7870896 49.7807814, 22.7871095 49.7808888)",,,,,
"[399699765, 1005632031]",Aleksandra Dworskiego,primary,True,False,52.208,"LINESTRING (22.786984 49.7802132, 22.7872324 49.7801689, 22.7872363 49.7801682, 22.7873903 49.7801402, 22.7876847 49.7800878)",2,28,50,,
1005632028,Stanisława Leszczyńskiego,tertiary,False,False,64.17500000000001,"LINESTRING (22.788414 49.7792204, 22.7885319 49.7793211, 22.7885915 49.779372, 22.7888438 49.779586, 22.7889506 49.7796819)",,,,,
44096053,Aleksandra Dworskiego,tertiary,False,True,15.038,"LINESTRING (22.7889506 49.7796819, 22.7887666 49.7797465)",,,,,
1005632028,Stanisława Leszczyńskiego,tertiary,False,True,64.17500000000001,"LINESTRING (22.7889506 49.7796819, 22.7888438 49.779586, 22.7885915 49.779372, 22.7885319 49.7793211, 22.788414 49.7792204)",,,,,
44096053,Aleksandra Dworskiego,tertiary,False,False,15.038,"LINESTRING (22.7887666 49.7797465, 22.7889506 49.7796819)",,,,,
44096052,,tertiary,True,False,20.083,"LINESTRING (22.7887666 49.7797465, 22.7887356 49.7798246, 22.7887321 49.779853, 22.7887475 49.7799238)",,,,,
44096052,,tertiary,True,False,10.535,"LINESTRING (22.7887475 49.7799238, 22.7888007 49.7800121)",,,,,
44096042,Henryka Siemiradzkiego,primary,True,False,148.489,"LINESTRING (22.7888942 49.7801821, 22.7889522 49.7802292, 22.7889825 49.7802538, 22.7890585 49.7802955, 22.7891245 49.7803144, 22.7891552 49.7803232, 22.7891686 49.780327, 22.7893313 49.7803736, 22.7893428 49.7803769, 22.7893791 49.7803843, 22.789479 49.7804048, 22.7895212 49.7804134, 22.7897371 49.7804576, 22.7898676 49.7804925, 22.7898835 49.7804968, 22.7899672 49.7805193, 22.7900966 49.7805594, 22.790194 49.7805978, 22.7902566 49.7806498, 22.790296 49.780684, 22.7903596 49.7807489, 22.7904778 49.7809326)",,28,50,,
