osmid,highway,junction,oneway,reversed,length,geometry,lanes,ref,name,bridge,maxspeed,access
390449261,trunk,roundabout,True,False,35.92,"LINESTRING (32.8983686 -2.5174577, 32.8984293 -2.5174222, 32.8985076 -2.5174099, 32.8985845 -2.5174288, 32.8986582 -2.517488)",,,,,,
390449261,trunk,roundabout,True,False,6.576,"LINESTRING (32.8986069 -2.5177799, 32.8985528 -2.5178039)",,,,,,
173276388,trunk,,False,True,93.213,"LINESTRING (32.902019 -2.5192152, 32.9027704 -2.5195883)",2,T4,Nyerere Road,,,
145518046,residential,,False,False,74.895,"LINESTRING (32.902019 -2.5192152, 32.9017426 -2.5197215, 32.901719 -2.5197711, 32.9017098 -2.519812)",,,Makoroboi,,,
173276388,trunk,,False,False,46.900999999999996,"LINESTRING (32.902019 -2.5192152, 32.9018034 -2.51911, 32.9016376 -2.5190344)",2,T4,Nyerere Road,,,
173276388,trunk,,False,False,27.571,"LINESTRING (32.9005794 -2.5184977, 32.9003547 -2.5183924)",2,T4,Nyerere Road,,,
145521881,secondary,,False,True,49.33,"LINESTRING (32.9005794 -2.5184977, 32.9006871 -2.5182666, 32.9007484 -2.5180881)",2,,Nkurumah Road,,,
145526287,secondary,,True,False,27.737000000000002,"LINESTRING (32.9005794 -2.5184977, 32.9004859 -2.518569, 32.9004136 -2.5186794)",2,,Station Road,,,
173276388,trunk,,False,True,131.85899999999998,"LINESTRING (32.9005794 -2.5184977, 32.9008946 -2.5186675, 32.9012041 -2.5188156, 32.9012643 -2.5188444, 32.9016376 -2.5190344)",2,T4,Nyerere Road,,,
390449261,trunk,roundabout,True,False,7.579,"LINESTRING (32.8986582 -2.517488, 32.89869 -2.5175483)",,,,,,
390449261,trunk,roundabout,True,False,22.124,"LINESTRING (32.8985528 -2.5178039, 32.8984823 -2.5178106, 32.898414 -2.5177924, 32.8983658 -2.5177608)",,,,,,
996202272,trunk,,True,False,29.285,"LINESTRING (32.8985528 -2.5178039, 32.8985039 -2.517878, 32.8984629 -2.5179399, 32.8984119 -2.5180264)",,T4,Kenyatta Road,,,
114198360,trunk,roundabout,True,False,0.8,"LINESTRING (32.8992276 -2.5206326, 32.8992219 -2.5206282)",1,T4,,,,
996206769,trunk,,True,False,48.763,"LINESTRING (32.8991613 -2.5204043, 32.8990137 -2.5199913)",1,T4,Kenyatta Road,,,
114198360,trunk,roundabout,True,False,30.195999999999998,"LINESTRING (32.8991613 -2.5204043, 32.8991916 -2.520354, 32.8992358 -2.5203155, 32.8992897 -2.5202924, 32.8993072 -2.5202888, 32.899385 -2.5202928)",1,T4,,,,
145537395,secondary,,False,False,26.277,"LINESTRING (32.9028122 -2.5232957, 32.9026901 -2.5234981)",2,,Pamba Road,,,
145537395,secondary,,False,True,98.172,"LINESTRING (32.9028122 -2.5232957, 32.9030712 -2.5231006, 32.9035207 -2.522768)",2,,Pamba Road,,,
184205083,residential,,False,False,83.01700000000001,"LINESTRING (32.9028122 -2.5232957, 32.9026146 -2.5230821, 32.9024094 -2.5229091, 32.9022531 -2.5228053)",,,,,,
114198368,secondary,,False,False,51.053,"LINESTRING (32.9016952 -2.5154144, 32.9015473 -2.5158491)",2,,Nkurumah Road,,,
169445018,residential,,False,True,258.279,"LINESTRING (32.9016952 -2.5154144, 32.9025936 -2.5158394, 32.9027015 -2.5158905, 32.9037964 -2.5164087)",,,Sukuma Road,,,
430446810,trunk,,False,False,61.267,"LINESTRING (32.9035704 -2.5199826, 32.9030767 -2.519737)",,T4,Nyerere Road,,,
430446820,residential,,True,False,74.141,"LINESTRING (32.9035704 -2.5199826, 32.9032748 -2.5205804)",,,Rwagasore Street,,,
430446811,trunk,,False,True,148.743,"LINESTRING (32.9035704 -2.5199826, 32.9042445 -2.5203018, 32.9045836 -2.5204676, 32.9046467 -2.520497, 32.9047789 -2.5205585)",,T4,Nyerere Road,,,
145521881,secondary,,False,False,58.352,"LINESTRING (32.9009817 -2.5174037, 32.9008128 -2.5179006)",2,,Nkurumah Road,,,
390449263,tertiary,,False,False,43.354,"LINESTRING (32.9009817 -2.5174037, 32.9013454 -2.5175451)",2,,Uhuru Street,,,
390449263,tertiary,,False,True,61.443,"LINESTRING (32.9009817 -2.5174037, 32.9004431 -2.517278)",2,,Uhuru Street,,,
"[114198368, 145521881, 145521879]",secondary,,False,True,183.987,"LINESTRING (32.9009817 -2.5174037, 32.9012382 -2.5167125, 32.9012995 -2.516514, 32.9013441 -2.516374, 32.9014196 -2.5161722, 32.9015473 -2.5158491)",2,,Nkurumah Road,yes,,
145518052,residential,,False,False,228.735,"LINESTRING (32.8984341 -2.5215901, 32.8985387 -2.5217656, 32.8986333 -2.5219343, 32.8987443 -2.5221316, 32.8989384 -2.5224811, 32.8989974 -2.5225588, 32.8990564 -2.5225856, 32.8991261 -2.5225869, 32.8994359 -2.5225173, 32.8995901 -2.5224663, 32.8999028 -2.5223883)",,,Karuta Street,,,
1206536716,secondary,,False,False,194.79,"LINESTRING (32.8984341 -2.5215901, 32.8982445 -2.5218615, 32.8982042 -2.5219192, 32.8979494 -2.5222625, 32.8976964 -2.5226179, 32.8974292 -2.5230252)",2,,Station Road,,,
1206536716,secondary,,False,True,108.83,"LINESTRING (32.8984341 -2.5215901, 32.8986312 -2.5212918, 32.8987223 -2.5211465, 32.8989686 -2.5207699)",2,,Station Road,,,
430446817,residential,,False,False,17.327,"LINESTRING (32.902597 -2.5207951, 32.9027371 -2.5208636)",,,Rwagasole,,,
430446819,residential,,False,True,35.131,"LINESTRING (32.902597 -2.5207951, 32.9023107 -2.5206609)",,,Lumumba,,,
145518051,residential,,True,False,129.161,"LINESTRING (32.9030767 -2.519737, 32.902597 -2.5207951)",,,Lumumba,,,
430446810,trunk,,False,False,21.312,"LINESTRING (32.9030767 -2.519737, 32.9029056 -2.5196503)",,T4,Nyerere Road,,,
430446810,trunk,,False,True,61.267,"LINESTRING (32.9030767 -2.519737, 32.9035704 -2.5199826)",,T4,Nyerere Road,,,
145518052,residential,,False,True,228.73499999999999,"LINESTRING (32.8999028 -2.5223883, 32.8995901 -2.5224663, 32.8994359 -2.5225173, 32.8991261 -2.5225869, 32.8990564 -2.5225856, 32.8989974 -2.5225588, 32.8989384 -2.5224811, 32.8987443 -2.5221316, 32.8986333 -2.5219343, 32.8985387 -2.5217656, 32.8984341 -2.5215901)",,,Karuta Street,,,
145526288,residential,,False,False,117.301,"LINESTRING (32.8999028 -2.5223883, 32.9002011 -2.5223322, 32.900594 -2.5222585, 32.9009387 -2.5221842)",,,Karuta Street,,,
145526954,trunk,,False,False,171.892,"LINESTRING (32.8999028 -2.5223883, 32.8996974 -2.5218246, 32.8996485 -2.5216904, 32.8996262 -2.521631, 32.899572 -2.5215013, 32.8994957 -2.5212831, 32.8993601 -2.5209409)",2,T4,Kenyatta Road,,,
145518042,tertiary,,False,False,71.215,"LINESTRING (32.898589 -2.5167882, 32.8986326 -2.5167991, 32.8986828 -2.5168122, 32.8990864 -2.5169114, 32.899211 -2.5169432)",2,,Uhuru Street,,,
