osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,access,ref,width
181345107,Gemeenteplein,tertiary,30,False,True,14.418,"LINESTRING (4.4447163 51.1352131, 4.4448788 51.135133)",,,,
"[4907297, 584217185, 936391886]",Gemeenteplein,tertiary,30,False,False,72.13900000000001,"LINESTRING (4.4447163 51.1352131, 4.4449413 51.1353672, 4.4452891 51.1354957, 4.4453596 51.1355182, 4.445554 51.1355803)",,,,
788301586,Molenstraat,tertiary,30,True,False,141.531,"LINESTRING (4.4447163 51.1352131, 4.4445994 51.1352588, 4.4442537 51.1354039, 4.4442201 51.1354148, 4.4441063 51.1354474, 4.444075 51.1354585, 4.4437225 51.1356109, 4.4436849 51.1356301, 4.4436325 51.1356644, 4.4436012 51.1356803, 4.443038 51.1359232)",1,yes,,
260042751,Antwerpsesteenweg,tertiary,30,False,False,34.866,"LINESTRING (4.4475071 51.1362721, 4.4478163 51.1363981, 4.4479214 51.1364472)",,,,
584217186,Antwerpsesteenweg,tertiary,30,False,True,121.159,"LINESTRING (4.4475071 51.1362721, 4.4460974 51.1357624, 4.4460025 51.1357281)",,,,
360760146,Hofstraat,residential,30,False,True,5.214,"LINESTRING (4.449907 51.1355642, 4.4498445 51.1355899)",,,,
"[1086881259, 36735583]",Hofstraat,residential,30,False,False,174.467,"LINESTRING (4.449907 51.1355642, 4.4500245 51.135517, 4.4500722 51.1354979, 4.4501446 51.1354563, 4.4504138 51.1353128, 4.4505824 51.135187, 4.4508447 51.1349533, 4.4511208 51.1346132, 4.4512735 51.1343964, 4.4512956 51.1343681, 4.4513256 51.1343446, 4.4513639 51.1343232)",,,,
"[985584707, 936359964]",Ooststatiestraat,residential,30,False,False,24.044000000000004,"LINESTRING (4.4513639 51.1343232, 4.4513973 51.1343108, 4.451443 51.134307, 4.4515002 51.1343069, 4.45162 51.1343187, 4.4516998 51.1343282)",,,,
"[1086881259, 36735583]",Hofstraat,residential,30,False,True,174.46700000000004,"LINESTRING (4.4513639 51.1343232, 4.4513256 51.1343446, 4.4512956 51.1343681, 4.4512735 51.1343964, 4.4511208 51.1346132, 4.4508447 51.1349533, 4.4505824 51.135187, 4.4504138 51.1353128, 4.4501446 51.1354563, 4.4500722 51.1354979, 4.4500245 51.135517, 4.449907 51.1355642)",,,,
4907296,Edegemsesteenweg,residential,30,True,False,62.961999999999996,"LINESTRING (4.4462462 51.1375275, 4.4462795 51.1374919, 4.4463034 51.1374523, 4.4463344 51.1374119, 4.446722 51.1370479)",,,,
22997908,Nieuwstraat,living_street,20,True,False,103.916,"LINESTRING (4.4462462 51.1375275, 4.4449953 51.1371698, 4.4448905 51.1371405)",,,,
"[36571026, 325297173, 325297174]",,tertiary,,True,False,41.462,"LINESTRING (4.4387594 51.1379507, 4.438681 51.1378448, 4.4386377 51.1377863, 4.4386061 51.1377668, 4.4385616 51.1377482, 4.4385254 51.137733, 4.4383653 51.1377106)",1,,,
325297171,Prins Boudewijnlaan,secondary,70,True,False,43.006,"LINESTRING (4.4387594 51.1379507, 4.4388343 51.1377517, 4.438851 51.1377072, 4.4388665 51.1376661, 4.4389011 51.1375743)",3,,N173,
"[4890498, 1086881262, 1086881663]",Hofstraat,residential,30,False,False,164.74599999999998,"LINESTRING (4.4479214 51.1364472, 4.4479488 51.1364254, 4.4479783 51.1364088, 4.4480165 51.1363925, 4.4480738 51.1363666, 4.4486247 51.1361201, 4.4489752 51.1359695, 4.4493388 51.1358081, 4.4496466 51.1356753, 4.4497063 51.1356495, 4.4498445 51.1355899)",,,,
260042750,Antwerpsesteenweg,tertiary,30,False,False,46.526,"LINESTRING (4.4479214 51.1364472, 4.448364 51.1366701, 4.4484412 51.1367093)",,,,
260042751,Antwerpsesteenweg,tertiary,30,False,True,34.866,"LINESTRING (4.4479214 51.1364472, 4.4478163 51.1363981, 4.4475071 51.1362721)",,,,
36573790,Pluyseghemstraat,residential,30,True,False,158.864,"LINESTRING (4.4484412 51.1367093, 4.4483847 51.1367608, 4.4479488 51.1371799, 4.4471911 51.1379034)",,,,
260042750,Antwerpsesteenweg,tertiary,30,False,True,46.526,"LINESTRING (4.4484412 51.1367093, 4.448364 51.1366701, 4.4479214 51.1364472)",,,,
4907397,Mechelsesteenweg,tertiary,30,False,True,47.658,"LINESTRING (4.4464027 51.1323846, 4.4465301 51.1321202, 4.446541 51.1320799, 4.446547 51.1320419, 4.4465481 51.1320117, 4.44654 51.1319689)",,,,
36735435,Mechelsesteenweg,tertiary,30,False,False,171.538,"LINESTRING (4.4464027 51.1323846, 4.4463677 51.1324497, 4.4460821 51.1329804, 4.4458421 51.1332965, 4.4454578 51.133806)",,,,
"[24934072, 936391887]",Sleutelstraat,living_street,20,False,False,182.34699999999998,"LINESTRING (4.4464027 51.1323846, 4.4464874 51.1324284, 4.4470829 51.1327836, 4.4472 51.1336729, 4.4471776 51.1337546, 4.4470993 51.133818)",,,,
"[36735435, 936391885]",Mechelsesteenweg,tertiary,30,False,False,98.12499999999999,"LINESTRING (4.4454578 51.133806, 4.4454164 51.1338621, 4.4453709 51.1339282, 4.4451995 51.134164, 4.4450744 51.1343738, 4.4450017 51.1345651, 4.4449707 51.1346311)",,,,
36735435,Mechelsesteenweg,tertiary,30,False,True,171.53799999999998,"LINESTRING (4.4454578 51.133806, 4.4458421 51.1332965, 4.4460821 51.1329804, 4.4463677 51.1324497, 4.4464027 51.1323846)",,,,
36735462,Sint-Jansplein,living_street,20,False,True,133.156,"LINESTRING (4.4454578 51.133806, 4.4456074 51.1338312, 4.44577 51.1338549, 4.4459215 51.1338633, 4.4460303 51.1338683, 4.4461186 51.1338656, 4.4461845 51.1338421, 4.4465785 51.1336442, 4.4466283 51.1336299, 4.4466939 51.1336225, 4.4467647 51.1336345, 4.447012 51.1337266, 4.4470598 51.1337544, 4.4470832 51.1337866, 4.4470993 51.133818)",,,,
767534449,Mechelsesteenweg,residential,30,False,True,126.90400000000001,"LINESTRING (4.4463726 51.1308439, 4.446352 51.1309349, 4.4463195 51.131125, 4.4463175 51.1312709, 4.4463613 51.1314631, 4.4464787 51.1317882, 4.4465073 51.1318793, 4.44654 51.1319689)",,,,
36571200,Molenstraat,tertiary,,False,False,15.841,"LINESTRING (4.4406872 51.136917, 4.4408775 51.1368393)",3,,,
23107255,,secondary,50,True,False,125.91400000000002,"LINESTRING (4.4406872 51.136917, 4.4406397 51.1368293, 4.4406225 51.1367975, 4.4405342 51.1366346, 4.4404169 51.1364872, 4.4402283 51.1363303, 4.4399279 51.1361687, 4.4397049 51.1360835, 4.4396223 51.1360519)",2,,N171,
325297163,Groeningenlei,tertiary,50,False,True,28.939999999999998,"LINESTRING (4.4406872 51.136917, 4.4405183 51.136987, 4.4404821 51.137002, 4.4403962 51.1370376, 4.4403416 51.1370609)",3,,,
5022784,,secondary,,False,False,15.731,"LINESTRING (4.4396223 51.1360519, 4.4394271 51.1359811)",2,,,
"[22937770, 273503311]",Prins Boudewijnlaan,trunk,70,True,False,124.31099999999999,"LINESTRING (4.4396223 51.1360519, 4.4393993 51.1367746, 4.4392677 51.1371474)","['2', '4']",,N173,
5022784,,secondary,,False,True,15.731,"LINESTRING (4.4394271 51.1359811, 4.4396223 51.1360519)",2,,,
36571128,,tertiary,50,False,True,19.362,"LINESTRING (4.439146 51.1374924, 4.4389011 51.1375743)",3,,,
5218138,Groeningenlei,tertiary,50,False,False,36.679,"LINESTRING (4.439146 51.1374924, 4.4392864 51.1374441, 4.4393604 51.1374187, 4.4393962 51.1374069, 4.4396092 51.1373364)",3,,,
36571128,,tertiary,50,False,False,19.362,"LINESTRING (4.4389011 51.1375743, 4.439146 51.1374924)",3,,,
24244829,Prins Boudewijnlaan,trunk,70,True,False,180.94299999999998,"LINESTRING (4.4389011 51.1375743, 4.4389407 51.1374477, 4.4389519 51.1374117, 4.4390008 51.1372801, 4.4391309 51.1369154, 4.439258 51.1365483, 4.4394271 51.1359811)",2,,N173,
325297162,Groeningenlei,tertiary,50,False,True,40.338,"LINESTRING (4.4389011 51.1375743, 4.4387424 51.1376147, 4.4386856 51.1376291, 4.4386443 51.1376396, 4.4383653 51.1377106)",3,,,
27741750,Beemdenlaan,residential,30,True,False,47.595,"LINESTRING (4.4523292 51.136095, 4.4522526 51.1360795, 4.4522258 51.1360708, 4.4522034 51.1360568, 4.4521636 51.1360202, 4.4520331 51.1359004, 4.4520184 51.1358807, 4.4520112 51.1358559, 4.4520397 51.1357551)",,,,
"[27741753, 996320553]",Beemdenlaan,residential,30,False,False,150.544,"LINESTRING (4.4520397 51.1357551, 4.4520284 51.1356712, 4.4520717 51.1354791, 4.4520711 51.1354067, 4.4520946 51.1353335, 4.4523713 51.1345034, 4.4523814 51.1344731, 4.4523998 51.1344249)",,,,
27741760,Beemdenlaan,residential,30,True,False,46.995,"LINESTRING (4.4520397 51.1357551, 4.4521505 51.1357999, 4.4521791 51.1358211, 4.4523446 51.1359688, 4.4523611 51.1359913, 4.4523647 51.1360141, 4.4523292 51.136095)",,,,
