osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,tunnel
"[8052359, 32910121, 7940943]",2,"['Ernest Van Dijckkaai', 'Sint-Jansvliet']",tertiary,50,False,False,164.876,"LINESTRING (4.3953515 51.2186369, 4.3954817 51.2188218, 4.3955561 51.2189311, 4.3956002 51.2190031, 4.3957816 51.2192505, 4.3963 51.2199953)",,
"[18915512, 255929107]",,Sint-Jansvliet,residential,30,False,False,53.815000000000005,"LINESTRING (4.3953515 51.2186369, 4.3957897 51.2185252, 4.3959373 51.2184905, 4.3960207 51.2184751, 4.3960734 51.2184653)",,
"[1114923496, 23164361, 341035197]",2,Plantinkaai,tertiary,50,False,True,114.67699999999999,"LINESTRING (4.3953515 51.2186369, 4.3953063 51.2185773, 4.3950195 51.218183, 4.3946647 51.2176996)",,
18916926,,Rijkenhoek,residential,30,False,True,40.347,"LINESTRING (4.3946647 51.2176996, 4.3947788 51.2176765, 4.3952158 51.2175878)",,
"[1114923496, 23164361, 341035197]",2,Plantinkaai,tertiary,50,False,False,114.677,"LINESTRING (4.3946647 51.2176996, 4.3950195 51.218183, 4.3953063 51.2185773, 4.3953515 51.2186369)",,
23164361,,Plantinkaai,tertiary,50,False,True,98.464,"LINESTRING (4.3946647 51.2176996, 4.3944042 51.2173255, 4.3940868 51.2168915)",,
4446774,,Huidevettersstraat,unclassified,30,False,True,9.172,"LINESTRING (4.4055911 51.2169336, 4.405557 51.2169324, 4.4055151 51.216931, 4.4054596 51.2169291)",,
"[4446826, 4446775]",2,"['Meir', 'Huidevettersstraat']",tertiary,30,True,False,165.99200000000002,"LINESTRING (4.4055911 51.2169336, 4.4055858 51.2170025, 4.4055741 51.2170748, 4.405559 51.2171392, 4.4055356 51.2172123, 4.4054884 51.2173433, 4.4054644 51.2174478, 4.4054536 51.2175442, 4.4054492 51.2176342, 4.4054508 51.2177343, 4.4054627 51.2181206, 4.4054645 51.2181558, 4.4054577 51.218216, 4.4054423 51.2182602, 4.4054116 51.2183026, 4.4053589 51.2183533, 4.4053088 51.218393)",,
"[4446793, 25150167]",,"['Meir', 'Huidevettersstraat']",tertiary,30,True,False,165.31300000000002,"LINESTRING (4.4051406 51.2183497, 4.4052408 51.2183059, 4.4053058 51.2182705, 4.4053442 51.2182391, 4.4053619 51.2182091, 4.4053803 51.2181764, 4.40538 51.2181302, 4.4053657 51.2177214, 4.405366 51.2177074, 4.4053675 51.2176211, 4.4053705 51.2175388, 4.4053711 51.217532, 4.4053717 51.2175265, 4.4053889 51.2174155, 4.4054156 51.2172438, 4.4054473 51.2170365, 4.4054596 51.2169291)",,
"[1012128956, 19782151]",,Sint-Katelijnevest,tertiary,30,False,False,68.937,"LINESTRING (4.405294 51.2200478, 4.4052957 51.2199937, 4.4052942 51.2199503, 4.4052909 51.2199071, 4.4052843 51.2198595, 4.4052414 51.2195823, 4.4052179 51.2194301)",,
