osmid,ref,name,highway,oneway,reversed,length,geometry,width,lanes,maxspeed
27611463,N283,Gendarmerieplein,secondary,False,False,25.148,"LINESTRING (5.0813044 50.7547534, 5.0812611 50.7545289)",,,
27666256,N283,Kerkstraat,secondary,False,False,25.684,"LINESTRING (5.0813044 50.7547534, 5.0812998 50.7548074, 5.081293 50.7548506, 5.081269 50.7549134, 5.0812187 50.7549745)",,,
27666673,,Bovenpoortstraat,residential,False,True,15.237,"LINESTRING (5.0813044 50.7547534, 5.0814233 50.7547386, 5.0815097 50.754713)",4,,
244505506,,J. Ectorsstraat,residential,False,True,43.894000000000005,"LINESTRING (5.0809381 50.7485796, 5.0808374 50.7485837, 5.0803195 50.7486297)",,,
315255387,N283,Stationsstraat,secondary,False,True,191.29799999999997,"LINESTRING (5.0809381 50.7485796, 5.080935 50.748686, 5.0809215 50.7493481, 5.0809063 50.750092, 5.0809061 50.7501078, 5.080899 50.7502998)",,2,50
27714071,,Bondgenotenlaan,residential,True,False,239.72699999999998,"LINESTRING (5.080899 50.7502998, 5.0809656 50.7503064, 5.0810366 50.7503245, 5.0811151 50.7503661, 5.081157 50.7504065, 5.0811942 50.7504423, 5.08126 50.7505665, 5.0813038 50.7506203, 5.0816618 50.7510063, 5.0820819 50.7514533, 5.0824336 50.7518301, 5.0825933 50.751993, 5.0827016 50.7520921)",,,
244505511,N283,Stationsstraat,secondary,False,True,57.684,"LINESTRING (5.080899 50.7502998, 5.0808965 50.7504373, 5.0808864 50.7508185)",5,2,
315255387,N283,Stationsstraat,secondary,False,False,191.29799999999997,"LINESTRING (5.080899 50.7502998, 5.0809061 50.7501078, 5.0809063 50.750092, 5.0809215 50.7493481, 5.080935 50.748686, 5.0809381 50.7485796)",,2,50
27714072,,Pepijnstraat,residential,False,False,143.232,"LINESTRING (5.0808864 50.7508185, 5.080788 50.7508201, 5.0806291 50.7508087, 5.0791437 50.7507065, 5.0789712 50.750692, 5.0788686 50.750668)",,,
244505511,N283,Stationsstraat,secondary,False,False,57.684,"LINESTRING (5.0808864 50.7508185, 5.0808965 50.7504373, 5.080899 50.7502998)",5,2,
