osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,bridge,access,width,junction
31108613,True,N9a,Chaussée de Gand - Steenweg op Gent,tertiary,30,False,54.122,"LINESTRING (4.3340369 50.856819, 4.3341054 50.8567654, 4.3345175 50.8564384)",,,,,
175872981,False,N9a,Chaussée de Gand - Steenweg op Gent,tertiary,30,True,48.818999999999996,"LINESTRING (4.3340369 50.856819, 4.3339491 50.8568878, 4.3337623 50.8570101, 4.3337092 50.8570396, 4.3336371 50.8570795, 4.3335425 50.8571259)",,,,,
"[26236876, 808485710, 808485711]",False,,Rue d'Ostende - Oostendestraat,residential,30,False,141.575,"LINESTRING (4.3340369 50.856819, 4.3339587 50.8567951, 4.3338266 50.8567427, 4.3325172 50.8562236, 4.3323229 50.8561485)",,,,,
25449843,True,,Rue des Quatre-Vents - Vier-windenstraat,residential,30,False,112.51499999999999,"LINESTRING (4.3354787 50.85555, 4.3353929 50.8555348, 4.3353543 50.8555276, 4.3351945 50.8554372, 4.3348816 50.8552408, 4.3343468 50.8548503)",,,,,
411779148,True,N9a,Chaussée de Gand - Steenweg op Gent,tertiary,30,False,113.0,"LINESTRING (4.3354787 50.85555, 4.3354939 50.8554742, 4.3355792 50.8553129, 4.3356447 50.8552368, 4.3360907 50.8547187, 4.3361082 50.8547004, 4.3361674 50.8546387)",,,,,
14609224,True,,Rue de l'École - Schoolstraat,residential,30,False,72.08099999999999,"LINESTRING (4.3361674 50.8546387, 4.3362434 50.8546711, 4.3362685 50.8546819, 4.3369137 50.854998, 4.3369963 50.8550173)",,,,,
411779148,True,N9a,Chaussée de Gand - Steenweg op Gent,tertiary,30,False,68.066,"LINESTRING (4.3361674 50.8546387, 4.3362052 50.8545977, 4.3362242 50.8545795, 4.3366972 50.8541261)",,,,,
14608213,False,,Rue Fernand Brunfaut - Fernand Brunfautstraat,residential,30,True,53.267,"LINESTRING (4.3386042 50.8534284, 4.3386113 50.8533789, 4.3385361 50.8529522)",,,,,
19796051,False,,Rue du Comte de Flandre - Graaf van Vlaanderenstraat,living_street,20,False,126.00999999999999,"LINESTRING (4.3386042 50.8534284, 4.3385937 50.8534857, 4.3387262 50.8540168, 4.3387457 50.8540868, 4.3387473 50.8541441, 4.3387484 50.854181, 4.3388514 50.8545479)",,,,,
309550160,True,N9a,Chaussée de Gand - Steenweg op Gent,tertiary,30,False,76.53699999999999,"LINESTRING (4.3386042 50.8534284, 4.3386931 50.8534215, 4.3396875 50.8533506)",,,,,
