osmid,oneway,name,highway,reversed,length,geometry,maxspeed,ref,junction,lanes,width,access
37120212,True,Molsekiezel,residential,False,188.97299999999998,"LINESTRING (5.3026903 51.231915, 5.3051947 51.2315245, 5.3053235 51.2315033)",,,,,,
47034490,False,Klachtloopstraat,secondary,True,99.75,"LINESTRING (5.3026903 51.231915, 5.3026526 51.2318257, 5.3025356 51.2315279, 5.3025063 51.2314497, 5.3024925 51.2314129, 5.3024023 51.2311738, 5.3023528 51.2310432)",,,,,,
47034773,False,Sleutelstraat,secondary,False,124.555,"LINESTRING (5.3026903 51.231915, 5.3027169 51.232001, 5.3027594 51.2322358, 5.3027675 51.2323936, 5.3027728 51.2324944, 5.3027701 51.2326455, 5.3027728 51.2329008, 5.3027728 51.232973, 5.3027855 51.2330046, 5.3028047 51.233028)",,,,,,
47034943,False,Lepelstraat,residential,True,298.457,"LINESTRING (5.3086098 51.2342935, 5.3087194 51.234161, 5.309352 51.2335906, 5.3094523 51.2334724, 5.3095146 51.2333677, 5.3095835 51.233225, 5.3097155 51.2329105, 5.3097696 51.2327816, 5.3097987 51.2326442, 5.3098114 51.2324777, 5.3098255 51.2318681, 5.3098295 51.2318418, 5.3098433 51.231822, 5.3098629 51.231801)",,,,,,
"[341843693, 315223286]",False,Adelberg,secondary,True,95.81599999999999,"LINESTRING (5.3086098 51.2342935, 5.308482 51.2342184, 5.308373 51.2341767, 5.3082473 51.2341487, 5.3078349 51.2340606, 5.3077002 51.2340306, 5.3073613 51.2339526)",,,,,,
"[341843696, 92966418]",False,Kapelstraat,secondary,True,112.624,"LINESTRING (5.3086098 51.2342935, 5.3087408 51.2343712, 5.3089056 51.2344422, 5.3090761 51.2345034, 5.3096104 51.234709, 5.3099636 51.2348436)",,,,,,
92932487,False,Mudakkers,residential,False,41.893,"LINESTRING (5.3116693 51.2308331, 5.3115849 51.2308182, 5.3113424 51.2307771, 5.3110888 51.2307341)",30,,,,,
126149484,True,Rijksschoolstraat,residential,False,117.329,"LINESTRING (5.3116693 51.2308331, 5.3116022 51.2312677, 5.3115755 51.2314404, 5.3115468 51.2316262, 5.3115363 51.2317493, 5.3115325 51.2317976, 5.311579 51.2318793)",30,,,,,
36989102,True,Stationsstraat,secondary,False,59.702,"LINESTRING (5.3145777 51.2277725, 5.3144641 51.2276844, 5.3144051 51.2276058, 5.3143763 51.227526, 5.3143616 51.2274469, 5.3143594 51.227388, 5.3143588 51.2273464, 5.3143807 51.2272728)",,N746,,,,
245750176,True,,secondary,False,10.354,"LINESTRING (5.3145777 51.2277725, 5.3146149 51.2277322, 5.3146748 51.2277046)",50,N746,roundabout,,,
