osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,bridge,ref,width,junction,access
23171948,True,Rue Godefroid Kurth - Godfroid Kurthstraat,tertiary,30,False,47.911,"LINESTRING (4.4005649 50.8679069, 4.4003395 50.8680371, 4.4000747 50.8682066)",,,,,,
"[28654393, 144270573]",False,Rue Auguste De Boeck - August De Boeckstraat,tertiary,30,False,50.611000000000004,"LINESTRING (4.4005649 50.8679069, 4.4006266 50.8678886, 4.4006417 50.8678841, 4.4011934 50.867684)","['2', '3']",yes,,,,
239095374,False,Chaussée de Haecht - Haachtsesteenweg,tertiary,30,False,112.861,"LINESTRING (4.3970636 50.8722066, 4.3971895 50.8722467, 4.3983945 50.872609, 4.3985089 50.8726513)",2,,N21,,,
239095374,False,Chaussée de Haecht - Haachtsesteenweg,tertiary,30,False,154.881,"LINESTRING (4.3993 50.8730068, 4.3993899 50.8730569, 4.4000742 50.8734354, 4.4004955 50.8736643, 4.4008774 50.8738643, 4.4009797 50.8739098)",2,,N21,,,
239095374,False,Chaussée de Haecht - Haachtsesteenweg,tertiary,30,True,68.28200000000001,"LINESTRING (4.3993 50.8730068, 4.3991806 50.8729439, 4.3990056 50.8728549, 4.398652 50.8727015, 4.3985089 50.8726513)",2,,N21,,,
239095374,False,Chaussée de Haecht - Haachtsesteenweg,tertiary,30,False,6.024,"LINESTRING (4.401014 50.873925, 4.4010874 50.8739531)",2,,N21,,,
239095374,False,Chaussée de Haecht - Haachtsesteenweg,tertiary,30,True,2.941,"LINESTRING (4.401014 50.873925, 4.4009797 50.8739098)",2,,N21,,,
35868435,True,Rue Jean-Baptiste Desmeth - Jan-Baptist Desmethstraat,residential,30,False,63.631,"LINESTRING (4.401014 50.873925, 4.4010406 50.8738977, 4.4010709 50.8738665, 4.4014581 50.8734972, 4.4015151 50.8734482)",,,,,,
31870912,True,Avenue Henri Conscience - Hendrik Consciencelaan,residential,30,False,32.403,"LINESTRING (4.4034379 50.874803, 4.4033724 50.8746833, 4.4032994 50.8745251)",,,,,,
186514275,False,Chaussée de Haecht - Haachtsesteenweg,tertiary,30,False,131.278,"LINESTRING (4.4034379 50.874803, 4.403587 50.8748766, 4.4036264 50.8748925, 4.4036806 50.8749144, 4.4037472 50.8749412, 4.4038049 50.8749645, 4.4044122 50.8752134, 4.4047582 50.8753781, 4.4049648 50.8754833)",2,,N21,,,
239095374,False,Chaussée de Haecht - Haachtsesteenweg,tertiary,30,True,35.449,"LINESTRING (4.4034379 50.874803, 4.4032206 50.8747184, 4.4031848 50.8747048, 4.4031319 50.8746847, 4.4030065 50.8746371)",2,,N21,,,
273549731,False,Chaussée de Haecht - Haachtsesteenweg,tertiary,30,False,109.198,"LINESTRING (4.4053631 50.8756988, 4.4065604 50.8763262)",2,,N21,,,
"[273549730, 1153609308, 1153609311]",False,Chaussée de Haecht - Haachtsesteenweg,tertiary,30,True,36.813,"LINESTRING (4.4053631 50.8756988, 4.4053599 50.8756971, 4.4051743 50.8755967, 4.4050736 50.8755422, 4.4049648 50.8754833)",2,,N21,,,
"[1153609313, 72524871]",True,Avenue Guillaume Van Leeuw - Willem Van Leeuwlaan,residential,30,False,89.668,"LINESTRING (4.4053631 50.8756988, 4.4053047 50.8757619, 4.4052745 50.875851, 4.4055457 50.8763779, 4.4055996 50.8764593)",,,,7,,
186514273,False,Chaussée de Haecht - Haachtsesteenweg,tertiary,30,False,25.903,"LINESTRING (4.4065604 50.8763262, 4.4068374 50.8764802)",,,N21,,,
273549731,False,Chaussée de Haecht - Haachtsesteenweg,tertiary,30,True,109.198,"LINESTRING (4.4065604 50.8763262, 4.4053631 50.8756988)",2,,N21,,,
