osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref,junction,width,bridge,access
788579563,True,Avenue Louis Bertrand - Louis Bertrandlaan,residential,30,False,23.336,"LINESTRING (4.37334 50.8640213, 4.3733602 50.8640216, 4.3734192 50.8640313, 4.3736627 50.863992)",,,,,,
"[1164088528, 944618539]",True,Chaussée de Haecht - Haachtsesteenweg,tertiary,30,False,35.658,"LINESTRING (4.37334 50.8640213, 4.3733832 50.8641043, 4.3734194 50.8641702, 4.3735045 50.8643247)",2,N21,,,,
15898333,True,Rue François Degreef - François Degreefstraat,residential,30,False,114.684,"LINESTRING (4.3735045 50.8643247, 4.373489 50.8643366, 4.3734599 50.8643591, 4.3733761 50.8643984, 4.3733267 50.8644227, 4.3732749 50.8644483, 4.3721399 50.8647234, 4.3720968 50.8647338, 4.3720325 50.8647494)",1,,,,,
"[1164088528, 173634164]",True,Chaussée de Haecht - Haachtsesteenweg,tertiary,30,False,223.255,"LINESTRING (4.3735045 50.8643247, 4.3735765 50.8644538, 4.3736396 50.8645526, 4.3739611 50.8650519, 4.3739941 50.8651032, 4.3740343 50.8651657, 4.3740853 50.8652448, 4.374581 50.8659992, 4.3746119 50.8660416, 4.3746524 50.8660808, 4.3746925 50.866118, 4.374731 50.8661473, 4.3747561 50.8661653)",2,N21,,,,
42026503,True,Rue Henri Bergé - Henri Bergéstraat,residential,30,False,38.218,"LINESTRING (4.3748744 50.8662417, 4.3748781 50.8662274, 4.3748877 50.8661708, 4.3749124 50.8661404, 4.3750525 50.8659193)",,,,,,
"[980458592, 980458593, 980458594, 15898329, 980458591, 1056250175]",True,Rue Verwée - Verwéestraat,residential,30,False,114.91600000000001,"LINESTRING (4.3748744 50.8662417, 4.3748699 50.8662548, 4.3748668 50.8662705, 4.3748611 50.8662993, 4.3748448 50.8663141, 4.3748285 50.8663288, 4.3748179 50.8663389, 4.3748047 50.8663482, 4.3747648 50.866376, 4.3745877 50.8664996, 4.3743165 50.8666889, 4.3741054 50.8668388, 4.3739743 50.866932, 4.3739489 50.86695, 4.3739057 50.8669821, 4.3738897 50.8670105, 4.3738819 50.8670439)",,,,,,
"[1150662650, 777871455]",False,Chaussée de Haecht - Haachtsesteenweg,tertiary,30,False,91.27999999999999,"LINESTRING (4.3748744 50.8662417, 4.3749924 50.8663202, 4.3752878 50.8665172, 4.3753514 50.8665596, 4.3755895 50.8667166, 4.375638 50.8667493, 4.3757451 50.8668496)",2,N21,,,,
1150662650,False,Chaussée de Haecht - Haachtsesteenweg,tertiary,30,True,11.881,"LINESTRING (4.3748744 50.8662417, 4.3748036 50.8661975, 4.3747561 50.8661653)",2,N21,,,,
29131943,False,Chaussée de Haecht - Haachtsesteenweg,tertiary,30,False,12.986,"LINESTRING (4.3771471 50.8673942, 4.3773167 50.8674409)",,N21,,,,
29131943,False,Chaussée de Haecht - Haachtsesteenweg,tertiary,30,True,10.202,"LINESTRING (4.3771471 50.8673942, 4.3770138 50.8673576)",,N21,,,,
