osmid,oneway,name,highway,reversed,length,geometry,maxspeed,ref,lanes,access,junction
"[952014104, 149399207]",True,Rue d'Andrimont,tertiary,False,37.951,"LINESTRING (5.8576154 50.6070186, 5.8575098 50.6069687, 5.8574661 50.6069522, 5.8574402 50.6069438, 5.8573115 50.6069295, 5.8571982 50.6069408, 5.8571206 50.6069552)",,,,,
"[836104928, 211023805]",False,Rue d'Andrimont,tertiary,True,195.282,"LINESTRING (5.8576154 50.6070186, 5.8577197 50.6070718, 5.8578062 50.6070969, 5.8578335 50.6071048, 5.8584413 50.6072657, 5.8589797 50.6073907, 5.8590361 50.6074122, 5.859191 50.6075291, 5.8594316 50.6077573, 5.8595744 50.6078789, 5.859718 50.6079806, 5.8597884 50.6080088)",50,,,,
90583977,True,Rue Léopold,secondary,False,32.522999999999996,"LINESTRING (5.8534573 50.6099642, 5.8536166 50.6099048, 5.8538793 50.6098508)",,N627,,,
613761956,False,Rue Léopold,secondary,True,44.669,"LINESTRING (5.8534573 50.6099642, 5.8532593 50.6100082, 5.8531435 50.6100326, 5.8530564 50.6100521, 5.8529758 50.6100836, 5.852889 50.6101307)",,N627,,,
613761956,False,Rue Léopold,secondary,False,44.669,"LINESTRING (5.852889 50.6101307, 5.8529758 50.6100836, 5.8530564 50.6100521, 5.8531435 50.6100326, 5.8532593 50.6100082, 5.8534573 50.6099642)",,N627,,,
722684362,True,Rue Léopold,secondary,False,19.375,"LINESTRING (5.852889 50.6101307, 5.8528382 50.6102151, 5.8527995 50.6102582, 5.8527742 50.6102885)",,N627,1,,
149422229,True,Rue Léopold,secondary,False,43.125,"LINESTRING (5.8523258 50.6102675, 5.8524383 50.6102623, 5.8525913 50.6102326, 5.852679 50.6102046, 5.8527364 50.610186, 5.852889 50.6101307)",,N627,1,,
799811007,True,,motorway_link,False,19.404,"LINESTRING (5.8523258 50.6102675, 5.8524369 50.6103353, 5.85249 50.6103694, 5.8525199 50.610391)",,,1,,
149417189,False,Rue Léopold,secondary,True,156.739,"LINESTRING (5.8513218 50.6104547, 5.8511909 50.6104846, 5.8501584 50.6107247, 5.8492353 50.6109382)",,N627,2,,
"[149422216, 835756182]",True,Rue Léopold,secondary,False,44.74,"LINESTRING (5.8513218 50.6104547, 5.8515152 50.6104012, 5.8516321 50.610372, 5.8517582 50.6103493, 5.8518297 50.6103367, 5.8518504 50.6103307, 5.8519136 50.6103125)",,N627,1,,
59431720,True,,residential,False,39.346000000000004,"LINESTRING (5.8558064 50.6155283, 5.8559758 50.6154998, 5.8562443 50.6154801, 5.8563542 50.615466)",30,,,designated,
545051745,False,Rue du Corbeau,tertiary,False,51.556,"LINESTRING (5.8558064 50.6155283, 5.8558467 50.6154201, 5.8558674 50.615218, 5.8558514 50.6150684)",,,,,
353012298,True,Rue Albert 1er,secondary,False,50.888000000000005,"LINESTRING (5.8543638 50.6085346, 5.8543655 50.6083755, 5.8543813 50.6082693, 5.8544179 50.6082084, 5.8544978 50.6080923)",,N627,,,
"[366383115, 366383109, 366383110, 366383119]",True,,motorway_link,False,447.6149999999999,"LINESTRING (5.85258 50.6106419, 5.8524623 50.6108617, 5.852395 50.6110357, 5.8523576 50.6112357, 5.8523338 50.6116959, 5.8523126 50.6121079, 5.8523198 50.6123204, 5.8523473 50.6125401, 5.8524037 50.6127494, 5.8524346 50.6128257, 5.8525208 50.6130401, 5.8526391 50.6132474, 5.852859 50.6135196, 5.8531192 50.6137936, 5.8534518 50.6141494, 5.8535965 50.6144714)",,,"['1', '2']",,
145464001,True,,motorway_link,False,29.038999999999998,"LINESTRING (5.8525199 50.610391, 5.8525591 50.610429, 5.8525814 50.6104703, 5.8525908 50.610544, 5.85258 50.6106419)",,,1,,
149422206,True,Rue Léopold,secondary,False,46.929,"LINESTRING (5.8525199 50.610391, 5.8523501 50.610416, 5.8521457 50.6104302, 5.8519804 50.6104154, 5.8518634 50.6104048)",,N627,1,,
149422229,True,Rue Léopold,secondary,False,29.869999999999997,"LINESTRING (5.8519136 50.6103125, 5.8519934 50.61029, 5.8521 50.610274, 5.8522061 50.6102667, 5.8523258 50.6102675)",,N627,1,,
149422267,False,Rue des Auris,residential,False,122.36300000000001,"LINESTRING (5.8524448 50.6093284, 5.8524659 50.6092275, 5.8525143 50.6091284, 5.8525717 50.6090513, 5.8526363 50.6089825, 5.8530167 50.6086037, 5.8531387 50.6084615, 5.8532801 50.6083842)",,,,,
149422276,True,Rue des Tailles,residential,False,124.24300000000001,"LINESTRING (5.8524448 50.6093284, 5.8525114 50.6093471, 5.8526144 50.609345, 5.8527817 50.6093342, 5.8528904 50.6093439, 5.8529914 50.6093639, 5.8531492 50.6094208, 5.8537505 50.6096823, 5.8538863 50.609763, 5.8539515 50.6098149)",,,,,
217566975,False,Rue des Auris,residential,True,149.012,"LINESTRING (5.8524448 50.6093284, 5.8524241 50.6094263, 5.8523885 50.6094719, 5.8523415 50.6095046, 5.8522892 50.6095385, 5.8521763 50.6095695, 5.8519224 50.6095925, 5.8514858 50.6096634, 5.8511192 50.6097499, 5.850936 50.6097797, 5.8507716 50.6097767, 5.8506285 50.6097365)",,,,,
149422255,False,Rue de la Station,tertiary,False,126.39500000000001,"LINESTRING (5.8537752 50.6094448, 5.8536347 50.6093521, 5.8535555 50.6092859, 5.8534902 50.6092085, 5.8534422 50.609122, 5.8534174 50.6090533, 5.8533984 50.6089828, 5.8533536 50.6086986, 5.853304 50.6084916, 5.8532801 50.6083842)",50,,,,
722684365,True,Rue de la Station,tertiary,False,32.924,"LINESTRING (5.8537752 50.6094448, 5.8540856 50.6096327, 5.8541135 50.6096487)",,,,,
149422270,False,Rue des Auris,residential,False,68.446,"LINESTRING (5.8493717 50.6093837, 5.8497433 50.6094824, 5.8502665 50.6096213)",,,,,
217566984,False,Rue de Husquet,residential,True,37.168,"LINESTRING (5.8493717 50.6093837, 5.8493458 50.6096068, 5.8493319 50.609717)",30,,,,
149417176,False,Cité Martin Lejeune,residential,False,84.783,"LINESTRING (5.8502665 50.6096213, 5.8506186 50.609509, 5.8507375 50.6094845, 5.8508314 50.6094397, 5.8508784 50.6093771, 5.8510382 50.6091063)",,,,,
149422270,False,Rue des Auris,residential,False,28.597,"LINESTRING (5.8502665 50.6096213, 5.850488 50.609697, 5.8506285 50.6097365)",,,,,
149422270,False,Rue des Auris,residential,True,68.446,"LINESTRING (5.8502665 50.6096213, 5.8497433 50.6094824, 5.8493717 50.6093837)",,,,,
149417189,False,Rue Léopold,secondary,False,156.739,"LINESTRING (5.8492353 50.6109382, 5.8501584 50.6107247, 5.8511909 50.6104846, 5.8513218 50.6104547)",,N627,2,,
