osmid,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,ref,lanes,width,junction
"[92087601, 67297266, 458709887]",Rue Jean-Baptiste Leblicq,residential,50,False,True,39.134,yes,"LINESTRING (4.6987354 50.7350168, 4.6987155 50.7349723, 4.698661 50.7349396, 4.6985122 50.7348815, 4.698382 50.7348362, 4.6983074 50.7348111)",,,,
"[166811061, 166811062]",Avenue Compte Jean Dumonceau,residential,50,False,True,102.154,,"LINESTRING (4.6987354 50.7350168, 4.698727 50.7350698, 4.6986454 50.7352186, 4.6982833 50.7358884)",,,,
"[98478297, 623433383]",Chaussée de la Libération,secondary,"['50', '30']",False,False,290.668,,"LINESTRING (4.6895885 50.7412613, 4.6896495 50.7412349, 4.6897341 50.7411863, 4.6908161 50.7404115, 4.6909694 50.7402978, 4.6912721 50.7400987, 4.6915068 50.7399609, 4.691733 50.7398537, 4.6918201 50.7398175, 4.6924577 50.7395548, 4.6926048 50.7395034)",N240,,,
1209028830,Chaussée de la Libération,secondary,,True,False,14.318999999999999,,"LINESTRING (4.6895885 50.7412613, 4.6895732 50.7412827, 4.6895571 50.7412975, 4.689539 50.741306, 4.6894968 50.7413226, 4.6894351 50.741337)",,,,
"[149182187, 341962893]",Place Ernest Dubois,residential,30,False,False,25.441000000000003,,"LINESTRING (4.6960435 50.7384447, 4.6960226 50.7385584, 4.6960001 50.738616, 4.6959723 50.7386681)",,,,
341962887,Place Ernest Dubois,secondary,30,False,True,24.646,,"LINESTRING (4.6960435 50.7384447, 4.6958935 50.7384356, 4.6956943 50.7384282)",N240,2,,
"[341962888, 92419458, 92419482]",Chaussée de Jodoigne,secondary,30,False,False,151.59900000000002,yes,"LINESTRING (4.6960435 50.7384447, 4.6971165 50.7385266, 4.6973893 50.7385414, 4.6974693 50.7385472, 4.6975489 50.7385478, 4.6976389 50.7385387, 4.6977212 50.7385285, 4.6978161 50.7385155, 4.6979391 50.7384965, 4.6980102 50.7384841, 4.6981363 50.738463, 4.6981711 50.7384557)",N240,,,
496200492,Place Ernest Dubois,residential,30,False,True,23.653,,"LINESTRING (4.6960435 50.7384447, 4.6960409 50.7383355, 4.6960668 50.7382333)",,,,
290218631,Chaussée de Jodoigne,secondary,30,False,True,0.329,,"LINESTRING (4.6981756 50.7384549, 4.6981711 50.7384557)",N240,,,
149182192,Rue Lambermont,residential,,True,False,115.41,,"LINESTRING (4.6981756 50.7384549, 4.6981327 50.7384096, 4.6980807 50.7383334, 4.6979602 50.738089, 4.6979425 50.7380264, 4.6979306 50.73797, 4.6978411 50.7375573, 4.6978022 50.7374511)",,,,
"[492653061, 290218631]",Chaussée de Jodoigne,secondary,30,False,"[False, True]",206.013,,"LINESTRING (4.6981756 50.7384549, 4.6984007 50.7383737, 4.7006456 50.7374608)",N240,,,
149182195,Rue des Combattants,residential,50,False,True,199.972,,"LINESTRING (4.6916101 50.7366787, 4.6918406 50.7368515, 4.6919561 50.7369401, 4.692112 50.7370503, 4.6922807 50.7371798, 4.692452 50.737304, 4.6926186 50.7374226, 4.6927527 50.7375234, 4.6928803 50.7376179, 4.6930026 50.7377113, 4.6932133 50.7378616, 4.6932945 50.7379199, 4.6933889 50.7379929, 4.6934406 50.7380522)",,,,
149182210,Ruelle Purlin,residential,,False,False,125.37899999999999,,"LINESTRING (4.6916101 50.7366787, 4.6917202 50.7366258, 4.6918156 50.7365895, 4.6920162 50.7365195, 4.6920887 50.736497, 4.6921273 50.7364879, 4.692189 50.7364769, 4.6922689 50.73647, 4.6923223 50.7364679, 4.6927705 50.7364705, 4.6928465 50.7364696, 4.6929239 50.7364661, 4.6931387 50.7364455, 4.6932413 50.7364357, 4.6933012 50.7364373)",,,,
147234030,Rue des Béguinages,unclassified,50,False,True,97.111,,"LINESTRING (4.694748 50.737305, 4.6946896 50.7372598, 4.6944147 50.7370327, 4.6943088 50.7369391, 4.6941846 50.7368131, 4.6941217 50.7367403, 4.6940623 50.7366781, 4.6940182 50.736626, 4.6939714 50.7365851)",,,,
149182191,Rue Edouard Guirsch,residential,30,True,False,95.41,,"LINESTRING (4.694748 50.737305, 4.6947351 50.7373223, 4.6947204 50.7373557, 4.6947128 50.7373895, 4.6947089 50.7374717, 4.6946967 50.7376768, 4.6946886 50.7377411, 4.6946773 50.7378019, 4.6945941 50.7381549)",,,,
"[492653057, 492653066, 496200495]",Rue Fontaine,residential,"['30', '50']",False,True,132.22000000000003,,"LINESTRING (4.6975316 50.7374776, 4.6975222 50.7373976, 4.6975187 50.7373501, 4.6975162 50.7373119, 4.6975099 50.7372499, 4.6975021 50.737184, 4.6974959 50.7371368, 4.6974862 50.7370882, 4.6974791 50.7370274, 4.6974565 50.7368622, 4.6974571 50.7368401, 4.6974605 50.7368271, 4.697412 50.7368212, 4.6970291 50.736758, 4.6967688 50.7367146, 4.6966425 50.7366875)",,,,
496200494,Rue de la Barre,residential,30,True,False,71.998,,"LINESTRING (4.6975316 50.7374776, 4.6974043 50.7374913, 4.6973073 50.7374996, 4.697193 50.7375093, 4.6970792 50.7375159, 4.6969647 50.7375202, 4.696813 50.7375275, 4.6966049 50.7375349, 4.6965514 50.737536, 4.6965139 50.7375384)",,,,
"[67297265, 492653059]",Avenue Compte Jean Dumonceau,residential,30,False,False,97.43700000000001,,"LINESTRING (4.6978022 50.7374511, 4.6977625 50.7373, 4.6977252 50.7371941, 4.6977066 50.7371402, 4.6976886 50.7370863, 4.697673 50.7370297, 4.6976666 50.736986, 4.6976654 50.7369648, 4.6976639 50.7369379, 4.6976642 50.7369238, 4.697666 50.7368994, 4.6976711 50.7368796, 4.6976758 50.7368651, 4.6976877 50.7368368, 4.6977224 50.736769, 4.6977612 50.7367116, 4.6978479 50.7366066)",,,,
"[66184836, 92087580]",,residential,,True,False,19.273,yes,"LINESTRING (4.6978022 50.7374511, 4.697711 50.7374617, 4.6975316 50.7374776)",,,,
66184832,Place Ernest Dubois,residential,30,False,False,22.311,,"LINESTRING (4.6957711 50.7381697, 4.6958283 50.7381699, 4.6958605 50.7381729, 4.6960668 50.7382333)",,,,
149182188,Rue Coppe,residential,30,True,False,80.762,,"LINESTRING (4.6957711 50.7381697, 4.6957802 50.7379912, 4.6957925 50.737896, 4.6958053 50.7378562, 4.6958428 50.7377923, 4.6958608 50.7377658, 4.6959377 50.7376916, 4.6961129 50.7375737, 4.6961397 50.737512)",,,,
341962891,Place Ernest Dubois,residential,30,False,True,29.715000000000003,,"LINESTRING (4.6957711 50.7381697, 4.6957717 50.7382438, 4.6957635 50.7383204, 4.6956943 50.7384282)",,,,
66184832,Place Ernest Dubois,residential,30,False,True,22.311,,"LINESTRING (4.6960668 50.7382333, 4.6958605 50.7381729, 4.6958283 50.7381699, 4.6957711 50.7381697)",,,,
496200492,Place Ernest Dubois,residential,30,False,False,23.653,,"LINESTRING (4.6960668 50.7382333, 4.6960409 50.7383355, 4.6960435 50.7384447)",,,,
"[149182193, 623432662]","['Rue Saint-Georges', 'Parvis Saint-Georges']",residential,30,False,False,85.58099999999999,,"LINESTRING (4.6960668 50.7382333, 4.6961552 50.7380551, 4.6962199 50.7379321, 4.6963284 50.7378576, 4.6964194 50.7377816, 4.6964538 50.737753, 4.6964765 50.73773, 4.6964864 50.7377014, 4.6964916 50.7376608, 4.6964945 50.7376098, 4.6965139 50.7375384)",,,,
103694084,Rue Jean-Baptiste Leblicq,residential,50,False,False,260.58000000000004,,"LINESTRING (4.6952067 50.7352813, 4.6953007 50.7352399, 4.6953335 50.735226, 4.6953756 50.7352071, 4.6954774 50.7351503, 4.6955951 50.7350855, 4.6956699 50.7350346, 4.6957445 50.7349744, 4.6958216 50.7349081, 4.6959584 50.7347906, 4.6961387 50.7346367, 4.6962148 50.7345743, 4.6962625 50.7345409, 4.6962978 50.7345267, 4.6963292 50.7345204, 4.6963734 50.7345177, 4.696411 50.7345215, 4.6964456 50.7345298, 4.6965809 50.7345655, 4.6966663 50.7345887, 4.6968202 50.7346286, 4.697116 50.7346759, 4.6983074 50.7348111)",,,,
492653063,Rue des Béguinages,unclassified,,False,False,120.626,,"LINESTRING (4.6952067 50.7352813, 4.695176 50.7353058, 4.6951422 50.7353437, 4.6950047 50.735511, 4.694916 50.7356029, 4.6948102 50.7356809, 4.6941863 50.7361471)",,,,
103654803,Rue du Bia Bouquet,residential,50,False,False,91.737,,"LINESTRING (4.7020124 50.7394788, 4.7007705 50.7392279)",,,,
492653050,Rue de la Serpentine,residential,50,False,True,181.63299999999998,,"LINESTRING (4.7020124 50.7394788, 4.7022193 50.7390663, 4.7023632 50.7388581, 4.7024266 50.7387995, 4.7024972 50.7387583, 4.7027841 50.738741, 4.7027398 50.7385091, 4.7026662 50.738086)",,,,
103654803,Rue du Bia Bouquet,residential,50,False,True,91.737,,"LINESTRING (4.7007705 50.7392279, 4.7020124 50.7394788)",,,,
88520503,Allée des Vignes,residential,30,False,False,74.857,,"LINESTRING (4.7007705 50.7392279, 4.7003783 50.7397838, 4.7003507 50.7398458)",,,,
88520503,Allée des Vignes,residential,30,False,True,206.289,,"LINESTRING (4.7007705 50.7392279, 4.7014277 50.7382926, 4.7014921 50.7382365, 4.7015854 50.7382017, 4.7026662 50.738086)",,,,
492653051,Rue des Lowas,residential,30,False,True,10.938,,"LINESTRING (4.7002041 50.7398785, 4.7003507 50.7398458)",,,,
492653052,Rue des Lowas,residential,30,False,False,54.206,,"LINESTRING (4.7002041 50.7398785, 4.7000069 50.7397955, 4.6996865 50.7396798, 4.6995273 50.7396534)",,,,
98021807,Rue du Chaufour,residential,30,True,False,88.263,,"LINESTRING (4.6995273 50.7396534, 4.6993215 50.7389536, 4.6993028 50.7388725)",,,,
492653052,Rue des Lowas,residential,30,False,True,54.206,,"LINESTRING (4.6995273 50.7396534, 4.6996865 50.7396798, 4.7000069 50.7397955, 4.7002041 50.7398785)",,,,
98021807,Rue du Chaufour,residential,30,True,False,67.901,,"LINESTRING (4.6995179 50.7402634, 4.6995025 50.740116, 4.6995155 50.7397744, 4.6995273 50.7396534)",,,,
98478274,Rue du Stampia,residential,30,False,False,171.243,,"LINESTRING (4.6995179 50.7402634, 4.6996018 50.7403482, 4.6996125 50.7404194, 4.6996052 50.7404845, 4.6994941 50.7409543, 4.6994291 50.7411048, 4.6993342 50.7412531, 4.6989863 50.7417155)",,,,
98478291,Rue du Pont-au-Lin,residential,30,False,True,85.868,,"LINESTRING (4.6995179 50.7402634, 4.6994435 50.7402684, 4.6993643 50.7402656, 4.6992782 50.7402562, 4.6991301 50.7402324, 4.6989448 50.7401937, 4.6983524 50.7400565)",,,,
66184840,Sentier des Cinq Bonniers,residential,30,False,False,358.81500000000005,,"LINESTRING (4.6957372 50.7417046, 4.6955907 50.7416991, 4.6955309 50.7416937, 4.6950231 50.741608, 4.6948143 50.7415686, 4.6940833 50.741353, 4.693943 50.7413057, 4.6938143 50.7412458, 4.6935547 50.7411099, 4.6934857 50.7410632, 4.693445 50.7410162, 4.6934296 50.7409699, 4.6934316 50.7409138, 4.6934594 50.7408459, 4.6935328 50.7407433, 4.6935546 50.7406686, 4.6935425 50.7405903, 4.6935142 50.7405283, 4.6933551 50.7403443, 4.6932925 50.7402837, 4.69321 50.740223, 4.6929288 50.7400473, 4.6928681 50.7400037, 4.6925985 50.7397532, 4.6925582 50.7397002, 4.6925504 50.7396556)",,,,
66184840,Sentier des Cinq Bonniers,residential,30,False,True,358.815,,"LINESTRING (4.6925504 50.7396556, 4.6925582 50.7397002, 4.6925985 50.7397532, 4.6928681 50.7400037, 4.6929288 50.7400473, 4.69321 50.740223, 4.6932925 50.7402837, 4.6933551 50.7403443, 4.6935142 50.7405283, 4.6935425 50.7405903, 4.6935546 50.7406686, 4.6935328 50.7407433, 4.6934594 50.7408459, 4.6934316 50.7409138, 4.6934296 50.7409699, 4.693445 50.7410162, 4.6934857 50.7410632, 4.6935547 50.7411099, 4.6938143 50.7412458, 4.693943 50.7413057, 4.6940833 50.741353, 4.6948143 50.7415686, 4.6950231 50.741608, 4.6955309 50.7416937, 4.6955907 50.7416991, 4.6957372 50.7417046)",,,,
98478331,Ruelle des Foins,residential,30,False,True,277.80400000000003,,"LINESTRING (4.6925504 50.7396556, 4.692505 50.7396558, 4.6924562 50.7396603, 4.6924113 50.7396731, 4.6923349 50.7397107, 4.6921728 50.7398118, 4.6921324 50.7398484, 4.6921049 50.7398862, 4.6920567 50.7399604, 4.6920238 50.7400368, 4.6919983 50.7401128, 4.6919771 50.7402838, 4.6919467 50.7405252, 4.6919245 50.740667, 4.6919151 50.7407234, 4.6919029 50.7407667, 4.691893 50.7407947, 4.6918769 50.7408219, 4.6918434 50.7408745, 4.6918246 50.7409021, 4.6918092 50.7409262, 4.6917645 50.7409775, 4.6915644 50.7411588, 4.6913555 50.7413385, 4.6910951 50.7415708, 4.6909596 50.7416862, 4.6908279 50.7417723)",,,,
66184846,Rue du Lambais,residential,30,True,False,327.04499999999996,,"LINESTRING (4.6961308 50.7387885, 4.6960649 50.7389523, 4.6959866 50.7391858, 4.695914 50.7393752, 4.6958633 50.7395268, 4.6958311 50.7396191, 4.6958144 50.7396741, 4.6958051 50.7397296, 4.6957959 50.7398122, 4.6957756 50.7399761, 4.6957485 50.7402273, 4.6957273 50.7404234, 4.6957158 50.7405637, 4.6957094 50.7407099, 4.695709 50.7408777, 4.6957144 50.7411048, 4.6957227 50.7413261, 4.6957378 50.741585, 4.6957372 50.7417046)",,,,
66184847,Rue du Pont-au-Lin,residential,30,False,True,17.425,,"LINESTRING (4.6961308 50.7387885, 4.6960358 50.7387158, 4.6959723 50.7386681)",,,,
